,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L12,L14,W12,W14,Check,L11,L13,W11,W13,L10,W10,L9,W9,L15,W15
0,401907,3358470,Kar12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,401907.0,,3.0,50.0,"REPLICATE>BLOCK>PLOT:401907,REPLICATE>BLOCK:6,REPLICATE:3",rainfed,4466.966966967,248.64,"69,1249593066","70,6080789845",11.1066666667,250,295,130,"-1,48311967790",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,401226,3357720,Kar12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,401226.0,,14.0,26.0,"REPLICATE>BLOCK>PLOT:401226,REPLICATE>BLOCK:27,REPLICATE:2",rainfed,5214.7399925178,242.1423529412,"69,1249593066","69,1249593066",12.6270941176,260,305,145,"0,00000000000",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,401479,3358000,Kar12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,401479.0,,7.0,10.0,"REPLICATE>BLOCK>PLOT:401479,REPLICATE>BLOCK:14,REPLICATE:1",rainfed,4870.6240487062,241.5011764706,"69,1249593066","67,7009590372",11.7626143791,245,300,135,"1,42400026940",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,400385,3357554,Kar12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,400385.0,,5.0,8.0,"REPLICATE>BLOCK>PLOT:400385,REPLICATE>BLOCK:18,REPLICATE:1",watered,3530.0925925926,253.1011764706,"65,5409150764","66,5017492524",8.9347058824,260,310,140,"-0,96083417600",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,400020,3357136,Kar12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,400020.0,,18.0,20.0,"REPLICATE>BLOCK>PLOT:400020,REPLICATE>BLOCK:35,REPLICATE:2",watered,5065.3594771242,230.08,"65,5409150764","66,5017492524",11.654379085,265,310,145,"-0,96083417600",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3039water_regimewatered,3338641,Kar12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Karlsruhe 2012,VIRTUAL_TRIAL,,,,,,,,watered,292.3626657422,66.0246810964,67.0283745663,262.9003297759,4370.2724896559,309.191400352,142.3418570884,,,2012,16.6556877104,15.9547535354,13.3435754094,320.089,234.427,789.986,-21.0501587302,-24.7120439967,29.9727130644,29.7227733362,26.4444002818,,,,,,,,,,,,,,,,
6,3039water_regimerainfed,3338395,Kar12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Karlsruhe 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,293.1359938576,69.0049101834,69.3084762159,252.299766029,4923.5581447143,300.7185272127,137.2711732691,,,2012,16.6556877104,15.9497759412,13.1543195123,320.089,227.216,748.363,-22.6376443001,-24.1174196078,29.9727130644,30.0017516988,26.0614383186,,,,,,,,,,,,,,,,
7,401734,3358284,Kar12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,401734.0,,13.0,43.0,"REPLICATE>BLOCK>PLOT:401734,REPLICATE>BLOCK:25,REPLICATE:3",rainfed,3026.5339966833,229.5341176471,"62,8595758722","64,6808710156",6.9469281046,240,295,160,"-1,82129514340",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,401517,3358043,Kar12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,401517.0,,6.0,29.0,"REPLICATE>BLOCK>PLOT:401517,REPLICATE>BLOCK:12,REPLICATE:2",rainfed,3867.7918424754,203.5411764706,"62,8595758722","64,6808710156",7.8725490196,245,295,165,"-1,82129514340",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,401700,3358246,Kar12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Karlsruhe 2012,REPLICATE>BLOCK>PLOT,,,401700.0,,1.0,5.0,"REPLICATE>BLOCK>PLOT:401700,REPLICATE>BLOCK:1,REPLICATE:1",rainfed,3333.3333333333,217.1764705882,"63,8763017097","64,6808710156",7.2392156863,245,290,150,"-0,80456930590",2012,,,,,,,,,,,,,,,,,,,,,,,,,,,
