,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill
0,400310,3359701,Kar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Karlsruhe 2013,REPLICATE>BLOCK>PLOT,,,400310.0,,12.0,27.0,"REPLICATE>BLOCK>PLOT:400310,REPLICATE>BLOCK:30,REPLICATE:2",watered,3693.319487712,268.2049411765,"68,6907212253","67,2869986061",9.9056653595,240,295,130,"1,40372261920",2013,,,,,,,,,,,
1,400212,3359592,Kar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Karlsruhe 2013,REPLICATE>BLOCK>PLOT,,,400212.0,,9.0,13.0,"REPLICATE>BLOCK>PLOT:400212,REPLICATE>BLOCK:17,REPLICATE:1",watered,3549.186128804,257.7385882353,"70,3107674332","71,9479437137",9.1476222222,230,270,125,"-1,63717628050",2013,,,,,,,,,,,
2,401906,3359284,Kar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Karlsruhe 2013,REPLICATE>BLOCK>PLOT,,,401906.0,,14.0,51.0,"REPLICATE>BLOCK>PLOT:401906,REPLICATE>BLOCK:28,REPLICATE:3",rainfed,4462.4235886372,251.0534117647,"68,6907212253","65,7692587506",11.2030666667,290,325,140,"2,92146247470",2013,,,,,,,,,,,
3,401277,3358612,Kar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Karlsruhe 2013,REPLICATE>BLOCK>PLOT,,,401277.0,,2.0,32.0,"REPLICATE>BLOCK>PLOT:401277,REPLICATE>BLOCK:4,REPLICATE:2",rainfed,4458.5537918871,258.4482352941,"67,2869986061","67,2869986061",11.5230535948,260,315,135,"0,00000000000",2013,,,,,,,,,,,
4,401401,3358746,Kar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Karlsruhe 2013,REPLICATE>BLOCK>PLOT,,,401401.0,,4.0,16.0,"REPLICATE>BLOCK>PLOT:401401,REPLICATE>BLOCK:8,REPLICATE:1",rainfed,4270.2890978753,259.9662352941,"70,3107674332","67,2869986061",11.1013098039,280,335,130,"3,02376882710",2013,,,,,,,,,,,
5,3039water_regimewatered,3339133,Kar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Karlsruhe 2013,VIRTUAL_TRIAL,,,,,,,,watered,316.5896988248,68.62944198,68.6663771758,231.2037336674,3649.0295468068,281.5277764347,134.5433423094,,,2013,15.9742113095,19.9492810458,13.569456932,367.668,196.508,850.951,-99.960585901,-31.2200619966,28.9193044534,33.9153324517,24.1835253241
6,3039water_regimerainfed,3338887,Kar13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Karlsruhe 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,311.2820532501,69.3114069355,68.0123781688,265.4796815463,4494.4389020405,,127.8840282134,,,2013,15.9742113095,19.9334027778,13.6689890957,367.668,158.695,861.695,-66.1982638889,-42.3291102538,28.9193044534,33.9767815316,24.3224365922
7,400304,3359666,Kar13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Karlsruhe 2013,REPLICATE>BLOCK>PLOT,,,400304.0,,11.0,24.0,"REPLICATE>BLOCK>PLOT:400304,REPLICATE>BLOCK:29,REPLICATE:2",watered,3133.0028913672,225.5485882353,"67,2869986061","67,2869986061",7.0664437908,270,315,140,"0,00000000000",2013,,,,,,,,,,,
8,400074,3359413,Kar13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Karlsruhe 2013,REPLICATE>BLOCK>PLOT,,,400074.0,,3.0,18.0,"REPLICATE>BLOCK>PLOT:400074,REPLICATE>BLOCK:21,REPLICATE:1",watered,2519.7740112994,251.2705882353,"64,2677005306","64,2677005306",6.3314509804,235,285,130,"0,00000000000",2013,,,,,,,,,,,
9,401916,3359293,Kar13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Karlsruhe 2013,REPLICATE>BLOCK>PLOT,,,401916.0,,14.0,41.0,"REPLICATE>BLOCK>PLOT:401916,REPLICATE>BLOCK:27,REPLICATE:3",rainfed,3115.6930126002,236.7370588235,"65,7692587506","64,2677005306",7.376,255,300,140,"1,50155822000",2013,,,,,,,,,,,
