observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,Heading(CO_321:1000036),Heading(CO_321:1000036).date,Height(CO_321:1000218),Height(CO_321:1000218).date,PlantEstablishment(WIPO:0000272),PlantEstablishment(WIPO:0000272).date
sw-111BLOCK8PLOT44,3030754,WS2,Wheat_Spring_MTA,97775,https://doi.org/10.15454/1.514284688310937E12,TRI 10327,VIRTUAL_TRIAL,,,,,26,11,,2015,,,,,3,2015-04-24T02:00:00Z
sw-476BLOCK7PLOT13,3030645,WS2,Wheat_Spring_MTA,63070,https://doi.org/10.15454/LQCE0R,CHINESE SPRING,VIRTUAL_TRIAL,,,,,21,2,,2015,85,2015-06-04T02:00:00Z,81,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-290BLOCK9PLOT6,3030717,WS2,Wheat_Spring_MTA,22268,https://doi.org/10.15454/3SROVI,114/62,VIRTUAL_TRIAL,,,,,24,14,,2015,,,,,3,2015-04-24T02:00:00Z
sw-290BLOCK8PLOT57,3030815,WS2,Wheat_Spring_MTA,22268,https://doi.org/10.15454/3SROVI,114/62,VIRTUAL_TRIAL,,,,,29,12,,2015,,,,,3,2015-04-24T02:00:00Z
sw-248BLOCK4PLOT58,3030483,WS2,Wheat_Spring_MTA,48312,https://doi.org/10.15454/3PANTZ,AE 525,VIRTUAL_TRIAL,,,,,12,20,,2015,,,,,2,2015-04-24T02:00:00Z
sw-250BLOCK2PLOT49,3030335,WS2,Wheat_Spring_MTA,48314,https://doi.org/10.15454/MOHZLS,ID393 EP048-1,VIRTUAL_TRIAL,,,,,5,12,,2015,96,2015-06-15T02:00:00Z,92,2015-07-06T02:00:00Z,1,2015-04-24T02:00:00Z
sw-230BLOCK2PLOT10,3030351,WS2,Wheat_Spring_MTA,48288,https://doi.org/10.15454/QCAGV4,TR17 TP061-TP063,VIRTUAL_TRIAL,,,,,6,8,,2015,89,2015-06-08T02:00:00Z,93,2015-07-06T02:00:00Z,1,2015-04-24T02:00:00Z
sw-232BLOCK8PLOT24,3030752,WS2,Wheat_Spring_MTA,48290,https://doi.org/10.15454/PKEGRP,TR51 TP065-1,VIRTUAL_TRIAL,,,,,26,9,,2015,89,2015-06-08T02:00:00Z,83,2015-07-06T02:00:00Z,1,2015-04-24T02:00:00Z
sw-394BLOCK9PLOT15,3030698,WS2,Wheat_Spring_MTA,23590,https://doi.org/10.15454/JJN2EK,MOCHO DE ESPIGA BIANCA,VIRTUAL_TRIAL,,,,,23,15,,2015,79,2015-05-29T02:00:00Z,82,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-394BLOCK7PLOT11,3030824,WS2,Wheat_Spring_MTA,23590,https://doi.org/10.15454/JJN2EK,MOCHO DE ESPIGA BIANCA,VIRTUAL_TRIAL,,,,,30,1,,2015,76,2015-05-26T02:00:00Z,92,2015-07-06T02:00:00Z,3,2015-04-24T02:00:00Z
sw-274BLOCK4PLOT46,3030462,WS2,Wheat_Spring_MTA,48334,https://doi.org/10.15454/XYDY1I,SPE 351-2-1,VIRTUAL_TRIAL,,,,,11,19,,2015,91,2015-06-10T02:00:00Z,79,2015-07-06T02:00:00Z,1,2015-04-24T02:00:00Z
sw-065BLOCK5PLOT30,3030633,WS2,Wheat_Spring_MTA,60704,https://doi.org/10.15454/GLFQ8J,JANETSKIS PROBAT,VIRTUAL_TRIAL,,,,,20,10,,2015,89,2015-06-08T02:00:00Z,84,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-229BLOCK1PLOT22,3030266,WS2,Wheat_Spring_MTA,48298,https://doi.org/10.15454/URVDCC,IG 119456,VIRTUAL_TRIAL,,,,,2,3,,2015,91,2015-06-10T02:00:00Z,80,2015-07-06T02:00:00Z,2,2015-04-24T02:00:00Z
sw-056BLOCK2PLOT36,3030274,WS2,Wheat_Spring_MTA,48153,https://doi.org/10.15454/IW6V5I,WELFORD,VIRTUAL_TRIAL,,,,,2,11,,2015,,,,,2,2015-04-24T02:00:00Z
