"Curation";"Variable ID";"Variable name";"Variable synonyms";"Context of use";"Growth stage";"Variable status";"Variable Xref";"Institution";"Scientist";"Date";"Language";"Crop";"Trait ID";"Trait name";"Trait class";"Trait description";"Trait synonyms";"Main trait abbreviation";"Alternative trait abbreviations";"Entity";"Attribute";"Trait status";"Trait Xref";"Method ID";"Method name";"Method class";"Method description";"Formula";"Method reference";"Scale ID";"Scale name";"Scale class";"Decimal places";"Lower limit";"Upper limit";"Scale Xref";"Category 1";"Category 2";"Category 3";"Category 4";"Category 5";"Category 6";"Category 7";"Category 8";"Category 9";"Category 10"
"From WIPO v1.4";"WIPO:0000001";"SEN-F1_%";"Leaf F1 senescence";;;;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010000";"Leaf senescence";"Morphological";;;;;"leaf";"senescence";;;"WIPO:0020000";"Direct measure";;"% senescence leaf 1 at the date.";;;"UO:0000187";"%";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000187";;;;;;;;;;
"From WIPO v1.4";"WIPO:0000002";"SEN-F2_%";"Leaf F2 senescence";;;;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010000";"Leaf senescence";"Morphological";;;;;"leaf";"senescence";;;"WIPO:0020000";"Direct measure";;"% senescence leaf 2 at the date.";;;"UO:0000187";"%";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000187";;;;;;;;;;
"From WIPO v1.4";"WIPO:0000024";"Sampl.Z65_jj/mm/aa";"Sampling date (Z65)";;"Z65 (Anthesis half-way (anthers occurring half way to tip and base of ear))";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010008";"Sampling date";"Other";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030007";"jj/mm/aa";"Time";;;;;;;;;;;;;;
"From WIPO v1.4";"WIPO:0000025";"Sampl.Z92_jj/mm/aa";"Sampling date (Z92)";;"Z92 (Grain hard, not dented by thumbnail)";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010008";"Sampling date";"Other";;;;;;;;;"WIPO:0020047";"undefined";;;;;"WIPO:0030007";"jj/mm/aa";"Time";;;;;;;;;;;;;;
"Asso";"WIPO:0000050";"SEN-END_dd";"End of senescence computed from anthesis date";;;;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010018";"End of senescence converted from flowering date";"Morphological";;;;;;;;;"WIPO:0020033";"(SEN-START + SEN-DUR)";;;;;"WIPO:0030013";"dd";"Duration";;;;;;;;;;;;;;
"From WIPO v1.4";"WIPO:0000062";"GLAI.Z65+400DD_m²/m²";"Green leaf area index (Z65+400DD)";;"Z65 (Anthesis half-way (anthers occurring half way to tip and base of ear)) + 400DD";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010011";"Green leaf area index";"Morphological";;;;;"leaf";"area";;;"WIPO:0020047";"undefined";;;;;"WIPO:0030009";"m²/m²";"Numerical";;;;;;;;;;;;;;
"From WIPO v1.4";"WIPO:0000063";"GLAI.Z65+450DD_m²/m²";"Green leaf area index (Z65+450DD)";;"Z65 (Anthesis half-way (anthers occurring half way to tip and base of ear)) + 450DD";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010011";"Green leaf area index";"Morphological";;;;;"leaf";"area";;;"WIPO:0020047";"undefined";;;;;"WIPO:0030009";"m²/m²";"Numerical";;;;;;;;;;;;;;
"From WIPO v1.4";"WIPO:0000064";"GLAI.Z65+500DD_m²/m²";"Green leaf area index (Z65+500DD)";;"Z65 (Anthesis half-way (anthers occurring half way to tip and base of ear)) + 500DD";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010011";"Green leaf area index";"Morphological";;;;;"leaf";"area";;;"WIPO:0020047";"undefined";;;;;"WIPO:0030009";"m²/m²";"Numerical";;;;;;;;;;;;;;
"From WIPO v1.4";"WIPO:0000065";"GLAI.Z65+550DD_m²/m²";"Green leaf area index (Z65+550DD)";;"Z65 (Anthesis half-way (anthers occurring half way to tip and base of ear)) + 550DD";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010011";"Green leaf area index";"Morphological";;;;;"leaf";"area";;;"WIPO:0020047";"undefined";;;;;"WIPO:0030009";"m²/m²";"Numerical";;;;;;;;;;;;;;
"From WIPO v1.4";"WIPO:0000066";"GLAI.Z65+600DD_m²/m²";"Green leaf area index (Z65+600DD)";;"Z65 (Anthesis half-way (anthers occurring half way to tip and base of ear)) + 600DD";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010011";"Green leaf area index";"Morphological";;;;;"leaf";"area";;;"WIPO:0020047";"undefined";;;;;"WIPO:0030009";"m²/m²";"Numerical";;;;;;;;;;;;;;
"Asso";"WIPO:0000127";"NIRrefc";"GreenSeeker near-infrared index (~770nm) ";;;;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010042";"GreenSeeker near-infrared index (~770nm) ";"Morphological";;;;;;;;;"WIPO:0020029";"GreenSeeker";;;;;"UO:0000190";"ratio";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000190";;;;;;;;;;
"From WIPO v1.4";"WIPO:0000128";"NIRrefc.Z71";"GreenSeeker near-infrared index (~770nm) (Z71)";;"Z65 (Anthesis half-way (anthers occurring half way to tip and base of ear))";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010042";"GreenSeeker near-infrared index (~770nm) ";"Morphological";;;;;;;;;"WIPO:0020029";"GreenSeeker";;;;;"UO:0000190";"ratio";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000190";;;;;;;;;;
"From WIPO v1.4";"WIPO:0000129";"NIRrefc.Z73";"GreenSeeker near-infrared index (~770nm) (Z73)";;"Z71 (Kernel water ripe (no starch))";;;"INRA";"Jacques Le Gouis";"15/06/2016";"EN";"Wheat";"WIPO:0010042";"GreenSeeker near-infrared index (~770nm) ";"Morphological";;;;;;;;;"WIPO:0020029";"GreenSeeker";;;;;"UO:0000190";"ratio";"Numerical";;;;"http://purl.obolibrary.org/obo/UO_0000190";;;;;;;;;;
