observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,Psi_Fill(EIPO:0000003),Psi_Fill(EIPO:0000003).date,Psi_Flo(EIPO:0000003),Psi_Flo(EIPO:0000003).date,Ri_Early(EIPO:0000002),Ri_Early(EIPO:0000002).date,Ri_Fill(EIPO:0000002),Ri_Fill(EIPO:0000002).date,Ri_Flo(EIPO:0000002),Ri_Flo(EIPO:0000002).date,Tmax_Early(EIPO:0000005),Tmax_Early(EIPO:0000005).date,Tmax_Fill(EIPO:0000005),Tmax_Fill(EIPO:0000005).date,Tmax_Flo(EIPO:0000005),Tmax_Flo(EIPO:0000005).date,Tnight_Early(EIPO:0000001),Tnight_Early(EIPO:0000001).date,Tnight_Fill(EIPO:0000001),Tnight_Fill(EIPO:0000001).date,Tnight_Flo(EIPO:0000001),Tnight_Flo(EIPO:0000001).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
3173water_regimerainfed,3335194,Cam13,Syngenta Campagnola 2013,127567,https://doi.org/10.15454/MR6MIM,LH60_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,207.4804983912,,307.2409603199,,1497.6797000114,,72.8876734499,,80.7350890281,,-16.2348484848,,-65.9166666667,,157.217,,805.623,,280.65,,36.0305152617,,25.1838643933,,35.833935931,,22.4484120549,,14.6478358522,,20.5877606741,,245.4306563533,,85.6471273121,
3075water_regimewatered,3335347,Cam13,Syngenta Campagnola 2013,127471,https://doi.org/10.15454/TOUBKW,UH_P128_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,249.9543853673,,349.5847312943,,1766.9089858714,,68.2721860968,,69.8508399993,,-36.7323717949,,-15.825,,109.781,,974.743,,183.093,,35.8551979912,,25.9699401702,,36.6478417396,,22.3993853377,,14.974225964,,21.7835996011,,279.9900008532,,112.2567590392,
3176water_regimerainfed,3335197,Cam13,Syngenta Campagnola 2013,127570,https://doi.org/10.15454/JBNGJT,Lo1026_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,198.807358825,,285.8707371033,,1661.6088485249,,72.4075200607,,78.4203046024,,-15.5724637681,,-70.5433333333,,124.743,,850.915,,259.14,,35.9894873869,,25.4345666306,,35.8788204634,,22.4431305115,,14.734601264,,20.9206070815,,236.6250698362,,103.4458098252,
3028water_regimerainfed,3335058,Cam13,Syngenta Campagnola 2013,127427,https://doi.org/10.15454/KSZLK9,F838_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,198.3320501333,,286.7263492282,,1795.3038481352,,75.5009909286,,83.7015207201,,-17,,-59.8566666667,,195.829,,763.014,,299.627,,36.2066371311,,24.8202051289,,35.5540756571,,22.484827072,,14.511640859,,20.0695828752,,237.1352957497,,98.4879267769,
3007water_regimewatered,3335283,Cam13,Syngenta Campagnola 2013,127406,https://doi.org/10.15454/NPJBWJ,MS153_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,222.0297610037,,350.6131652959,,1915.5629599084,,71.1815874213,,73.5964012572,,-37.3112244898,,-17.3188405797,,109.781,,905.238,,204.817,,35.8551979912,,25.6278817972,,36.5638170489,,22.3993853377,,14.7981389703,,21.5691445807,,259.9057296199,,117.8219386686,
3076water_regimewatered,3335348,Cam13,Syngenta Campagnola 2013,127472,https://doi.org/10.15454/SP8JD0,EP51_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,245.2417454447,,318.6061190187,,1317.903668966,,72.7764828634,,76.1808681695,,-37.3936170213,,-19.3159722222,,124.743,,873.79,,212.483,,35.9894873869,,25.6402575044,,35.9494494712,,22.4431305115,,14.7861077202,,21.0640470107,,272.8372734358,,114.0082638457,
3181water_regimewatered,3335448,Cam13,Syngenta Campagnola 2013,127575,https://doi.org/10.15454/089G4O,Lo1087_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,255.9870895685,,341.3886675718,,2531.1336259396,,71.1401560909,,73.4262440622,,-37.3112244898,,-19.4019607843,,215.091,,905.238,,228.064,,36.3311736571,,25.501725822,,36.200416299,,22.4937551838,,14.7352385325,,20.8964102356,,293.5243091481,,125.6813483096,
3182water_regimerainfed,3335203,Cam13,Syngenta Campagnola 2013,127576,https://doi.org/10.15454/KF2P15,Lo1094_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,187.5068319032,,314.5183722354,,1738.9951298577,,73.6054199928,,80.9583366215,,-16.2348484848,,-65.3919753086,,126.082,,805.623,,280.65,,35.9319094177,,25.0554850553,,35.8758492794,,22.4241687552,,14.5829806635,,20.7291077313,,227.4968044496,,88.1170248373,
3077water_regimewatered,3335349,Cam13,Syngenta Campagnola 2013,127473,https://doi.org/10.15454/WZXITF,PHH93_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,272.0179967503,,333.0242240088,,2082.7186666605,,72.5973935085,,74.3156455845,,-37.3112244898,,-17.8560606061,,126.082,,905.238,,204.817,,35.9319094177,,25.6278817972,,36.5297762286,,22.4241687552,,14.7981389703,,21.5100025039,,302.9557091752,,135.0484917001,
3003water_regimewatered,3335279,Cam13,Syngenta Campagnola 2013,127402,https://doi.org/10.15454/5GN11W,Oh43_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,233.2693712269,,341.5233844911,,1527.2157453943,,72.0593249001,,77.1936514933,,-37.3936170213,,-18.7633333333,,109.781,,873.79,,236.265,,35.8551979912,,25.5363010218,,36.0039800962,,22.3993853377,,14.7665018165,,21.1362959411,,271.8211135199,,122.4788234917,
