observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
4,3344137,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:1342,REPLICATE>BLOCK:37,REPLICATE>BLOCK:31,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2012,Yes,,,,82,,,,,,80,,15,,,,7.5,,,,,,8,
2,3344135,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:1342,REPLICATE>BLOCK:37,REPLICATE>BLOCK:31,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2012,Yes,,93,,,,85,,,,,,16,,9,,,,8,,,,,
2,3344142,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:1382,REPLICATE>BLOCK:39,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2012,,,90,,,,89,,,,,,18,,8,,,,7.5,,,,,
4,3344189,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:2408,REPLICATE>BLOCK:37,REPLICATE>BLOCK:40,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,,,83,,,,81,,,,,,16,,9,,,,9,,,,,
4,3344144,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:1382,REPLICATE>BLOCK:39,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2012,,,94,,,,90,,,,,,16,,8,,,,7,,,,,
3,3344158,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:1418,REPLICATE>BLOCK:3,REPLICATE>BLOCK:5,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3",watered,2012,Yes,,92,,,,88,,,,,,17,,8,,,,7.5,,,,,
5,3344138,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:1342,REPLICATE>BLOCK:37,REPLICATE>BLOCK:31,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2012,Yes,,,,83,,,,,,80,,18,,,,7.5,,,,,,9,
2,3344187,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:2408,REPLICATE>BLOCK:37,REPLICATE>BLOCK:40,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,,,,,90,,,,82,,,,17,,,,9,,,,9,,,
3,3344196,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:2750,REPLICATE>BLOCK:61,REPLICATE>BLOCK:38,REPLICATE:3,REPLICATE:3",rainfed,2012,,,82,,,,72,,,,,,16,,8,,,,7.5,,,,,
1,3344139,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:1382,REPLICATE>BLOCK:39,REPLICATE>BLOCK:35,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2012,,,91,,,,82,,,,,,16,,8.5,,,,8,,,,,
5,3344190,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:2408,REPLICATE>BLOCK:37,REPLICATE>BLOCK:40,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,,,90,,,,82,,,,,,16,,9,,,,9,,,,,
4,3344159,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:1418,REPLICATE>BLOCK:3,REPLICATE>BLOCK:5,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3",watered,2012,Yes,,90,,,,81,,,,,,16,,9,,,,8,,,,,
4,3344182,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:2349,REPLICATE>BLOCK:36,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,2012,Yes,,84,,,,80,,,,,,16,,9,,,,7.5,,,,,
3,3344188,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:2408,REPLICATE>BLOCK:37,REPLICATE>BLOCK:40,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3",rainfed,2012,,,,,90,,,,73,,,,17,,,,9,,,,8.5,,,
5,3344205,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:2754,REPLICATE>BLOCK:57,REPLICATE>BLOCK:30,REPLICATE:3,REPLICATE:3",rainfed,2012,Yes,,88,,,,81,,,,,,15,,8.5,,,,7.5,,,,,
2,3344202,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:2754,REPLICATE>BLOCK:57,REPLICATE>BLOCK:30,REPLICATE:3,REPLICATE:3",rainfed,2012,Yes,,89,,,,81,,,,,,16,,8,,,,7.5,,,,,
1,3344199,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:2754,REPLICATE>BLOCK:57,REPLICATE>BLOCK:30,REPLICATE:3,REPLICATE:3",rainfed,2012,Yes,,91,,,,84,,,,,,16,,7,,,,7,,,,,
5,3344183,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:2349,REPLICATE>BLOCK:36,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,2012,Yes,,93,,,,82,,,,,,16,,9,,,,8,,,,,
2,3344195,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:2750,REPLICATE>BLOCK:61,REPLICATE>BLOCK:38,REPLICATE:3,REPLICATE:3",rainfed,2012,,,90,,,,82,,,,,,16,,8,,,,8,,,,,
4,3344204,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:2754,REPLICATE>BLOCK:57,REPLICATE>BLOCK:30,REPLICATE:3,REPLICATE:3",rainfed,2012,Yes,,89,,,,84,,,,,,16,,8,,,,7.5,,,,,
4,3344197,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:2750,REPLICATE>BLOCK:61,REPLICATE>BLOCK:38,REPLICATE:3,REPLICATE:3",rainfed,2012,,,87,,,,79,,,,,,16,,9,,,,9,,,,,
3,3344203,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:2754,REPLICATE>BLOCK:57,REPLICATE>BLOCK:30,REPLICATE:3,REPLICATE:3",rainfed,2012,Yes,,89,,,,88,,,,,,15,,8,,,,7.5,,,,,
1,3344191,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:2750,REPLICATE>BLOCK:61,REPLICATE>BLOCK:38,REPLICATE:3,REPLICATE:3",rainfed,2012,,,92,,,,81,,,,,,15,,8,,,,8,,,,,
1,3344176,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:2349,REPLICATE>BLOCK:36,REPLICATE>BLOCK:29,REPLICATE:2,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:2",rainfed,2012,Yes,,74,,,,91,,,,,,19,,7,,,,8,,,,,
2,3344157,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:1418,REPLICATE>BLOCK:3,REPLICATE>BLOCK:5,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:1,REPLICATE:1,REPLICATE:3",watered,2012,Yes,,88,,,,89,,,,,,17,,8.7,,,,8.5,,,,,
1,3344131,Bol12,University_of_Bologna Cadriano 2012,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:1342,REPLICATE>BLOCK:37,REPLICATE>BLOCK:31,REPLICATE:2,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2012,Yes,,93,,,,86,,,,,,16,,9,,,,8.5,,,,,
