observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,Check(EIPO:0000004),Check(EIPO:0000004).date,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
1,3353931,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,83,,,,94,,,,89.5,,,,17,,9,,,,10.5,,,,10.2,,,
7,3353940,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,87.5,,,,88.5,,,,83.5,,,,17,,7.5,,,,9.5,,,,8.5,,,
9,3353942,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,80.5,,,,92.5,,,,83.5,,,,17,,8,,,,10,,,,8.5,,,
4,3353937,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,83.5,,,,93,,,,88,,,,17,,8,,,,9,,,,9,,,
5,3353938,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,83,,,,97.5,,,,86.5,,,,17,,8.2,,,,9,,,,8.5,,,
2,3353955,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,81.5,,,,92,,,,69,,,,16,,7.5,,,,7.5,,,,7.2,,,
3,3353956,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:R1024B02252,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:3,REPLICATE:2,REPLICATE:2",rainfed,2013,Yes,,80,,,,89.5,,,,72,,,,17,,8,,,,8.2,,,,8,,,
8,3353941,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,80,,,,90.5,,,,85.5,,,,17,,8,,,,8.5,,,,8.5,,,
6,3353939,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,84,,,,97,,,,87.5,,,,17,,8,,,,9,,,,9,,,
10,3353943,Gai13,Biogemma Gaillac 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:R1014B02252,REPLICATE>BLOCK:17,REPLICATE:1,REPLICATE:3,REPLICATE:2",watered,2013,Yes,,84,,,,100,,,,92.5,,,,17,,8,,,,10,,,,9.5,,,
