observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,Psi_Fill(EIPO:0000003),Psi_Fill(EIPO:0000003).date,Psi_Flo(EIPO:0000003),Psi_Flo(EIPO:0000003).date,Ri_Early(EIPO:0000002),Ri_Early(EIPO:0000002).date,Ri_Fill(EIPO:0000002),Ri_Fill(EIPO:0000002).date,Ri_Flo(EIPO:0000002),Ri_Flo(EIPO:0000002).date,Tmax_Early(EIPO:0000005),Tmax_Early(EIPO:0000005).date,Tmax_Fill(EIPO:0000005),Tmax_Fill(EIPO:0000005).date,Tmax_Flo(EIPO:0000005),Tmax_Flo(EIPO:0000005).date,Tnight_Early(EIPO:0000001),Tnight_Early(EIPO:0000001).date,Tnight_Fill(EIPO:0000001),Tnight_Fill(EIPO:0000001).date,Tnight_Flo(EIPO:0000001),Tnight_Flo(EIPO:0000001).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
3248water_regimerainfed,3338038,Gra13,Biogemma Graneros 2013,127642,https://doi.org/10.15454/NEO4EO,UH_S020_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,179.8114148553,,309.038360042,,2794.3869671124,,71.4418592818,,74.8611297289,,-44.2090643275,,-224.712962963,,330.266,,1270.587,,412.835,,38.1229706028,,33.2128947333,,37.6039050712,,16.0878727273,,13.1665018607,,15.3412401796,,212.1537717666,,90.9135716798,
3251water_regimerainfed,3338041,Gra13,Biogemma Graneros 2013,127645,https://doi.org/10.15454/HSQIO7,Va26_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,198.3802523661,,342.1237268225,,2272.7086614845,,68.8371686784,,73.0661628782,,-45.974137931,,-227.3733333333,,356.888,,1299.619,,440.214,,38.0746976074,,33.2861698051,,37.589979906,,16.0514949495,,13.2165308255,,15.325589899,,249.0084212423,,95.3098082806,
3254water_regimerainfed,3338044,Gra13,Biogemma Graneros 2013,127648,https://doi.org/10.15454/P7VJXF,W604S_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,172.1649674778,,307.5650837867,,2343.2095329204,,69.8431665149,,74.4342797119,,-44.2090643275,,-222.4275362319,,441.247,,1270.587,,441.119,,38.0960581726,,33.2128947333,,37.4336854134,,15.7570571096,,13.1665018607,,15.6244268775,,225.4474432183,,97.9726388926,
3252water_regimerainfed,3338042,Gra13,Biogemma Graneros 2013,127646,https://doi.org/10.15454/GBTDNM,W117_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,172.0481333563,,296.3325518773,,2438.8605781872,,68.0715887345,,72.7386258734,,-45.6913580247,,-227.6149425287,,254.335,,1244.104,,440.214,,38.2689626735,,33.7497418658,,37.6205742442,,16.2928853755,,13.5079559484,,15.2616405434,,205.5844972005,,68.7720382722,
3251water_regimewatered,3338287,Gra13,Biogemma Graneros 2013,127645,https://doi.org/10.15454/HSQIO7,Va26_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,302.2661908737,,360.0344290674,,3383.5238621776,,69.5127920968,,,,,,,,,,,,,,,,,,,,,,,,,,358.1835842677,,152.8919649121,
3008water_regimerainfed,3337808,Gra13,Biogemma Graneros 2013,127407,https://doi.org/10.15454/GAHOFA,A310_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,187.4744882895,,256.4916636844,,2176.6914172022,,67.5009099558,,72.0034089523,,-48.9336419753,,-226.6666666667,,411.004,,1256.381,,440.351,,38.1183419318,,33.8523774748,,37.4214648414,,15.8719393939,,13.6179306958,,15.4620454545,,222.973485304,,103.1966521623,
3161water_regimerainfed,3337954,Gra13,Biogemma Graneros 2013,127555,https://doi.org/10.15454/DL4JVF,I198_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,165.5273892675,,239.7102040441,,1932.4128520803,,75.1397506046,,78.9956069289,,-39.046875,,-208.6397849462,,327.287,,1084.627,,443.492,,38.0739312419,,33.5810037558,,37.2969076803,,16.0950757576,,13.5203993056,,15.113572825,,213.691240696,,86.1806369244,
3161water_regimewatered,3338200,Gra13,Biogemma Graneros 2013,127555,https://doi.org/10.15454/DL4JVF,I198_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,276.375103828,,256.7088276747,,2851.822203373,,71.9948268365,,,,,,,,,,,,,,,,,,,,,,,,,,351.7034507069,,149.5188875692,
3239water_regimewatered,3338275,Gra13,Biogemma Graneros 2013,127633,https://doi.org/10.15454/HAMEQC,UH_P024_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,296.2524677062,,290.3479515778,,3752.7586550918,,65.4791852066,,,,,,,,,,,,,,,,,,,,,,,,,,344.3536497934,,125.4487464962,
3160water_regimerainfed,3337953,Gra13,Biogemma Graneros 2013,127554,https://doi.org/10.15454/QSWXHN,HMV5502_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,173.6930383813,,321.7558726969,,2710.5965905515,,72.9845171277,,77.3304785726,,-40.5047169811,,-212.117816092,,353.279,,1175.249,,477.766,,38.0265053696,,33.2640294088,,37.3388935147,,16.0623905724,,13.1624857061,,15.1939411355,,209.6994708956,,97.5707905615,
3074water_regimewatered,3338116,Gra13,Biogemma Graneros 2013,127470,https://doi.org/10.15454/21XOCO,B108_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,257.1552459507,,311.6413319214,,3065.9181620304,,68.903080838,,,,,,,,,,,,,,,,,,,,,,,,,,305.4645826912,,134.7311000376,
3159water_regimewatered,3338198,Gra13,Biogemma Graneros 2013,127553,https://doi.org/10.15454/0TQ4ET,HMV5409_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,246.6236434584,,324.2622680259,,3289.2105845016,,67.4441000831,,,,,,,,,,,,,,,,,,,,,,,,,,294.1997893298,,122.0703865688,
3228water_regimewatered,3338264,Gra13,Biogemma Graneros 2013,127622,https://doi.org/10.15454/TZD7EC,PHJ40_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,272.5731868814,,296.4375119757,,3037.4555619697,,66.3348612016,,,,,,,,,,,,,,,,,,,,,,,,,,312.9352800969,,126.8147185658,
3227water_regimerainfed,3338017,Gra13,Biogemma Graneros 2013,127621,https://doi.org/10.15454/Y3D0CI,PHG84_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,187.4415501069,,313.5474428142,,2918.0084277291,,72.3489002897,,76.4252473567,,-41.5740740741,,-215.3641975309,,387.126,,1203.816,,449.199,,38.1196831239,,33.311496221,,37.3243093934,,15.9841297591,,13.1843083614,,15.2586438459,,224.6246636636,,86.9013216204,
3218water_regimerainfed,3338008,Gra13,Biogemma Graneros 2013,127612,https://doi.org/10.15454/PAY7DB,NS701_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,185.3651020249,,297.6845021823,,2303.2570411971,,68.124824563,,73.2421602143,,-45.8567251462,,-227.3733333333,,356.888,,1289.194,,440.214,,38.0746976074,,33.4398591744,,37.589979906,,16.0514949495,,13.2473032961,,15.325589899,,225.0184634821,,91.7696331766,
3156water_regimewatered,3338195,Gra13,Biogemma Graneros 2013,127550,https://doi.org/10.15454/ZLKLHI,HMV5301_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,290.1860605915,,371.4599222436,,3684.4140232575,,67.3945508674,,,,,,,,,,,,,,,,,,,,,,,,,,359.77236893,,134.6945206899,
3215water_regimerainfed,3338005,Gra13,Biogemma Graneros 2013,127609,https://doi.org/10.15454/68UAOE,NK764_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,173.4822849799,,267.8186150884,,2670.8438349181,,68.4489722864,,72.6257743161,,-45.6871069182,,-225.765625,,191.435,,1226.61,,440.214,,38.0690970091,,33.7782967989,,37.6157199995,,16.0939049587,,13.5727287021,,15.3332054924,,223.1585955514,,85.4786758677,
3070water_regimerainfed,3337868,Gra13,Biogemma Graneros 2013,127468,https://doi.org/10.15454/CV1BWK,EA1163_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,190.647829786,,273.6876857227,,1854.774388136,,66.0792177562,,70.2480431075,,-52.5540123457,,-227.6185897436,,275.159,,1268.8,,440.734,,38.0754898213,,33.9873817747,,37.6380971989,,16.1778063241,,13.717020202,,15.2041899767,,232.2841407124,,91.7261939469,
3210water_regimerainfed,3338000,Gra13,Biogemma Graneros 2013,127604,https://doi.org/10.15454/WAG6NL,Lo904_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,190.9336150513,,315.3362598323,,2865.0425533836,,70.7493987919,,74.5541976591,,-44.3994252874,,-224.9107142857,,302.323,,1282.711,,441.119,,38.0538344768,,33.0647630021,,37.6817026624,,16.0841477273,,13.0853265413,,15.3710984848,,232.5390870932,,91.0592052153,
3209water_regimerainfed,3337999,Gra13,Biogemma Graneros 2013,127603,https://doi.org/10.15454/1ZCMBD,Lo1301_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,170.9222535668,,260.052536591,,3151.4117698339,,70.0833269172,,74.2611460578,,-44.0580357143,,-223.7033333333,,387.126,,1260.162,,441.119,,38.1196831239,,33.3680200723,,37.5187210203,,15.9841297591,,13.1969304654,,15.3963171717,,211.220595843,,90.2907035101,
3206water_regimerainfed,3337996,Gra13,Biogemma Graneros 2013,127600,https://doi.org/10.15454/XXTRYK,Lo1288_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,173.817459061,,326.1176342106,,2388.0320480425,,73.6889740507,,77.34506064,,-41.2904761905,,-210.1759259259,,415.177,,1210.707,,447.008,,38.1282594888,,32.7911537925,,37.189973855,,15.8637878788,,12.9714894481,,15.3208585859,,216.804243078,,85.1843476561,
3004water_regimewatered,3338050,Gra13,Biogemma Graneros 2013,127403,https://doi.org/10.15454/EW2AP2,W64A_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,261.2064919945,,289.6160879928,,2631.6463151001,,67.2914080663,,,,,,,,,,,,,,,,,,,,,,,,,,309.6971148383,,138.5588962951,
