observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,L10(MIPO:0000020),L10(MIPO:0000020).date,L11(MIPO:0000020),L11(MIPO:0000020).date,L12(MIPO:0000020),L12(MIPO:0000020).date,L13(MIPO:0000020),L13(MIPO:0000020).date,L14(MIPO:0000020),L14(MIPO:0000020).date,L15(MIPO:0000020),L15(MIPO:0000020).date,L8(MIPO:0000020),L8(MIPO:0000020).date,L9(MIPO:0000020),L9(MIPO:0000020).date,TnbL(MIPO:0000019),TnbL(MIPO:0000019).date,W10(MIPO:0000021),W10(MIPO:0000021).date,W11(MIPO:0000021),W11(MIPO:0000021).date,W12(MIPO:0000021),W12(MIPO:0000021).date,W13(MIPO:0000021),W13(MIPO:0000021).date,W14(MIPO:0000021),W14(MIPO:0000021).date,W15(MIPO:0000021),W15(MIPO:0000021).date,W8(MIPO:0000021),W8(MIPO:0000021).date,W9(MIPO:0000021),W9(MIPO:0000021).date
1,3342135,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:905,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,73,,,,88,,,,78,,,,,,,,17,,7.2,,,,9,,,,9.5,,,,,,,
4,3342137,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:905,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,79,,,,86,,,,77,,,,,,,,17,,8,,,,7.5,,,,8.4,,,,,,,
10,3342129,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,10,,,"REPLICATE>BLOCK>PLOT>PLANT:10,REPLICATE>BLOCK>PLOT:589,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,72,,,,82,,,,76,,,,,,,,17,,7.8,,,,8,,,,7.8,,,,,,,
9,3342124,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,9,,,"REPLICATE>BLOCK>PLOT>PLANT:9,REPLICATE>BLOCK>PLOT:589,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,,,81,,,,73,,,,,,,,77,,16,,,,8.5,,,,8.4,,,,,,,,8.2,
5,3342126,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,5,,,"REPLICATE>BLOCK>PLOT>PLANT:5,REPLICATE>BLOCK>PLOT:589,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,77,,,,82,,,,62,,,,,,,,17,,8.6,,,,7.5,,,,8.2,,,,,,,
2,3342125,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,2,,,"REPLICATE>BLOCK>PLOT>PLANT:2,REPLICATE>BLOCK>PLOT:589,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,74,,,,77,,,,70,,,,,,,,18,,7.5,,,,8,,,,8.2,,,,,,,
3,3342121,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,3,,,"REPLICATE>BLOCK>PLOT>PLANT:3,REPLICATE>BLOCK>PLOT:589,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,,,79,,,,66,,,,,,,,76,,18,,,,8.5,,,,6.5,,,,,,,,8,
8,3342128,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,8,,,"REPLICATE>BLOCK>PLOT>PLANT:8,REPLICATE>BLOCK>PLOT:589,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,75,,,,81,,,,69,,,,,,,,17,,8.2,,,,9,,,,8.5,,,,,,,
7,3342139,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,7,,,"REPLICATE>BLOCK>PLOT>PLANT:7,REPLICATE>BLOCK>PLOT:905,REPLICATE>BLOCK:22,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2013,79,,,,90,,,,72,,,,,,,,18,,7.3,,,,8.4,,,,8.4,,,,,,,
6,3342123,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,6,,,"REPLICATE>BLOCK>PLOT>PLANT:6,REPLICATE>BLOCK>PLOT:589,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,,,78,,,,65,,,,,,,,70,,16,,,,7.5,,,,7.3,,,,,,,,6.8,
4,3342122,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,4,,,"REPLICATE>BLOCK>PLOT>PLANT:4,REPLICATE>BLOCK>PLOT:589,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,,,79,,,,67,,,,,,,,74,,17,,,,7.8,,,,8,,,,,,,,7.5,
1,3342117,Mar13,MTA_ATK Martonvasar 2013,127400,https://doi.org/10.15454/P5UIAJ,B73_H,REPLICATE>BLOCK>PLOT>PLANT,,,,1,,,"REPLICATE>BLOCK>PLOT>PLANT:1,REPLICATE>BLOCK>PLOT:589,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:1,REPLICATE:3",rainfed,2013,,,86,,,,81,,,,,,,,78,,16,,,,9.8,,,,9,,,,,,,,8.5,
