doc_id,section_name,entity_id,entity_type,start_offset,end_offset,surface_form,reference,label
10344200,articletitle,10E8B12C9192F6F4A01040D7937E09B3DAB50D34,taxon,17,22,maize,"http://purl.obolibrary.org/obo/NCBITaxon_4577",Zea mays
10344200,abstracttext,67BCD8BC7E35885E3BDA19255685DCE0FA8D6B9D,taxon,71,76,maize,"http://purl.obolibrary.org/obo/NCBITaxon_4577",Zea mays
10344200,abstracttext,789F681083E6BA9EC86280A64D457DE15DFF76A9,taxon,425,430,wheat,"http://purl.obolibrary.org/obo/NCBITaxon_4565",Triticum aestivum
10344200,abstracttext,42EFFAAFF9F2569128278AA6D9A840B9CDAB628A,taxon,579,584,maize,"http://purl.obolibrary.org/obo/NCBITaxon_4577",Zea mays
10358091,articletitle,D5796B3252D4244E2800F6DEFBCE4803112C31A5,taxon,51,56,HIV-1,"http://purl.obolibrary.org/obo/NCBITaxon_11676",Human immunodeficiency virus 1
10358091,abstracttext,7286D5140A452BB60BC5D0D56B70C966F950266C,taxon,4,9,HIV-1,"http://purl.obolibrary.org/obo/NCBITaxon_11676",Human immunodeficiency virus 1
10358091,abstracttext,103DA99843B434273EA898E68E52445273031C7F,taxon,252,257,yeast,"http://purl.obolibrary.org/obo/NCBITaxon_4932",Saccharomyces cerevisiae
10358091,abstracttext,AA335A04C01744F71570EFAC3F424011A3F66183,taxon,547,552,wheat,"http://purl.obolibrary.org/obo/NCBITaxon_4565",Triticum aestivum
10358091,abstracttext,87ADFA2B2050B411EED8769AF2BCAAE20ADA0DDD,taxon,1030,1035,yeast,"http://purl.obolibrary.org/obo/NCBITaxon_4932",Saccharomyces cerevisiae
9106503,articletitle,7E1AC0F6E6F640DC5DC78B332C0031822BC7B9A6,taxon,34,39,wheat,"http://purl.obolibrary.org/obo/NCBITaxon_4565",Triticum aestivum
9106503,abstracttext,D864A1752CDF9414E3ABE4209EC2330B1CC1AD15,taxon,117,122,wheat,"http://purl.obolibrary.org/obo/NCBITaxon_4565",Triticum aestivum
9106503,abstracttext,77D26494452FD55C6E8EA6F1FBC809531828E7E7,taxon,496,503,tobacco,"http://purl.obolibrary.org/obo/NCBITaxon_4097",Nicotiana tabacum
9106503,abstracttext,EE143522321F58E717593CA752E9BC12C9C53857,taxon,872,879,tobacco,"http://purl.obolibrary.org/obo/NCBITaxon_4097",Nicotiana tabacum
9106503,abstracttext,0D8BDC162654CBC34F748D62B5FF3A0CE4FB33F9,taxon,1055,1062,tobacco,"http://purl.obolibrary.org/obo/NCBITaxon_4097",Nicotiana tabacum
9106503,abstracttext,59ABE0F4C5527CF014BD94120572A782631FCF0F,taxon,1063,1069,plants,"http://purl.obolibrary.org/obo/NCBITaxon_3193",Embryophyta
10419528,articletitle,49DE29A4012BC62AD8F2C7E8AE467B352715DFD6,taxon,18,25,plasmid,"http://purl.obolibrary.org/obo/NCBITaxon_45202",unidentified plasmid
10419528,abstracttext,F490AC054B72FF3C688D25F4FDBF92F4D78A0C09,taxon,160,167,plasmid,"http://purl.obolibrary.org/obo/NCBITaxon_45202",unidentified plasmid
10419528,abstracttext,AB6A09AB256E333CE244B1848ECFE1C7B24FE9AC,taxon,470,477,plasmid,"http://purl.obolibrary.org/obo/NCBITaxon_45202",unidentified plasmid
10419528,abstracttext,AE4FC31589F0ABD3D50C6EE98A7300D5D4F836D3,taxon,618,625,plasmid,"http://purl.obolibrary.org/obo/NCBITaxon_45202",unidentified plasmid
10419528,abstracttext,6A88ECFF53568D94D248D4D45710760E80A5B11B,taxon,686,691,wheat,"http://purl.obolibrary.org/obo/NCBITaxon_4565",Triticum aestivum
10419528,abstracttext,1BAB08162F9FDBD454E78C6EDE27E0491AA51BCA,taxon,819,826,plasmid,"http://purl.obolibrary.org/obo/NCBITaxon_45202",unidentified plasmid
10419528,abstracttext,99AADA597A72AE92EEAC6F21AFFD6AF877A09F89,taxon,887,894,plasmid,"http://purl.obolibrary.org/obo/NCBITaxon_45202",unidentified plasmid
