observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE01004itkt,2773179,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,26094,https://doi.org/10.15454/KQXNER,RE01004,VIRTUAL_TRIAL,,,,,,,,treated,2001,72,,140,,"89,3",,84,
RE00165itkt,2773173,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,49290,gnpis_pui:holding-921_taxon-4898_accession-49290,RE00165,VIRTUAL_TRIAL,,,,,,,,treated,2001,82,,146,,"92,4",,87,
EM00258itkt,2773166,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,49338,gnpis_pui:holding-921_taxon-4898_accession-49338,EM00258,VIRTUAL_TRIAL,,,,,,,,treated,2001,78,,144,,"89,2",,84,
CF00156itkt,2773189,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,48365,gnpis_pui:holding-921_taxon-4898_accession-48365,CF00156,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,145,,"90,5",,"85,2",
RE00160itkt,2773176,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,26871,https://doi.org/10.15454/5JJD7K,RE00160,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,146,,"94,8",,"89,2",
RE01007itkt,2773193,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,49340,gnpis_pui:holding-921_taxon-4898_accession-49340,RE01007,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,141,,"96,1",,"90,4",
RE00163itkt,2773177,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,48918,gnpis_pui:holding-921_taxon-4898_accession-48918,RE00163,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,146,,"88,4",,"83,2",
RE00153itkt,2773203,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,49355,gnpis_pui:holding-921_taxon-4898_accession-49355,RE00153,VIRTUAL_TRIAL,,,,,,,,treated,2001,88,,142,,84,,"79,1",
CF00108itkt,2773163,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,26103,https://doi.org/10.15454/VUCZZU,CF00108,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,146,,"89,7",,"84,4",
RE00161itkt,2773175,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,48948,gnpis_pui:holding-921_taxon-4898_accession-48948,RE00161,VIRTUAL_TRIAL,,,,,,,,treated,2001,82,,145,,"89,5",,"84,2",
Chargeritkt,2773186,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2001,75,,145,,"95,9",,"90,3",
RE01003itkt,2773199,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,49335,gnpis_pui:holding-921_taxon-4898_accession-49335,RE01003,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,144,,"95,6",,90,
LM01002itkt,2773195,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,48949,gnpis_pui:holding-921_taxon-4898_accession-48949,LM01002,VIRTUAL_TRIAL,,,,,,,,treated,2001,82,,148,,"74,3",,"69,9",
EM00252itkt,2773171,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,49681,gnpis_pui:holding-921_taxon-4898_accession-49681,EM00252,VIRTUAL_TRIAL,,,,,,,,treated,2001,82,,146,,"85,6",,"80,5",
RE00152itkt,2773202,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,48513,gnpis_pui:holding-921_taxon-4898_accession-48513,RE00152,VIRTUAL_TRIAL,,,,,,,,treated,2001,85,,142,,"83,3",,"78,4",
RE00137itkt,2773201,BTH_Lusignan_2001_SetB2,BTH_Lusignan_2001_SetB2,49686,gnpis_pui:holding-921_taxon-4898_accession-49686,RE00137,VIRTUAL_TRIAL,,,,,,,,treated,2001,80,,144,,"84,7",,"79,7",
