observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI07019itkt,2826904,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,61759,https://doi.org/10.15454/SFPRAV,DI07019,VIRTUAL_TRIAL,,,,,,,,treated,2007,"25,5",,132,,NA,,100,,NA,,47,,NA,,56,,NA,,204,,31,,"0,23",,103,,50,,305,,"10,2",,"75,8",,NA,,1400,,"2,16",,NA,
DI06007itkt,2826933,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,treated,2007,21,,89,,97,,NA,,"38,2",,NA,,"62,4",,NA,,198,,NA,,35,,"0,39",,120,,9,,377,,"13,8",,"75,5",,1495,,NA,,NA,,33,
Barokitkt,2826868,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2007,"23,5",,112,,94,,NA,,"57,6",,NA,,"56,9",,NA,,"208,5",,NA,,47,,"0,42",,143,,62,,398,,"12,06",,"78,6",,"1707,5",,NA,,NA,,33,
RE06061itkt,2826925,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27831,https://doi.org/10.15454/BPSJCE,RE06061,VIRTUAL_TRIAL,,,,,,,,treated,2007,"21,2",,91,,NA,,97,,NA,,26,,NA,,90,,NA,,212,,47,,"0,52",,164,,19,,243,,"11,4",,"76,5",,NA,,1250,,"1,66",,NA,
RE06055itkt,2826895,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,treated,2007,"19,8",,79,,NA,,94,,NA,,23,,NA,,94,,NA,,211,,48,,"0,61",,143,,22,,301,,"10,9",,77,,NA,,1100,,"1,37",,NA,
RE06023itkt,2826905,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27827,https://doi.org/10.15454/B5PA3I,RE06023,VIRTUAL_TRIAL,,,,,,,,treated,2007,"25,8",,135,,NA,,100,,NA,,29,,NA,,66,,NA,,196,,53,,"0,39",,178,,64,,379,,"11,4",,"77,7",,NA,,1400,,"2,82",,NA,
RE06050itkt,2826903,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27828,https://doi.org/10.15454/PRTXZC,RE06050,VIRTUAL_TRIAL,,,,,,,,treated,2007,"16,7",,56,,NA,,94,,NA,,9,,NA,,62,,NA,,165,,50,,"0,89",,124,,6,,264,,"10,4",,"75,6",,NA,,1000,,"1,51",,NA,
RE06140itkt,2826907,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27834,https://doi.org/10.15454/YQFE3M,RE06140,VIRTUAL_TRIAL,,,,,,,,treated,2007,"24,5",,122,,NA,,100,,NA,,50,,NA,,71,,NA,,221,,43,,"0,35",,153,,-1,,266,,"10,9",,"75,6",,NA,,1500,,"2,66",,NA,
AO07803itkt,2826882,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27764,https://doi.org/10.15454/NMXDOZ,AO07803,VIRTUAL_TRIAL,,,,,,,,treated,2007,"19,8",,80,,100,,NA,,"54,5",,NA,,91,,NA,,"245,5",,NA,,73,,"0,92",,212,,56,,315,,"11,125",,"79,5",,"1697,5",,NA,,NA,,39,
DI07016itkt,2826898,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27804,https://doi.org/10.15454/0DEDAU,DI07016,VIRTUAL_TRIAL,,,,,,,,treated,2007,15,,46,,NA,,88,,NA,,7,,NA,,18,,NA,,113,,37,,"0,8",,71,,18,,336,,"11,2",,"79,1",,NA,,900,,"1,78",,NA,
AO07218itkt,2826919,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27758,https://doi.org/10.15454/HQFX9Y,AO07218,VIRTUAL_TRIAL,,,,,,,,treated,2007,"20,9",,89,,97,,NA,,"71,5",,NA,,72,,NA,,"240,5",,NA,,53,,"0,6",,151,,46,,287,,"10,915",,76,,"1652,5",,NA,,NA,,34,
CF05173itkt,2826916,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2007,"17,2",,60,,94,,NA,,"76,6",,NA,,94,,NA,,"264,6",,NA,,75,,"1,25",,184,,12,,299,,"12,265",,"75,9",,"1712,5",,NA,,NA,,34,
DI07021itkt,2826881,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27806,https://doi.org/10.15454/HIUKXE,DI07021,VIRTUAL_TRIAL,,,,,,,,treated,2007,"19,6",,78,,NA,,100,,NA,,34,,NA,,90,,NA,,224,,74,,"0,94",,228,,44,,332,,"11,2",,75,,NA,,1500,,"2,42",,NA,
CF05079itkt,2826915,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2007,"14,8",,44,,100,,NA,,"87,1",,NA,,"84,4",,NA,,"271,5",,NA,,122,,"2,77",,234,,70,,363,,"12,175",,78,,"1837,5",,NA,,NA,,55,
AO07438itkt,2826911,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27762,https://doi.org/10.15454/XHRZAO,AO07438,VIRTUAL_TRIAL,,,,,,,,treated,2007,"23,7",,114,,94,,NA,,"67,9",,NA,,"95,5",,NA,,"257,4",,NA,,65,,"0,58",,236,,"60,5",,357,,"11,335",,"75,7",,"1677,5",,NA,,NA,,45,
CF06136itkt,2826934,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2007,"22,3",,101,,NA,,100,,NA,,63,,NA,,80,,NA,,243,,56,,"0,56",,170,,50,,196,,"10,1",,"75,8",,NA,,1700,,"3,27",,NA,
DI05014itkt,2826887,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2007,"17,9",,65,,97,,NA,,"59,2",,NA,,79,,NA,,"235,2",,NA,,51,,"0,78",,133,,8,,243,,"12,125",,"75,7",,1620,,NA,,NA,,29,
RE05007itkt,2826874,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,treated,2007,"26,5",,142,,100,,NA,,"48,7",,NA,,"56,1",,NA,,"204,8",,NA,,46,,"0,32",,165,,51,,191,,"12,76",,"74,3",,1735,,NA,,NA,,37,
CF05162itkt,2826890,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,treated,2007,"20,4",,84,,97,,NA,,"54,9",,NA,,"95,5",,NA,,"247,4",,NA,,89,,"1,06",,245,,66,,356,,"11,97",,"75,5",,1605,,NA,,NA,,53,
CF06016itkt,2826921,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27782,https://doi.org/10.15454/96DRU4,CF06016,VIRTUAL_TRIAL,,,,,,,,treated,2007,"15,3",,48,,NA,,94,,NA,,26,,NA,,72,,NA,,192,,74,,"1,56",,153,,45,,308,,"10,6",,"73,7",,NA,,1200,,"2,47",,NA,
CF03201itkt,2826901,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2007,"22,7",,105,,97,,NA,,"53,4",,NA,,91,,NA,,"241,4",,NA,,77,,"0,74",,242,,56,,372,,"12,37",,"78,7",,"1542,5",,NA,,NA,,37,
AO07210itkt,2826880,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2007,"20,2",,83,,91,,NA,,"55,9",,NA,,"81,8",,NA,,"228,7",,NA,,77,,"0,94",,232,,12,,327,,"11,805",,"74,1",,"1527,5",,NA,,NA,,32,
AO07302itkt,2826932,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,treated,2007,20,,81,,94,,NA,,"56,6",,NA,,"84,4",,NA,,235,,NA,,69,,"0,85",,219,,"22,5",,292,,"12,055",,"74,3",,"1542,5",,NA,,NA,,33,
AO07403itkt,2826879,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27761,https://doi.org/10.15454/KYXZFC,AO07403,VIRTUAL_TRIAL,,,,,,,,treated,2007,"16,1",,53,,100,,NA,,70,,NA,,"80,5",,NA,,"250,5",,NA,,62,,"1,19",,138,,20,,195,,"11,61",,"75,9",,1670,,NA,,NA,,33,
AO07311itkt,2826917,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27760,https://doi.org/10.15454/RMDMGI,AO07311,VIRTUAL_TRIAL,,,,,,,,treated,2007,23,,107,,100,,NA,,"78,4",,NA,,94,,NA,,"272,4",,NA,,72,,"0,67",,229,,63,,352,,"11,51",,"79,5",,1580,,NA,,NA,,41,
CF04043itkt,2826902,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,treated,2007,"22,1",,99,,97,,NA,,"69,4",,NA,,"72,1",,NA,,"238,5",,NA,,54,,"0,55",,153,,"53,5",,270,,"11,235",,"77,6",,1680,,NA,,NA,,38,
RE06134itkt,2826883,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,treated,2007,"23,8",,115,,NA,,97,,NA,,28,,NA,,88,,NA,,212,,54,,"0,47",,216,,-4,,315,,11,,"76,2",,NA,,1300,,"2,5",,NA,
Hendrixitkt,2826869,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2007,"24,1",,118,,NA,,97,,NA,,29,,NA,,94,,NA,,220,,73,,"0,62",,283,,40,,346,,"11,5",,"80,2",,NA,,1400,,"3,02",,NA,
Folkloritkt,2826875,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2007,"24,1",,118,,97,,NA,,"83,8",,NA,,94,,NA,,"274,8",,NA,,85,,"0,73",,329,,70,,292,,"13,66",,"74,1",,1670,,NA,,NA,,52,
RE06060itkt,2826924,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2007,"19,3",,75,,NA,,97,,NA,,23,,NA,,92,,NA,,212,,44,,"0,58",,130,,9,,265,,"10,7",,"75,7",,NA,,1200,,"1,35",,NA,
RE06127itkt,2826914,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27267,https://doi.org/10.15454/TBKWQN,RE06127,VIRTUAL_TRIAL,,,,,,,,treated,2007,"21,4",,93,,NA,,100,,NA,,42,,NA,,82,,NA,,224,,57,,"0,61",,188,,5,,391,,"11,5",,77,,NA,,1300,,"2,53",,NA,
Apacheitkt,2826896,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2007,"23,3",,"110,5",,91,,100,,"76,3",,47,,"73,1",,96,,240,,243,,"53,5",,"0,49",,185,,41,,355,,"11,075",,"76,6",,1670,,1550,,"2,28",,41,
Toisondoritkt,2826872,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2007,"16,4",,55,,94,,NA,,"82,9",,NA,,"79,9",,NA,,257,,NA,,75,,"1,39",,175,,57,,340,,"13,08",,"75,1",,1695,,NA,,NA,,41,
Flamenkoitkt,2826906,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2007,"18,9",,72,,97,,NA,,"80,8",,NA,,"88,5",,NA,,266,,NA,,91,,"1,26",,255,,61,,348,,"12,38",,"74,3",,"1777,5",,NA,,NA,,48,
CF05161itkt,2826888,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26974,https://doi.org/10.15454/BQTYVO,CF05161,VIRTUAL_TRIAL,,,,,,,,treated,2007,"18,9",,72,,97,,NA,,"74,8",,NA,,"74,6",,NA,,"246,4",,NA,,106,,"1,47",,259,,63,,241,,"12,375",,"74,3",,"1587,5",,NA,,NA,,50,
EM05230itkt,2826897,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26988,https://doi.org/10.15454/FV0GUM,EM05230,VIRTUAL_TRIAL,,,,,,,,treated,2007,"20,9",,89,,94,,NA,,"28,7",,NA,,"36,9",,NA,,160,,NA,,32,,"0,36",,104,,6,,330,,"11,72",,"74,7",,"1477,5",,NA,,NA,,24,
Karillonitkt,2826926,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2007,"18,6",,70,,97,,NA,,"51,8",,NA,,"85,5",,NA,,"234,3",,NA,,76,,"1,09",,189,,66,,307,,"11,39",,"76,4",,1565,,NA,,NA,,35,
Ghaytaitkt,2826920,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2007,"24,5",,122,,NA,,94,,NA,,35,,NA,,87,,NA,,216,,84,,"0,69",,339,,54,,330,,"12,5",,"77,7",,NA,,1400,,"2,63",,NA,
AO07102itkt,2826893,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,treated,2007,"21,9",,97,,97,,NA,,"59,8",,NA,,"75,4",,NA,,"232,2",,NA,,34,,"0,35",,104,,"16,5",,287,,"10,485",,"79,7",,1505,,NA,,NA,,14,
AO07116itkt,2826928,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27755,https://doi.org/10.15454/IF7X64,AO07116,VIRTUAL_TRIAL,,,,,,,,treated,2007,"19,9",,80,,97,,NA,,"69,1",,NA,,94,,NA,,"260,1",,NA,,74,,"0,93",,201,,"54,5",,341,,"10,925",,"77,1",,"1482,5",,NA,,NA,,36,
EM06307itkt,2826922,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,treated,2007,"23,5",,112,,NA,,97,,NA,,27,,NA,,83,,NA,,206,,37,,"0,33",,129,,48,,338,,"10,5",,"77,7",,NA,,1320,,"2,1",,NA,
DI07015itkt,2826899,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27842,https://doi.org/10.15454/CW6MPE,DI07015,VIRTUAL_TRIAL,,,,,,,,treated,2007,"14,8",,45,,NA,,88,,NA,,26,,NA,,51,,NA,,165,,42,,"0,94",,85,,8,,359,,"11,4",,"78,9",,NA,,750,,"1,86",,NA,
CF03287itkt,2826908,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,treated,2007,20,,81,,97,,NA,,"77,2",,NA,,"95,5",,NA,,"269,7",,NA,,90,,"1,11",,260,,52,,358,,"12,6",,"77,6",,"1657,5",,NA,,NA,,43,
RE05108itkt,2826912,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,treated,2007,"19,1",,74,,91,,NA,,"57,4",,NA,,76,,NA,,"224,4",,NA,,40,,"0,54",,121,,15,,294,,"12,295",,"75,9",,1475,,NA,,NA,,30,
RE06048itkt,2826923,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,treated,2007,"23,6",,113,,NA,,100,,NA,,26,,NA,,72,,NA,,198,,41,,"0,36",,164,,17,,329,,"11,3",,"77,2",,NA,,1200,,"1,64",,NA,
RE05005itkt,2826873,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,treated,2007,"24,1",,118,,100,,NA,,"51,2",,NA,,"75,4",,NA,,"226,6",,NA,,60,,"0,51",,201,,"59,5",,200,,"12,385",,"76,4",,"1747,5",,NA,,NA,,43,
RE05047itkt,2826871,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,treated,2007,"20,3",,84,,91,,NA,,"59,6",,NA,,"86,5",,NA,,"237,1",,NA,,83,,1,,220,,60,,299,,"13,1",,78,,1695,,NA,,NA,,43,
CF06193itkt,2826910,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27067,https://doi.org/10.15454/739FBM,CF06193,VIRTUAL_TRIAL,,,,,,,,treated,2007,"19,4",,76,,NA,,94,,NA,,29,,NA,,92,,NA,,216,,65,,"0,85",,203,,48,,323,,"10,8",,"78,6",,NA,,1300,,"2,33",,NA,
CF06227itkt,2826892,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27068,https://doi.org/10.15454/PIPBFU,CF06227,VIRTUAL_TRIAL,,,,,,,,treated,2007,"21,5",,94,,NA,,100,,NA,,36,,NA,,94,,NA,,230,,78,,"0,83",,259,,56,,332,,"10,3",,"77,2",,NA,,1450,,"3,34",,NA,
CF06230itkt,2826931,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27069,https://doi.org/10.15454/PBD8PO,CF06230,VIRTUAL_TRIAL,,,,,,,,treated,2007,"21,4",,93,,NA,,100,,NA,,53,,NA,,90,,NA,,242,,73,,"0,79",,241,,50,,348,,11,,"74,5",,NA,,1580,,"2,65",,NA,
CF06107itkt,2826884,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,27066,https://doi.org/10.15454/PVLGW3,CF06107,VIRTUAL_TRIAL,,,,,,,,treated,2007,"21,6",,95,,NA,,91,,NA,,26,,NA,,78,,NA,,195,,66,,"0,69",,193,,47,,342,,"10,7",,"76,3",,NA,,1150,,"2,4",,NA,
Soissonsitkt,2826886,BTH_Le_Moulon_2007_TECH,BTH_Le_Moulon_2007_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2007,"20,75",,"87,5",,97,,100,,"76,3",,29,,"82,9",,74,,256,,202,,73,,"0,84",,249,,51,,"358,5",,"11,78",,"77,55",,"1687,5",,1400,,"1,55",,48,
