observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE07004itkt,2831603,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,130,,71,,"86,3",,"74,9",
Mendelitkt,2831622,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,133,,70,,"98,6",,"85,6",
DI08005itkt,2831620,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,49067,gnpis_pui:holding-921_taxon-4898_accession-49067,DI08005,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,137,,"74,5",,"112,8",,"97,9",
DI08006itkt,2831621,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,49329,gnpis_pui:holding-921_taxon-4898_accession-49329,DI08006,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,138,,"75,8",,"97,1",,"84,2",
RE07025itkt,2831623,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,136,,"75,9",,"92,9",,"80,6",
AO08202itkt,2831627,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,49578,gnpis_pui:holding-921_taxon-4898_accession-49578,AO08202,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,130,,71,,"91,5",,"79,4",
Caphornitkt,2831615,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2008,3,,134,,"71,9",,"100,4",,"87,1",
CF07008itkt,2831631,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,136,,"72,6",,"95,2",,"82,6",
DI08001itkt,2831616,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,49581,gnpis_pui:holding-921_taxon-4898_accession-49581,DI08001,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,134,,"74,4",,"99,4",,"86,3",
EM07186itkt,2831596,BTH_Clermont-Ferrand_2008_SetB1,BTH_Clermont-Ferrand_2008_SetB1,48691,gnpis_pui:holding-921_taxon-4898_accession-48691,EM07186,VIRTUAL_TRIAL,,,,,,,,treated,2008,1,,129,,"75,1",,"86,9",,"75,4",
