observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Koreliitkfi,2837220,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,82,,"51,2",,146,,"9,54",,"77,5",,109,,"65,5",
Flamenkoitkt,2837249,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2009,90,,"48,6",,140,,"9,06",,"74,7",,"104,4",,"97,7",
Flamenkoitknt,2837248,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,88,,,,140,,,,"74,2",,"112,8",,"90,7",
Flamenkoitkfi,2837247,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"52,8",,140,,"8,34",,"73,5",,"115,7",,"69,5",
RE06060itkt,2837279,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2009,85,,"50,2",,142,,"10,01",,"73,4",,95,,"88,9",
RE06060itkfi,2837277,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,78,,"51,2",,142,,"9,07",,"69,4",,"110,8",,"66,6",
Soissonsitkfi,2837286,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,82,,"44,9",,140,,"9,91",,"75,3",,"96,1",,"57,7",
CF05173itkt,2837258,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2009,82,,"53,5",,144,,"9,64",,75,,"96,4",,"90,2",
CF05173itknt,2837257,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,85,,,,144,,,,"74,4",,"109,4",,"87,9",
Soissonsitknt,2837287,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,88,,,,138,,,,"72,6",,"91,9",,"73,9",
RE06060itknt,2837278,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,88,,,,142,,,,"68,2",,"110,3",,"88,7",
CF05173itkfi,2837256,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"54,1",,145,,"9,46",,"70,8",,"109,1",,"65,5",
EM06233itknt,2837299,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27819,https://doi.org/10.15454/SA4R8B,EM06233,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,88,,,,144,,,,"74,9",,"101,8",,"81,8",
