observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Ressor,2768626,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,2001,3,,"3,12",,725,,3,
CF99005,2768627,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,2001,"4,5",,"5,32",,2093,,1,
RE99009,2768634,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,2001,"6,5",,"1,76",,593,,4,
CF99105,2768633,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,2001,"2,5",,"2,63",,"0,73",,1,
CF99031,2768616,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,2001,7,,"5,45",,4911,,4,
DI9714,2768615,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,"2,58",,569,,3,
AO01001,2768632,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,48414,gnpis_pui:holding-921_taxon-4898_accession-48414,AO01001,VIRTUAL_TRIAL,,,,,,,,2001,3,,"6,12",,4983,,1,
Charger,2768625,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,,NA,
Tremie,2768628,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,24505,https://doi.org/10.15454/9YBOHR,TREMIE,VIRTUAL_TRIAL,,,,,,,,2001,NA,,NA,,NA,,NA,
Voltige,2768618,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,2001,3,,"2,13",,905,,3,
EM99012,2768639,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,2001,"2,5",,"3,28",,1019,,1,
EM99001,2768623,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,2001,3,,"7,38",,5315,,3,
RE99017,2768635,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,2001,4,,"2,4",,825,,1,
RE99123,2768629,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,26875,https://doi.org/10.15454/WJONCW,RE99123,VIRTUAL_TRIAL,,,,,,,,2001,"4,5",,"2,18",,1263,,3,
EM99002,2768622,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,2001,3,,"6,37",,"5,42",,1,
CF9825,2768613,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,2001,2,,"5,96",,5354,,1,
EM99017,2768640,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,2001,4,,"6,77",,3976,,1,
DI9812,2768637,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,2001,"3,5",,"5,27",,5123,,1,
RE9819,2768614,BTH_Rennes_2001_SetA1_PIETIN-VERSE,BTH_Rennes_2001_SetA1_PIETIN-VERSE,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,2001,"7,5",,"2,52",,"1,53",,1,
