observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI11012,2866430,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,2012,3,,"7,3",,5,,1,,1,
DI11013,2866429,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,2012,4,,"4,5",,5,,1,,1,
RE10042,2866419,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,2012,7,,"6,4",,5,,2,,1,
AO12007,2866410,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,49256,https://doi.org/10.15454/W3CJOS,AO12007,VIRTUAL_TRIAL,,,,,,,,2012,"7,5",,"7,1",,5,,2,,1,
Crousty,2866421,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2012,5,,NA,,5,,6,,4,
EM09227,2866416,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,48498,https://doi.org/10.15454/GGN6HS,EM09227,VIRTUAL_TRIAL,,,,,,,,2012,4,,"8,1",,5,,4,,1,
DI11002,2866414,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,60786,https://doi.org/10.15454/XUWXYL,DI11002,VIRTUAL_TRIAL,,,,,,,,2012,7,,"3,1",,5,,4,,1,
AO12015,2866428,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,60849,https://doi.org/10.15454/OXSRSV,AO12015,VIRTUAL_TRIAL,,,,,,,,2012,"6,5",,"7,5",,5,,1,,1,
AO12021,2866399,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,2012,"2,5",,"4,1",,2,,3,,1,
AO12026,2866400,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,61035,https://doi.org/10.15454/GVC2CV,AO12026,VIRTUAL_TRIAL,,,,,,,,2012,4,,7,,5,,3,,1,
RE10099,2866415,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,49222,https://doi.org/10.15454/YP9ZYW,RE10099,VIRTUAL_TRIAL,,,,,,,,2012,"4,5",,"5,7",,5,,1,,1,
DI11014,2866431,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,2012,4,,"4,3",,2,,3,,3,
Altigo,2866417,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,2012,"6,5",,NA,,5,,4,,3,
Bermude,2866403,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2012,9,,NA,,2,,3,,1,
AO12024,2866402,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,49471,https://doi.org/10.15454/DTWPJI,AO12024,VIRTUAL_TRIAL,,,,,,,,2012,4,,5,,2,,3,,2,
