observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fr(CO_321:1000271),fr(CO_321:1000271).date
Apache,2878370,BTH_Chaux_des_Prés_2013_SetB3,BTH_Chaux_des_Prés_2013_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2013,"2,5",
AO13027,2878357,BTH_Chaux_des_Prés_2013_SetB3,BTH_Chaux_des_Prés_2013_SetB3,49214,https://doi.org/10.15454/8SM83Z,AO13027,VIRTUAL_TRIAL,,,,,,,,2013,2,
Pakito,2878366,BTH_Chaux_des_Prés_2013_SetB3,BTH_Chaux_des_Prés_2013_SetB3,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,2013,"2,5",
EM12340,2878386,BTH_Chaux_des_Prés_2013_SetB3,BTH_Chaux_des_Prés_2013_SetB3,48377,https://doi.org/10.15454/KP9UFC,EM12340,VIRTUAL_TRIAL,,,,,,,,2013,"3,5",
EM12359,2878372,BTH_Chaux_des_Prés_2013_SetB3,BTH_Chaux_des_Prés_2013_SetB3,48644,https://doi.org/10.15454/BZ52A8,EM12359,VIRTUAL_TRIAL,,,,,,,,2013,2,
RE12068,2878352,BTH_Chaux_des_Prés_2013_SetB3,BTH_Chaux_des_Prés_2013_SetB3,49026,https://doi.org/10.15454/MZDFOJ,RE12068,VIRTUAL_TRIAL,,,,,,,,2013,6,
Altigo,2878378,BTH_Chaux_des_Prés_2013_SetB3,BTH_Chaux_des_Prés_2013_SetB3,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,2013,3,
Bermude,2878356,BTH_Chaux_des_Prés_2013_SetB3,BTH_Chaux_des_Prés_2013_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2013,"3,5",
Solehio,2878371,BTH_Chaux_des_Prés_2013_SetB3,BTH_Chaux_des_Prés_2013_SetB3,27088,https://doi.org/10.15454/E4TDMS,SOLEHIO,VIRTUAL_TRIAL,,,,,,,,2013,"3,5",
AO13030,2878358,BTH_Chaux_des_Prés_2013_SetB3,BTH_Chaux_des_Prés_2013_SetB3,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,2013,"7,5",
AO13047,2878362,BTH_Chaux_des_Prés_2013_SetB3,BTH_Chaux_des_Prés_2013_SetB3,49371,https://doi.org/10.15454/QBXBWF,AO13047,VIRTUAL_TRIAL,,,,,,,,2013,"7,5",
CF12376,2878385,BTH_Chaux_des_Prés_2013_SetB3,BTH_Chaux_des_Prés_2013_SetB3,49458,https://doi.org/10.15454/WEEH9V,CF12376,VIRTUAL_TRIAL,,,,,,,,2013,"3,5",
DI13005,2878359,BTH_Chaux_des_Prés_2013_SetB3,BTH_Chaux_des_Prés_2013_SetB3,49746,https://doi.org/10.15454/C5YYJZ,DI13005,VIRTUAL_TRIAL,,,,,,,,2013,"5,5",
DI13006,2878360,BTH_Chaux_des_Prés_2013_SetB3,BTH_Chaux_des_Prés_2013_SetB3,49207,https://doi.org/10.15454/DM26Q1,DI13006,VIRTUAL_TRIAL,,,,,,,,2013,"6,5",
