observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI12011,2875439,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,2013,7,,"7,8",,NA,,4,,4,
EM11537,2875406,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,2013,"7,5",,2,,2,,3,,1,
Koreli,2875422,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2013,NA,,NA,,5,,NA,,NA,
Barok,2875427,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2013,4,,NA,,5,,4,,2,
RE11035,2875418,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,2013,"7,5",,"7,9",,5,,3,,3,
RE11059,2875416,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,2013,"3,5",,"8,7",,5,,3,,1,
RE11091,2875415,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,2013,6,,"8,4",,5,,3,,2,
RE11094,2875414,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,2013,"8,5",,"8,7",,5,,3,,3,
RE11095,2875413,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,49685,https://doi.org/10.15454/NZBGQD,RE11095,VIRTUAL_TRIAL,,,,,,,,2013,"8,5",,"8,6",,5,,3,,3,
RE11096,2875412,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,48664,https://doi.org/10.15454/ITWRUM,RE11096,VIRTUAL_TRIAL,,,,,,,,2013,4,,"8,5",,5,,4,,1,
RE11098,2875407,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,2013,3,,"8,1",,5,,2,,1,
Apache,2875425,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2013,3,,NA,,5,,6,,1,
Attlass,2875438,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,2013,6,,NA,,2,,3,,1,
Grapeli,2875433,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,2013,6,,NA,,2,,4,,1,
CF11029,2875424,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,2013,5,,"1,4",,2,,NA,,9,
CF11051,2875408,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,49515,https://doi.org/10.15454/XTUZ9D,CF11051,VIRTUAL_TRIAL,,,,,,,,2013,6,,8,,5,,NA,,6,
CF11177,2875441,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,2013,5,,"4,1",,3,,2,,1,
CF11215,2875404,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,49188,https://doi.org/10.15454/5IXUYK,CF11215,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,"7,4",,5,,NA,,8,
CF11291,2875443,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,48959,https://doi.org/10.15454/VMWB4Q,CF11291,VIRTUAL_TRIAL,,,,,,,,2013,4,,"5,4",,5,,2,,1,
DI12005,2875419,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,2013,4,,"3,4",,2,,NA,,9,
DI12011-2,2875428,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,48340,https://doi.org/10.15454/R5JV1T,DI12011-2,VIRTUAL_TRIAL,,,,,,,,2013,"7,5",,"7,7",,NA,,3,,1,
EM11389,2875405,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,48373,https://doi.org/10.15454/QK5GLN,EM11389,VIRTUAL_TRIAL,,,,,,,,2013,4,,"7,6",,5,,3,,1,
EM11441,2875423,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,2013,"8,5",,"2,1",,2,,2,,3,
EM11579,2875442,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,2013,"5,5",,8,,5,,3,,1,
EM11604,2875426,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,2013,"8,5",,"7,6",,5,,3,,3,
RE11058,2875417,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,"8,1",,5,,2,,4,
RE11073,2875410,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,2013,7,,"7,9",,5,,3,,5,
RE11075,2875409,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,2013,"5,5",,"7,9",,5,,2,,5,
RE11087,2875435,BTH_Rennes_2013_SetA2_PIETIN-VERSE,BTH_Rennes_2013_SetA2_PIETIN-VERSE,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,2013,6,,"7,9",,5,,2,,4,
