observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO13025itkfi,2877450,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,61004,https://doi.org/10.15454/0TKQE8,AO13025,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"1,5",,92,,1,,160,,"10,9",,"77,6",,"111,2",,5,,"84,2",,"2,5",,5,,5,
RE12042itkt,2877445,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,86,,,,158,,"13,2",,"82,1",,"104,7",,,,105,,,,,,6,
CF12273itkt,2877495,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,49671,https://doi.org/10.15454/XJPBH3,CF12273,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,76,,,,158,,"12,1",,"83,1",,"98,7",,,,"99,1",,,,,,4,
AO13025itkt,2877451,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,61004,https://doi.org/10.15454/0TKQE8,AO13025,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,84,,,,162,,"11,9",,"82,4",,"107,1",,,,"107,5",,,,,,7,
AO13024itkt,2877453,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,60990,https://doi.org/10.15454/SCWN6J,AO13024,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,78,,,,162,,"11,6",,"82,9",,105,,,,"105,3",,,,,,4,
CF12200itkfi,2877468,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,48698,https://doi.org/10.15454/CBPECM,CF12200,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,82,,"3,5",,162,,"10,7",,"75,3",,"117,1",,6,,"88,7",,1,,3,,"6,5",
RE12042itkfi,2877444,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,92,,1,,159,,"12,1",,"78,3",,"106,8",,"1,5",,"80,8",,2,,5,,"4,5",
AO13022itkfi,2877462,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,2,,84,,1,,158,,11,,78,,"104,5",,4,,"79,1",,3,,7,,4,
AO13026itkfi,2877454,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,86,,1,,158,,11,,"79,2",,"103,5",,"5,5",,"78,3",,2,,"6,5",,4,
AO13026itkt,2877455,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,,,160,,"11,9",,83,,"105,6",,,,106,,,,,,"4,5",
CF12200itkt,2877469,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,48698,https://doi.org/10.15454/CBPECM,CF12200,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,78,,,,162,,"11,4",,80,,"109,9",,,,"110,3",,,,,,7,
Bermudeitkt,2877449,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,84,,,,160,,"11,6",,"81,7",,"105,7",,,,"106,1",,,,,,"3,5",
RE12053itkfi,2877484,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,61448,https://doi.org/10.15454/BEMSDR,RE12053,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"4,5",,84,,1,,162,,"12,4",,"73,8",,116,,1,,"87,8",,1,,3,,"4,5",
DI13004itkt,2877465,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,49219,https://doi.org/10.15454/6NP2UD,DI13004,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,86,,,,162,,"12,2",,"82,9",,"102,5",,,,"102,8",,,,,,"3,5",
AO13022itkt,2877463,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,60962,https://doi.org/10.15454/57FECX,AO13022,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,,,158,,"11,9",,83,,"102,9",,,,"103,3",,,,,,7,
RE12053itkt,2877485,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,61448,https://doi.org/10.15454/BEMSDR,RE12053,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,80,,,,163,,"12,7",,79,,"90,8",,,,"91,1",,,,,,"6,5",
RE12050itkt,2877479,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,49040,https://doi.org/10.15454/B2JKAS,RE12050,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,81,,,,163,,"12,6",,"81,6",,"106,4",,,,"106,8",,,,,,6,
RE12050itkfi,2877478,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,49040,https://doi.org/10.15454/B2JKAS,RE12050,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,2,,84,,1,,163,,"11,6",,76,,"115,1",,"3,5",,"87,2",,1,,5,,3,
RE12057itkt,2877493,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,61483,https://doi.org/10.15454/9QIAHU,RE12057,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,,,162,,"11,6",,"78,5",,"108,3",,,,"108,7",,,,,,8,
AO13017itkfi,2877500,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,60866,https://doi.org/10.15454/85C3HD,AO13017,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,81,,1,,158,,"10,8",,"76,5",,104,,1,,"78,8",,"8,5",,3,,4,
AO13017itkt,2877501,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,60866,https://doi.org/10.15454/85C3HD,AO13017,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,,,160,,12,,"83,4",,"105,2",,,,"105,5",,,,,,5,
RE12057itkfi,2877492,BTH_Estrées-Mons_2013_SetB2,BTH_Estrées-Mons_2013_SetB2,61483,https://doi.org/10.15454/9QIAHU,RE12057,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"3,5",,88,,1,,160,,"11,4",,"74,1",,"116,9",,1,,"88,5",,1,,4,,"6,5",
