observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
EM09015itkt,2849256,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,treated,2010,62,,150,,"10,92",,79,,"97,6",,"92,1",
DI10002itkfi,2849291,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48382,gnpis_pui:holding-921_taxon-4898_accession-48382,DI10002,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,156,,"11,46",,"77,5",,"102,2",,"75,5",
EM09015itkfi,2849255,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,65,,149,,"10,44",,"82,3",,"108,8",,"80,3",
Caphornitkfi,2849279,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,151,,"11,39",,80,,"98,5",,"72,7",
Koreliitkt,2849268,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2010,80,,154,,"10,66",,"81,8",,100,,"94,3",
Koreliitkfi,2849267,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,78,,155,,"12,41",,"83,2",,"96,7",,"71,5",
CF09028itkt,2849306,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49437,gnpis_pui:holding-921_taxon-4898_accession-49437,CF09028,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,153,,"10,22",,"77,1",,"94,2",,"88,8",
CF09028itkfi,2849305,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,49437,gnpis_pui:holding-921_taxon-4898_accession-49437,CF09028,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,152,,"11,14",,"80,8",,"95,2",,"70,3",
CF09030itkfi,2849261,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48471,gnpis_pui:holding-921_taxon-4898_accession-48471,CF09030,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,72,,146,,"10,8",,"79,3",,"98,5",,"72,8",
RE09029itkfi,2849285,BTH_Estrées-Mons_2010_SetB1,BTH_Estrées-Mons_2010_SetB1,48519,https://doi.org/10.15454/R0LHUG,RE09029,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,152,,"11,3",,"84,3",,"100,8",,"74,5",
