observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO12002,2873296,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,2013,9,,"2,6",,3,,NA,,9,
EM10126,2873301,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,2013,8,,NA,,5,,NA,,1,
CF10185,2873323,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,2013,6,,NA,,5,,4,,1,
AO13007,2873289,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,"7,4",,5,,6,,1,
AO13001,2873287,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,2013,5,,"6,5",,5,,6,,1,
CF10064,2873290,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,2013,5,,NA,,2,,3,,1,
AO12006,2873299,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,2013,7,,"1,7",,2,,5,,1,
AO12016,2873315,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,2013,8,,"7,5",,5,,NA,,8,
CF09117,2873317,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,2013,4,,NA,,3,,3,,1,
EM08231,2873311,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,2013,7,,NA,,5,,1,,2,
Folklor,2873286,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2013,"6,5",,NA,,2,,2,,1,
RE10039,2873294,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,49138,https://doi.org/10.15454/NSZ09C,RE10039,VIRTUAL_TRIAL,,,,,,,,2013,9,,"2,1",,2,,NA,,3,
Apache,2873300,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2013,3,,NA,,5,,6,,1,
Lyrik,2873322,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2013,5,,NA,,2,,3,,2,
CF08027,2873321,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,2013,"5,5",,NA,,2,,2,,1,
Granamax,2873302,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,2013,"6,5",,NA,,5,,5,,1,
AO11011,2873304,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2013,7,,NA,,5,,4,,1,
Gotik,2873310,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,NA,,2,,NA,,8,
AO12011,2873314,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,2013,"7,5",,"5,7",,5,,NA,,7,
AO12013,2873313,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,48425,https://doi.org/10.15454/9SFFFA,AO12013,VIRTUAL_TRIAL,,,,,,,,2013,6,,NA,,5,,4,,3,
DI11012,2873319,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,2013,4,,NA,,5,,NA,,6,
DI11013,2873318,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,2013,5,,NA,,5,,NA,,6,
RE10042,2873307,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,2013,"6,5",,NA,,5,,4,,3,
Gallixe,2873316,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,2013,"5,5",,NA,,5,,4,,1,
Crousty,2873308,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,2013,5,,NA,,5,,NA,,8,
Galibier,2873295,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,59302,https://doi.org/10.15454/Y60IB3,GALIBIER,VIRTUAL_TRIAL,,,,,,,,2013,4,,NA,,5,,6,,6,
Pakito,2873298,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,27745,https://doi.org/10.15454/YJMDM5,PAKITO,VIRTUAL_TRIAL,,,,,,,,2013,6,,NA,,5,,3,,1,
AO11013,2873284,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,2013,7,,NA,,5,,4,,1,
AO13009,2873292,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,49308,https://doi.org/10.15454/X9GHDQ,AO13009,VIRTUAL_TRIAL,,,,,,,,2013,"3,5",,"6,5",,5,,6,,5,
EM09320,2873285,BTH_Rennes_2013_SetA1_PIETIN-VERSE,BTH_Rennes_2013_SetA1_PIETIN-VERSE,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,2013,"4,5",,NA,,5,,4,,6,
