observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08021itkfi,2834430,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49426,gnpis_pui:holding-921_taxon-4898_accession-49426,DI08021,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,95,,145,,"12,11",,"94,4",,"74,1",,1,,2,,1,
Lyrikitkfi,2834440,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,90,,144,,"10,12",,"120,9",,"94,8",,1,,2,,1,
RE07115itkt,2834371,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48742,gnpis_pui:holding-921_taxon-4898_accession-48742,RE07115,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"87,5",,144,,"11,42",,"90,8",,93,,,,,,1,
RE07115itkfi,2834370,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48742,gnpis_pui:holding-921_taxon-4898_accession-48742,RE07115,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,"92,5",,"144,5",,"10,83",,"103,7",,"81,4",,2,,"2,5",,"1,5",
AO08515itkt,2834433,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49033,gnpis_pui:holding-921_taxon-4898_accession-49033,AO08515,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"82,5",,"139,5",,"10,58",,"98,4",,"100,8",,,,,,1,
RE07112itkfi,2834390,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48859,gnpis_pui:holding-921_taxon-4898_accession-48859,RE07112,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,"102,5",,"147,5",,"10,3",,"102,1",,"80,1",,2,,3,,1,
RE07112itkt,2834391,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48859,gnpis_pui:holding-921_taxon-4898_accession-48859,RE07112,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"97,5",,148,,"10,44",,"96,3",,"98,7",,,,,,1,
AO08515itkfi,2834432,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49033,gnpis_pui:holding-921_taxon-4898_accession-49033,AO08515,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,85,,139,,"10,44",,"90,5",,71,,6,,"4,5",,1,
Lyrikitkt,2834441,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,90,,146,,"10,16",,"107,5",,"110,2",,,,,,1,
Caphornitkt,2834419,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,81,,145,,"10,52",,"98,2",,"100,6",,,,,,1,
