observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI08011itkfi,2833536,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,82,,138,,"72,8",,"115,1",,"45,9",,"5,2",
CF07143itkfi,2833559,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,108,,140,,"75,8",,"150,1",,"59,8",,3,
DI08014itkfi,2833538,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49513,gnpis_pui:holding-921_taxon-4898_accession-49513,DI08014,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,78,,142,,"63,2",,"90,9",,"36,2",,"5,8",
Koreliitkfi,2833546,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,98,,142,,"78,2",,"132,9",,53,,"3,8",
CF07098itkfi,2833542,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49624,gnpis_pui:holding-921_taxon-4898_accession-49624,CF07098,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,141,,"72,7",,"124,3",,"49,6",,"3,5",
DI08012itkfi,2833535,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49381,gnpis_pui:holding-921_taxon-4898_accession-49381,DI08012,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,78,,139,,"72,4",,"109,1",,"43,5",,"6,2",
RE07083itkfi,2833566,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,134,,"72,6",,107,,"42,6",,"5,8",
CF07193itkfi,2833544,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,142,,"72,2",,"120,9",,"48,2",,4,
CF07097itkfi,2833545,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,142,,"73,6",,"129,3",,"51,6",,"4,2",
RE07075itkfi,2833565,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,49516,gnpis_pui:holding-921_taxon-4898_accession-49516,RE07075,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,136,,"70,1",,"101,9",,"40,6",,"5,2",
Apacheitkfi,2833548,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,136,,"72,8",,"104,1",,"41,5",,"6,5",
RE07040itkfi,2833540,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,87,,140,,"74,6",,"122,5",,"48,8",,"4,2",
RE07045itkfi,2833562,BTH_Lusignan_2008_SetB2,BTH_Lusignan_2008_SetB2,48757,gnpis_pui:holding-921_taxon-4898_accession-48757,RE07045,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,84,,142,,"70,2",,"96,1",,"38,3",,"5,8",
