observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Koreliitkfi,2778598,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"10,03",,"90,8",,,,"73,5",,,,,,,
RE00163itkfi,2778595,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48918,gnpis_pui:holding-921_taxon-4898_accession-48918,RE00163,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"9,36",,"97,8",,,,"79,1",,,,,,,
Koreliitkt,2778600,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2002,95,,139,,"12,27",,"104,7",,,,"107,8",,,,,,4,
Koreliitknt,2778599,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"128,5",,1,,"96,3",,1,,2,,,
RE00113itkfi,2778661,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49700,gnpis_pui:holding-921_taxon-4898_accession-49700,RE00113,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"9,24",,"100,2",,,,"81,1",,,,,,,
DI01019itkt,2778639,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,VIRTUAL_TRIAL,,,,,,,,treated,2002,80,,139,,"12,8",,"103,4",,,,"106,5",,,,,,1,
DI01021itkt,2778582,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49218,gnpis_pui:holding-921_taxon-4898_accession-49218,DI01021,VIRTUAL_TRIAL,,,,,,,,treated,2002,75,,134,,"12,87",,"102,5",,,,"105,6",,,,,,1,
EM00107itkfi,2778583,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"8,52",,"114,7",,,,"92,8",,,,,,,
RE01004itkt,2778603,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26094,https://doi.org/10.15454/KQXNER,RE01004,VIRTUAL_TRIAL,,,,,,,,treated,2002,80,,133,,"15,61",,"91,6",,,,"94,3",,,,,,2,
CF00110itkt,2778621,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26048,https://doi.org/10.15454/7WIU47,CF00110,VIRTUAL_TRIAL,,,,,,,,treated,2002,85,,139,,"12,35",,"102,4",,,,"105,5",,,,,,1,
Skerzzoitkfi,2778655,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"9,96",,"99,6",,,,"80,6",,,,,,,
Skerzzoitknt,2778656,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"136,5",,1,,"102,3",,1,,1,,,
RE01004itknt,2778602,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26094,https://doi.org/10.15454/KQXNER,RE01004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"111,8",,1,,"83,8",,1,,3,,,
RE01004itkfi,2778601,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26094,https://doi.org/10.15454/KQXNER,RE01004,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,,,"11,38",,"90,2",,,,73,,,,,,,
CF00110itknt,2778620,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26048,https://doi.org/10.15454/7WIU47,CF00110,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,121,,1,,"90,7",,1,,4,,,
EM00074itkt,2778648,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,treated,2002,90,,140,,"12,22",,"112,1",,,,"115,4",,,,,,1,
Isengrainitkt,2778654,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2002,80,,132,,"11,65",,"100,2",,,,"103,2",,,,,,1,
Skerzzoitkt,2778657,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2002,90,,139,,"13,75",,"106,4",,,,"109,6",,,,,,2,
RE00108itknt,2778617,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26004,https://doi.org/10.15454/6Q72BN,RE00108,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"121,1",,1,,"90,8",,1,,1,,,
CF99077itknt,2778575,BTH_Le_Moulon_2002_SetA2,BTH_Le_Moulon_2002_SetA2,26047,https://doi.org/10.15454/XORVCY,CF99077,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2002,,,,,,,"121,9",,1,,"91,4",,1,,2,,,
