observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fr(CO_321:1000271),fr(CO_321:1000271).date
AO11009,2859319,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,61334,https://doi.org/10.15454/FHFPK2,AO11009,VIRTUAL_TRIAL,,,,,,,,2011,"1,5",
AO11010,2859317,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,61350,https://doi.org/10.15454/U7J4EQ,AO11010,VIRTUAL_TRIAL,,,,,,,,2011,1,
RE10080,2859334,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,61959,https://doi.org/10.15454/9SDYX3,RE10080,VIRTUAL_TRIAL,,,,,,,,2011,"4,5",
EM10306,2859323,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,61526,https://doi.org/10.15454/MRWRT2,EM10306,VIRTUAL_TRIAL,,,,,,,,2011,3,
EM10304,2859324,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,61512,https://doi.org/10.15454/4AWA2B,EM10304,VIRTUAL_TRIAL,,,,,,,,2011,"5,5",
EM10322,2859322,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,61572,https://doi.org/10.15454/DD34MP,EM10322,VIRTUAL_TRIAL,,,,,,,,2011,"2,5",
CF10108,2859301,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,61973,https://doi.org/10.15454/I6GJS6,CF10108,VIRTUAL_TRIAL,,,,,,,,2011,1,
CF10185,2859337,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,2011,2,
CF10140,2859310,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,2011,2,
CF10180,2859335,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,62021,https://doi.org/10.15454/OKKASS,CF10180,VIRTUAL_TRIAL,,,,,,,,2011,2,
CF10186,2859336,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,62066,https://doi.org/10.15454/DDMJZQ,CF10186,VIRTUAL_TRIAL,,,,,,,,2011,"2,5",
RE10050,2859305,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,61869,https://doi.org/10.15454/ZWYREX,RE10050,VIRTUAL_TRIAL,,,,,,,,2011,"1,5",
RE10063,2859326,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,61927,https://doi.org/10.15454/SHFTXF,RE10063,VIRTUAL_TRIAL,,,,,,,,2011,4,
RE10081,2859333,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,61975,https://doi.org/10.15454/WIBYI7,RE10081,VIRTUAL_TRIAL,,,,,,,,2011,"3,5",
CF10064,2859306,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,2011,1,
CF10082,2859311,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,61957,https://doi.org/10.15454/M4RPQP,CF10082,VIRTUAL_TRIAL,,,,,,,,2011,3,
Koreli,2859313,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2011,2,
RE10072,2859308,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,2011,"4,5",
Premio,2859298,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2011,"6,5",
Apache,2859316,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2011,6,
DI11010,2859329,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,60932,https://doi.org/10.15454/FGQ2LJ,DI11010,VIRTUAL_TRIAL,,,,,,,,2011,4,
EM10317,2859304,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,61542,https://doi.org/10.15454/GSBZL4,EM10317,VIRTUAL_TRIAL,,,,,,,,2011,"2,5",
Attlass,2859327,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,2011,1,
AO11011,2859318,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,2011,"2,5",
DI11012,2859331,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,2011,3,
DI11013,2859330,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,2011,3,
RE10057,2859302,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,48915,https://doi.org/10.15454/QZGDLK,RE10057,VIRTUAL_TRIAL,,,,,,,,2011,3,
RE10060,2859325,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,48417,https://doi.org/10.15454/FWPPIV,RE10060,VIRTUAL_TRIAL,,,,,,,,2011,4,
RE10085,2859312,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,48649,https://doi.org/10.15454/KBZ1TN,RE10085,VIRTUAL_TRIAL,,,,,,,,2011,"3,5",
AO11012,2859299,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,2011,"2,5",
AO11013,2859300,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,2011,"2,5",
AO11014,2859303,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,48888,https://doi.org/10.15454/2YKLGU,AO11014,VIRTUAL_TRIAL,,,,,,,,2011,2,
DI11009,2859315,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,60916,https://doi.org/10.15454/SLLOAU,DI11009,VIRTUAL_TRIAL,,,,,,,,2011,"1,5",
DI11008,2859314,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,60898,https://doi.org/10.15454/RMGL42,DI11008,VIRTUAL_TRIAL,,,,,,,,2011,"1,5",
DI11011,2859328,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,60948,https://doi.org/10.15454/MPMTXE,DI11011,VIRTUAL_TRIAL,,,,,,,,2011,2,
DI11014,2859332,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,2011,3,
Altigo,2859321,BTH_Chaux_des_Prés_2011_SetB2,BTH_Chaux_des_Prés_2011_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,2011,2,
