observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF11150itkfi,2869430,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61461,https://doi.org/10.15454/9DTWQV,CF11150,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,144,,"67,9",,"91,9",,"3,5",,"50,4",,1,,1,
DI12010itkfi,2869422,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61882,https://doi.org/10.15454/IS30KY,DI12010,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,141,,"65,6",,"87,5",,"3,5",,48,,1,,1,
Premioitkfi,2869393,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,138,,"71,7",,"127,8",,"1,5",,70,,1,,1,
CF11110itkfi,2869428,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61410,https://doi.org/10.15454/ERILBD,CF11110,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,144,,"68,4",,"88,6",,"2,5",,"48,6",,1,,1,
Apacheitkfi,2869412,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,138,,"67,3",,"85,1",,"1,5",,"46,6",,1,,1,
DI12011itkfi,2869423,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,141,,"67,8",,"118,9",,"1,5",,"65,2",,1,,1,
EM11537itkfi,2869394,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,145,,"70,8",,105,,"1,5",,"57,5",,1,,"1,5",
CF11159itkfi,2869427,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61494,https://doi.org/10.15454/BNMVC6,CF11159,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,136,,"69,4",,"86,8",,1,,"47,6",,1,,"5,5",
CF11164itkfi,2869411,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61509,https://doi.org/10.15454/HGNUZP,CF11164,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,98,,144,,"70,6",,"99,2",,2,,"54,4",,1,,"1,5",
AO12019itkfi,2869420,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,60929,https://doi.org/10.15454/2XDPMU,AO12019,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,98,,144,,"70,2",,122,,1,,"66,9",,1,,1,
Bermudeitkfi,2869400,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,144,,"68,5",,"101,1",,2,,"55,4",,1,,1,
RE11073itkfi,2869399,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,142,,77,,"134,1",,"2,5",,"73,5",,1,,1,
Lyrikitkfi,2869431,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,95,,144,,"71,9",,127,,"2,5",,"69,6",,"1,5",,1,
EM11552itkfi,2869432,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61547,https://doi.org/10.15454/WWS1CM,EM11552,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,144,,"69,6",,"110,2",,"1,5",,"60,4",,1,,3,
CF11158itkfi,2869426,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61478,https://doi.org/10.15454/OKDYWQ,CF11158,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,98,,144,,"69,8",,"97,6",,1,,"53,5",,"6,5",,1,
CF11192itkfi,2869402,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61539,https://doi.org/10.15454/9F9U9Z,CF11192,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,138,,"67,8",,"102,5",,"2,5",,"56,1",,1,,1,
AO12016itkfi,2869408,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,108,,142,,"67,9",,"95,7",,"3,5",,"52,4",,5,,1,
AO12018itkfi,2869421,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,60912,https://doi.org/10.15454/5FEVH3,AO12018,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,146,,"69,8",,"79,2",,NA,,"43,4",,"8,5",,1,
CF11177itkfi,2869429,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,144,,"67,2",,"94,6",,1,,"51,8",,1,,1,
EM11565itkfi,2869410,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61705,https://doi.org/10.15454/LUSDY2,EM11565,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,105,,138,,"58,3",,"68,5",,1,,"37,5",,1,,1,
RE11075itkfi,2869397,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,100,,142,,"76,6",,"138,2",,2,,"75,7",,1,,1,
RE11060itkfi,2869415,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61023,https://doi.org/10.15454/NQSOJJ,RE11060,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,102,,145,,68,,"105,3",,1,,"57,7",,1,,3,
DI12013itkfi,2869425,BTH_Rennes_2012_SetB2,BTH_Rennes_2012_SetB2,61938,https://doi.org/10.15454/LRDMJQ,DI12013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,141,,"62,7",,"82,6",,"3,5",,"45,2",,1,,1,
