observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF06003itkt,2823223,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49241,gnpis_pui:holding-921_taxon-4898_accession-49241,CF06003,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,130,,"11,06",,"71,4",,99,,,,"102,5",,,,1,
CF06003itkfi,2823222,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49241,gnpis_pui:holding-921_taxon-4898_accession-49241,CF06003,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"67,5",,"122,5",,"9,98",,"70,4",,"98,7",,"3,5",,"71,9",,2,,1,
DI07005itkt,2823205,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49455,gnpis_pui:holding-921_taxon-4898_accession-49455,DI07005,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,"128,5",,"11,29",,"71,6",,"92,7",,,,96,,,,1,
DI07005itkfi,2823204,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49455,gnpis_pui:holding-921_taxon-4898_accession-49455,DI07005,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"77,5",,129,,"10,3",,"67,1",,"99,9",,1,,"72,8",,1,,1,
EM06010itkt,2823191,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,129,,"12,06",,"71,7",,"97,3",,,,"100,7",,,,1,
EM06010itkfi,2823190,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48529,gnpis_pui:holding-921_taxon-4898_accession-48529,EM06010,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,"128,5",,"10,8",,"70,1",,103,,1,,75,,2,,1,
RE06007itkfi,2823196,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,128,,"10,61",,"71,1",,"93,9",,1,,"68,4",,1,,3,
RE06007itkt,2823197,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49126,gnpis_pui:holding-921_taxon-4898_accession-49126,RE06007,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,"129,5",,"11,68",,"71,5",,"82,7",,,,"85,6",,,,"4,5",
CF06001itkt,2823219,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49460,gnpis_pui:holding-921_taxon-4898_accession-49460,CF06001,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,127,,"10,55",,"70,4",,"99,7",,,,"103,3",,,,1,
CF06001itkfi,2823218,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49460,gnpis_pui:holding-921_taxon-4898_accession-49460,CF06001,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"125,5",,"9,66",,67,,"104,2",,"3,5",,"75,9",,2,,1,
DI07002itkt,2823203,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49589,gnpis_pui:holding-921_taxon-4898_accession-49589,DI07002,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,"129,5",,"12,07",,"72,9",,"95,1",,,,"98,4",,,,1,
DI07002itkfi,2823202,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49589,gnpis_pui:holding-921_taxon-4898_accession-49589,DI07002,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,129,,"11,62",,"70,6",,106,,1,,"77,2",,1,,1,
Apacheitkt,2823249,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2007,75,,123,,"10,32",,"73,8",,"104,3",,,,108,,,,1,
Apacheitkfi,2823248,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,"122,5",,"9,32",,70,,"98,4",,"5,5",,"71,7",,1,,1,
CF06111itkt,2823255,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49647,gnpis_pui:holding-921_taxon-4898_accession-49647,CF06111,VIRTUAL_TRIAL,,,,,,,,treated,2007,"87,5",,136,,"9,76",,71,,"102,9",,,,"106,5",,,,1,
CF06111itkfi,2823254,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,49647,gnpis_pui:holding-921_taxon-4898_accession-49647,CF06111,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,90,,"135,5",,"8,77",,"66,4",,"95,9",,3,,"69,9",,1,,1,
DI07004itkt,2823207,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48946,gnpis_pui:holding-921_taxon-4898_accession-48946,DI07004,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,130,,"11,26",,70,,"85,3",,,,"88,3",,,,1,
DI07004itkfi,2823206,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,48946,gnpis_pui:holding-921_taxon-4898_accession-48946,DI07004,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,130,,"10,8",,"66,8",,"87,8",,3,,64,,1,,1,
