observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
EM09015itkt,2856255,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,130,,"8,23",,"77,9",,"97,8",,,,94,
RE09079itkfi,2856220,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,132,,"8,58",,"74,7",,"105,8",,4,,"83,8",
RE09079itkt,2856221,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,treated,2011,82,,133,,"8,34",,"73,1",,"99,8",,,,96,
Altigoitkt,2856259,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2011,78,,127,,"8,9",,"76,4",,"100,5",,,,"96,6",
DI10006itkfi,2856272,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,75,,132,,"9,29",,"75,9",,"103,1",,3,,"81,6",
Croustyitkfi,2856262,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,82,,129,,"10,16",,"75,7",,"98,6",,5,,"78,1",
DI10006itkt,2856273,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,treated,2011,77,,133,,"9,04",,"74,7",,"93,1",,,,"89,5",
EM09320-1itkfi,2856276,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48825,https://doi.org/10.15454/2IM7G4,EM09320-1,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,130,,"8,35",,"77,3",,"92,8",,5,,"73,5",
DI10007itkfi,2856270,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,86,,129,,"8,91",,"78,6",,"96,7",,3,,"76,6",
EM09320itkt,2856231,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2011,76,,128,,"8,7",,"77,5",,"104,1",,,,"100,1",
DI10007itkt,2856271,BTH_Dijon_2011_SetA2,BTH_Dijon_2011_SetA2,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,130,,"9,07",,"78,6",,"97,2",,,,"93,4",
