observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,vp(CO_321:1000225),vp(CO_321:1000225).date
DI02008itkt,2801951,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2004,"14,1",,40,,100,,"74,5",,84,,259,,128,,"3,2",,219,,76,,340,,"10,45",,NA,,1482,,"3,18",
DI02008itkfi,2801950,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
Koreliitkt,2802005,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,8",,28,,100,,"45,8",,94,,240,,132,,"4,71",,162,,75,,378,,"10,355",,NA,,1560,,"3,51",
Koreliitkfi,2802004,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
Barokitkfi,2801908,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"17,3",,60,,91,,30,,66,,187,,63,,"1,04",,142,,56,,,,"9,6",,"80,3",,1395,,,
Barokitkt,2801909,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2004,21,,89,,91,,50,,68,,209,,61,,"0,69",,178,,55,,NA,,"11,3",,"81,3",,1490,,"2,21",
CF03201itkfi,2801960,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"19,6",,78,,97,,56,,90,,242,,87,,"1,11",,234,,58,,,,"10,1",,"83,5",,1450,,,
CF03201itkt,2801961,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2004,"20,6",,86,,85,,66,,87,,238,,92,,"1,07",,267,,56,,NA,,"11,7",,"84,7",,1473,,"2,64",
EM02224itkt,2801997,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,treated,2004,"23,3",,110,,100,,"53,6",,"98,5",,252,,59,,"0,54",,188,,20,,307,,"11,435",,NA,,1632,,"2,83",
EM02224itkfi,2801996,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
EM02054itkfi,2801936,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
EM02054itkt,2801937,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,treated,2004,"14,9",,45,,100,,"66,1",,"76,3",,242,,105,,"2,33",,176,,85,,341,,"10,81",,NA,,1532,,"2,99",
EM01343itkt,2801965,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,treated,2004,"19,6",,78,,85,,36,,74,,195,,71,,"0,9",,190,,53,,NA,,"10,5",,"79,8",,1328,,"2,3",
EM01343itkfi,2801964,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"18,2",,67,,85,,37,,83,,204,,59,,"0,87",,140,,60,,,,9,,"78,9",,1270,,,
LM03017itkt,2801979,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,treated,2004,"21,9",,97,,100,,50,,78,,228,,58,,"0,6",,180,,52,,NA,,"10,2",,"81,3",,1500,,"2,34",
LM03017itkfi,2801978,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"16,1",,52,,85,,44,,64,,194,,62,,"1,19",,127,,47,,,,"9,2",,"78,8",,1425,,,
DI02006itkfi,2801924,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,NA,,NA,,,
DI02006itkt,2801925,BTH_Le_Moulon_2004_TECH,BTH_Le_Moulon_2004_TECH,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,VIRTUAL_TRIAL,,,,,,,,treated,2004,"16,1",,53,,100,,"70,3",,"95,5",,266,,123,,"2,37",,252,,72,,352,,"10,8",,NA,,1540,,"2,93",
