observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08019-2itkt,2852940,BTH_Lusignan_2010_TECH,BTH_Lusignan_2010_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,,,NA,
DI08019-2itkfi,2852939,BTH_Lusignan_2010_TECH,BTH_Lusignan_2010_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,,
EM09015itkt,2852998,BTH_Lusignan_2010_TECH,BTH_Lusignan_2010_TECH,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,,,NA,
EM09015itkfi,2852997,BTH_Lusignan_2010_TECH,BTH_Lusignan_2010_TECH,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"21,7",,95,,,,91,,,,"56,6",,,,"76,5",,,,"224,1",,74,,"0,78",,190,,59,,473,,"11,4",,"78,7",,,,1600,,,
HadmF11383itkt,2852950,BTH_Lusignan_2010_TECH,BTH_Lusignan_2010_TECH,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,,,NA,
HadmF11383itkfi,2852949,BTH_Lusignan_2010_TECH,BTH_Lusignan_2010_TECH,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,,
DI10006itkt,2852980,BTH_Lusignan_2010_TECH,BTH_Lusignan_2010_TECH,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,,,NA,
DI10006itkfi,2852979,BTH_Lusignan_2010_TECH,BTH_Lusignan_2010_TECH,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"25,6",,132,,,,100,,,,"58,4",,,,"81,5",,,,"239,8",,47,,"0,36",,145,,95,,400,,"10,6",,"78,5",,,,1620,,,
DI10007itkfi,2853045,BTH_Lusignan_2010_TECH,BTH_Lusignan_2010_TECH,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,"15,4",,48,,,,100,,,,"49,3",,,,"79,2",,,,"228,5",,114,,"2,38",,220,,77,,335,,"11,1",,80,,,,1430,,,
DI10007itkt,2853046,BTH_Lusignan_2010_TECH,BTH_Lusignan_2010_TECH,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,,,NA,,,,NA,,,,NA,,,,NA,,NA,,NA,,NA,,NA,,NA,,,,NA,,,,NA,
