observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
HadmF276itkt,2835797,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,2",,"77,9",,"99,1",,"99,4",
Koreliitkt,2835794,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,1",,"80,7",,"106,1",,"106,4",
AO07127itkt,2835801,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,1",,"78,6",,"92,1",,"92,5",
RE06134itkt,2835788,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27268,https://doi.org/10.15454/K6RWJK,RE06134,VIRTUAL_TRIAL,,,,,,,,treated,2009,12,,"77,1",,"89,3",,"89,6",
Apacheitkt,2835796,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,4",,"78,5",,"97,9",,"98,2",
CF05173itkt,2835806,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,9",,"78,8",,"94,7",,95,
EM06110itkt,2835817,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,treated,2009,"12,1",,"77,5",,"86,6",,87,
EM06307itkt,2835791,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,27838,https://doi.org/10.15454/0CP8RW,EM06307,VIRTUAL_TRIAL,,,,,,,,treated,2009,"11,3",,77,,"99,8",,"100,1",
DI08019-2itkt,2835786,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2009,"10,4",,79,,107,,"107,4",
CF05079itkt,2835805,BTH_Champagne-céréales_2009_SetA1,BTH_Champagne-céréales_2009_SetA1,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2009,12,,"79,2",,"93,6",,"93,9",
