observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ps(CO_321:1000220),ps(CO_321:1000220).date
CF05173itkfi,2817227,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"74,9",
Folkloritkfi,2817207,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"73,5",
CF05001itkfi,2817214,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,48455,gnpis_pui:holding-921_taxon-4898_accession-48455,CF05001,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"76,5",
DI06022itkfi,2817241,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,49273,gnpis_pui:holding-921_taxon-4898_accession-49273,DI06022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"71,4",
RE05041itkfi,2817210,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,27042,https://doi.org/10.15454/1NUEUQ,RE05041,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"74,9",
RE05108itkfi,2817233,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"68,7",
AO06801itkfi,2817217,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,49266,gnpis_pui:holding-921_taxon-4898_accession-49266,AO06801,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"78,3",
AO05002itkfi,2817216,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,49364,https://doi.org/10.15454/DWZO1B,AO05002,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"75,2",
CF05092itkfi,2817211,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,48951,gnpis_pui:holding-921_taxon-4898_accession-48951,CF05092,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,75,
RE05075itkfi,2817232,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,48989,gnpis_pui:holding-921_taxon-4898_accession-48989,RE05075,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"70,1",
DI06018itkfi,2817221,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,48473,gnpis_pui:holding-921_taxon-4898_accession-48473,DI06018,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"68,8",
DI06020itkfi,2817239,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,48984,gnpis_pui:holding-921_taxon-4898_accession-48984,DI06020,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"71,5",
Orvantisitkfi,2817235,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"71,5",
DI06017itkfi,2817219,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,49500,gnpis_pui:holding-921_taxon-4898_accession-49500,DI06017,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"69,2",
EM05312itkfi,2817206,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,48450,https://doi.org/10.15454/XWZ3V6,EM05312,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"73,3",
DI06019itkfi,2817228,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,49334,https://doi.org/10.15454/YSUZEH,DI06019,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"70,3",
RE05106itkfi,2817229,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,48516,gnpis_pui:holding-921_taxon-4898_accession-48516,RE05106,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"60,8",
CF05083itkfi,2817212,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,48769,gnpis_pui:holding-921_taxon-4898_accession-48769,CF05083,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"74,1",
Chargeritkfi,2817225,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"68,8",
CF05146itkfi,2817215,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,49001,gnpis_pui:holding-921_taxon-4898_accession-49001,CF05146,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"73,9",
RE05026itkfi,2817204,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,48440,gnpis_pui:holding-921_taxon-4898_accession-48440,RE05026,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"66,4",
Caphornitkfi,2817222,BTH_Colmar_2006_SetB3,BTH_Colmar_2006_SetB3,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"74,3",
