observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI05020-2itkfi,2812973,BTH_Dijon_2006_SetA2,BTH_Dijon_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,92,,140,,"10,86",,"79,8",,"107,4",,"79,6",,3,
DI05020-2itkt,2812974,BTH_Dijon_2006_SetA2,BTH_Dijon_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,91,,141,,"11,36",,"80,6",,"101,6",,"97,5",,,
DI05022itkt,2812994,BTH_Dijon_2006_SetA2,BTH_Dijon_2006_SetA2,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,treated,2006,91,,143,,"11,51",,"79,6",,103,,"98,8",,,
Orvantisitkt,2812984,BTH_Dijon_2006_SetA2,BTH_Dijon_2006_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,treated,2006,93,,143,,"10,9",,"79,2",,105,,"100,8",,,
DI05001itkt,2812998,BTH_Dijon_2006_SetA2,BTH_Dijon_2006_SetA2,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,148,,"11,49",,"74,9",,"92,3",,"88,5",,,
DI05022itkfi,2812993,BTH_Dijon_2006_SetA2,BTH_Dijon_2006_SetA2,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,91,,142,,"10,48",,"78,4",,"105,5",,"78,2",,4,
RE04022itkfi,2812945,BTH_Dijon_2006_SetA2,BTH_Dijon_2006_SetA2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,94,,144,,"10,13",,"77,2",,"98,1",,"72,7",,6,
Orvantisitkfi,2812983,BTH_Dijon_2006_SetA2,BTH_Dijon_2006_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,95,,141,,"10,23",,"78,4",,"99,4",,"73,7",,6,
CF04022itkfi,2812981,BTH_Dijon_2006_SetA2,BTH_Dijon_2006_SetA2,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,142,,"11,1",,"73,8",,"98,5",,73,,5,
DI05004itkt,2812936,BTH_Dijon_2006_SetA2,BTH_Dijon_2006_SetA2,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,treated,2006,92,,144,,"11,96",,"74,6",,"97,1",,"93,2",,,
