observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieD(CO_321:1000255),NmieD(CO_321:1000255).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NmieS(CO_321:1000248),NmieS(CO_321:1000248).date,NpainD(CO_321:1000254),NpainD(CO_321:1000254).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpainS(CO_321:1000247),NpainS(CO_321:1000247).date,NpateD(CO_321:1000253),NpateD(CO_321:1000253).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NpateS(CO_321:1000246),NpateS(CO_321:1000246).date,NtotD(CO_321:1000256),NtotD(CO_321:1000256).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,NtotS(CO_321:1000249),NtotS(CO_321:1000249).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volD(CO_321:1000257),volD(CO_321:1000257).date,volL(CO_321:1000245),volL(CO_321:1000245).date,volS(CO_321:1000250),volS(CO_321:1000250).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO13026itkt,2976496,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.1,,46,,94,,,,,,48,,,,,,70.5,,,,,,212.5,,,,,,98,,2.15,,180,,43,,389,,,,10.1,,,,1150,,,,,,,,25,
AO13029itkt,2976493,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,traite,2014,13.5,,37,,91,,,,,,29.7,,,,,,76,,,,,,196.7,,,,,,92,,2.51,,147,,46,,381,,,,10.8,,,,1085,,,,,,,,25,
CF13057itkt,2976495,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,traite,2014,19.5,,77,,,,100,,,,,,51.45,,,,,,86.63,,,,,,238.08,,,,69,,0.89,,199,,55,,293,,48.7,,9.8,,74.5,,,,1395,,,,2.14,,,
CF13131itkt,2976518,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,traite,2014,20,,81,,,,100,,,,,,72.7,,,,,,83,,,,,,255.7,,,,58,,0.72,,173,,43,,214,,47.8,,9.1,,77.3,,,,1495,,,,2.19,,,
AO13031itkt,2976498,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,traite,2014,12.5,,32,,91,,,,,,28.2,,,,,,60,,,,,,179.3,,,,,,138,,4.37,,187,,50,,304,,,,10.8,,,,1155,,,,,,,,33,
CF13085itkt,2976525,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,traite,2014,18.2,,67,,,,100,,,,,,69.1,,,,,,84.5,,,,,,253.6,,,,69,,1.02,,178,,20,,245,,46.6,,9.9,,77.1,,,,1475,,,,2.62,,,
CF13187itkt,2976533,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,traite,2014,22.5,,103,,,,100,,,,,,78.1,,,,,,95.5,,,,,,273.6,,,,58,,0.56,,184,,56,,276,,48,,10,,75.7,,,,1620,,,,2.33,,,
DI14001itkt,2976489,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61257,https://doi.org/10.15454/VZKVRG,DI14001,VIRTUAL_TRIAL,,,,,,,,traite,2014,15.3,,47,,91,,,,,,23,,,,,,41.1,,,,,,155.1,,,,,,46,,0.97,,83,,33,,182,,,,10.4,,,,1000,,,,,,,,19,
AO13042itkt,2976508,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,traite,2014,16.6,,56,,91,,,,,,30.5,,,,,,70.5,,,,,,192,,,,,,97,,1.73,,213,,47,,278,,,,10.5,,,,1185,,,,,,,,28,
DI14004itkt,2976487,BTH_Clermont-Ferrand_2014_TECH,BTH_Clermont-Ferrand_2014_TECH,61305,https://doi.org/10.15454/QTCIDC,DI14004,VIRTUAL_TRIAL,,,,,,,,traite,2014,24.8,,125,,100,,,,,,88,,,,,,97,,,,,,285,,,,,,75,,0.6,,252,,53,,290,,,,12,,,,1800,,,,,,,,32,
