observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
LM03017itkt,2801044,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,68",,"101,9",,"109,5",,1,
CF03287itkfi,2801089,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,72",,"106,9",,"92,8",,1,
CF03069itkt,2801094,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,49362,gnpis_pui:holding-921_taxon-4898_accession-49362,CF03069,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,59",,"95,1",,"102,2",,1,
EM03087itkt,2801058,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,49485,gnpis_pui:holding-921_taxon-4898_accession-49485,EM03087,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,81",,"103,1",,"110,8",,1,
CF03349itkfi,2801049,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,49159,gnpis_pui:holding-921_taxon-4898_accession-49159,CF03349,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,3",,99,,86,,1,
EM03087itkfi,2801057,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,49485,gnpis_pui:holding-921_taxon-4898_accession-49485,EM03087,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,39",,"102,5",,"89,1",,1,
CF03287itkt,2801090,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,46",,"105,2",,113,,1,
RE01076itkt,2801028,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,48992,https://doi.org/10.15454/113VGV,RE01076,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,22",,"99,7",,"107,1",,1,
EM03104itkt,2801040,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,48957,gnpis_pui:holding-921_taxon-4898_accession-48957,EM03104,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,61",,"99,7",,107,,1,
RE01076itkfi,2801027,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,48992,https://doi.org/10.15454/113VGV,RE01076,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,49",,"103,2",,"89,7",,1,
EM03104itkfi,2801039,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,48957,gnpis_pui:holding-921_taxon-4898_accession-48957,EM03104,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,72",,105,,"91,3",,2,
RE03015itkt,2801108,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,48680,https://doi.org/10.15454/OR6SZQ,RE03015,VIRTUAL_TRIAL,,,,,,,,treated,2004,"11,12",,"96,2",,"103,3",,1,
RE03015itkfi,2801107,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,48680,https://doi.org/10.15454/OR6SZQ,RE03015,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,89",,"101,6",,"88,3",,1,
LM03020itkt,2801036,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,49048,gnpis_pui:holding-921_taxon-4898_accession-49048,LM03020,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,27",,"100,9",,"108,3",,1,
EM03111itkt,2801088,BTH_Le_Moulon_2004_SetB3,BTH_Le_Moulon_2004_SetB3,49233,https://doi.org/10.15454/ORFNS6,EM03111,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,54",,"100,4",,"107,9",,1,
