observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
AO12021itknt,2872132,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,,,"71,6",,"140,1",,"89,97",
AO13007itkt,2872135,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,94,,149,,"74,3",,"103,4",,106,
AO11011itknt,2872164,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,,,,,"72,6",,131,,"84,12",
AO12021itkt,2872133,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,103,,146,,73,,"107,7",,"110,5",
AO13001itknt,2872130,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,,,,,"71,5",,"129,4",,"83,13",
Croustyitkt,2872173,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,108,,149,,"77,3",,89,,"91,3",
EM09320itkt,2872127,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,100,,144,,"73,2",,"104,5",,"107,2",
AO13001itkt,2872131,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,96,,149,,"74,7",,"101,5",,"104,1",
AO11011itkt,2872165,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,92,,152,,"73,9",,"99,2",,"101,7",
CF09169itknt,2872150,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,,,,,"74,5",,"127,6",,"81,95",
Croustyitknt,2872172,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,4,,,,,,75,,"108,5",,"69,69",
CF10064itkt,2872137,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,106,,148,,"73,6",,"103,7",,"106,4",
Gotikitknt,2872176,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,,,"76,2",,"131,9",,"84,75",
CF10064itknt,2872136,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,,,,,"72,2",,"144,5",,"92,83",
AO12035itknt,2872168,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,,,,,"78,3",,111,,"71,31",
AO12006itknt,2872154,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,,,,,"76,3",,"133,6",,"85,78",
AO12033itknt,2872174,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,,,"75,6",,"115,2",,"74,02",
Gotikitkt,2872177,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49404,https://doi.org/10.15454/DILEEP,GOTIK,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,109,,150,,"76,8",,"106,1",,"108,9",
AO12006itkt,2872155,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,100,,146,,"76,2",,"96,5",,99,
AO12033itkt,2872175,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,60771,https://doi.org/10.15454/KH7BKH,AO12033,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,104,,149,,"76,2",,"95,9",,"98,4",
AO12011itkt,2872185,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48909,https://doi.org/10.15454/JCAVKU,AO12011,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,112,,149,,"76,4",,102,,"104,6",
AO12016itknt,2872186,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,,,,,"70,6",,"118,5",,"76,13",
EM09222itknt,2872180,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,,,,,"72,7",,"147,5",,"94,75",
CF09169itkt,2872151,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,97,,144,,"76,7",,"96,5",,99,
AO12016itkt,2872187,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,107,,150,,"74,7",,"96,3",,"98,8",
