observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
1,2832946,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,48757,gnpis_pui:holding-921_taxon-4898_accession-48757,RE07045,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"70,59",,1,
1,2832894,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"90,21",,1,
2,2832939,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,49172,gnpis_pui:holding-921_taxon-4898_accession-49172,RE07027,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"71,19",,1,
1,2832938,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,49172,gnpis_pui:holding-921_taxon-4898_accession-49172,RE07027,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"65,92",,1,
2,2832935,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,49441,gnpis_pui:holding-921_taxon-4898_accession-49441,DI08008,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"83,24",,4,
1,2832934,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,49441,gnpis_pui:holding-921_taxon-4898_accession-49441,DI08008,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"78,97",,1,
2,2832907,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,49624,gnpis_pui:holding-921_taxon-4898_accession-49624,CF07098,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"85,61",,5,
1,2832906,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,49624,gnpis_pui:holding-921_taxon-4898_accession-49624,CF07098,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,77,,1,
1,2832918,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"89,39",,1,
2,2832919,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"89,36",,"2,5",
2,2832901,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,49535,gnpis_pui:holding-921_taxon-4898_accession-49535,AO08337,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"92,13",,"2,5",
1,2832900,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,49535,gnpis_pui:holding-921_taxon-4898_accession-49535,AO08337,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"84,97",,1,
2,2832927,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"83,81",,"4,5",
1,2832926,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"82,91",,1,
1,2832904,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,27738,https://doi.org/10.15454/JP9LCI,MUSIK,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"88,06",,1,
2,2832905,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,27738,https://doi.org/10.15454/JP9LCI,MUSIK,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"85,05",,"1,5",
1,2832928,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"88,94",,1,
2,2832929,BTH_Dijon_2008_SetB2,BTH_Dijon_2008_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"85,44",,2,
