observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF10185itkfi,2880643,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,138,,"75,9",,"93,9",,"68,9",,1,
Rubiskoitkfi,2880635,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,27744,https://doi.org/10.15454/XSC5N7,RUBISKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,88,,130,,"73,6",,"118,3",,"86,8",,2,
DI11013itkt,2880630,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,treated,2014,83,,136,,"78,5",,"126,9",,"100,6",,,
DI11013itkfi,2880629,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,86,,135,,"74,8",,"105,7",,"77,5",,"1,5",
CF10185itkt,2880644,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2014,80,,139,,"74,5",,"90,3",,"71,6",,,
CF10064itkt,2880578,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2014,82,,134,,"71,3",,"103,9",,"82,4",,,
DI12005itkt,2880592,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,treated,2014,76,,137,,"70,5",,"97,7",,"77,5",,,
DI11014itkt,2880634,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,treated,2014,84,,134,,"74,2",,"110,1",,"87,3",,,
AO12021-2itkfi,2880603,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,48626,https://doi.org/10.15454/QXYFWH,AO12021-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,94,,130,,"72,7",,"97,1",,"71,3",,1,
DI12005itkfi,2880591,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,48497,https://doi.org/10.15454/KIPU5T,DI12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,84,,136,,"72,7",,"105,2",,"77,2",,1,
CF10064itkfi,2880577,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,84,,133,,"72,3",,"99,1",,"72,7",,1,
EM11537itkt,2880568,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2014,76,,138,,"72,1",,"89,7",,"71,2",,,
AO12014itkfi,2880585,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,86,,131,,"71,2",,"86,7",,"63,6",,5,
RE11116itkt,2880620,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,treated,2014,88,,137,,"71,5",,89,,"70,6",,,
EM11537itkfi,2880567,BTH_Dijon_2014_SetA1,BTH_Dijon_2014_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,78,,136,,"73,6",,"95,9",,"70,3",,1,
