observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Koreliitkfi,2778009,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"9,37",,"93,7",,64,
Koreliitkt,2778010,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2002,"11,06",,"94,4",,"78,5",
CF00110itkfi,2778023,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,26048,https://doi.org/10.15454/7WIU47,CF00110,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"9,02",,"91,3",,"62,4",
DI01019itkfi,2778035,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"9,79",,"95,9",,"65,5",
DI01019itkt,2778036,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,48621,gnpis_pui:holding-921_taxon-4898_accession-48621,DI01019,VIRTUAL_TRIAL,,,,,,,,treated,2002,"11,05",,"78,9",,"65,6",
DI01021itkfi,2777997,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,49218,gnpis_pui:holding-921_taxon-4898_accession-49218,DI01021,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"9,87",,"85,2",,"58,2",
Skerzzoitkfi,2778047,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"12,28",,86,,"58,7",
RE01004itkfi,2778011,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,26094,https://doi.org/10.15454/KQXNER,RE01004,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"9,51",,"86,8",,"59,3",
Skerzzoitkt,2778048,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2002,"13,56",,"94,3",,"78,4",
RE01004itkt,2778012,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,26094,https://doi.org/10.15454/KQXNER,RE01004,VIRTUAL_TRIAL,,,,,,,,treated,2002,"12,22",,"88,4",,"73,5",
RE00108itkt,2778022,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,26004,https://doi.org/10.15454/6Q72BN,RE00108,VIRTUAL_TRIAL,,,,,,,,treated,2002,"11,86",,"87,8",,73,
CF00110itkt,2778024,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,26048,https://doi.org/10.15454/7WIU47,CF00110,VIRTUAL_TRIAL,,,,,,,,treated,2002,"10,65",,"81,8",,68,
EM00074itkfi,2778041,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"10,34",,"98,6",,"67,4",
CF99077itkfi,2777993,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,26047,https://doi.org/10.15454/XORVCY,CF99077,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"12,04",,"94,9",,"64,8",
RE00108itkfi,2778021,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,26004,https://doi.org/10.15454/6Q72BN,RE00108,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"10,71",,"78,4",,"53,6",
Isengrainitkfi,2778045,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"10,47",,"97,6",,"66,6",
Isengrainitkt,2778046,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,treated,2002,"11,67",,"111,3",,"92,5",
RE00149itkfi,2778013,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,48470,gnpis_pui:holding-921_taxon-4898_accession-48470,RE00149,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"13,4",,"75,4",,"51,5",
CF00117itkt,2778028,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,treated,2002,"10,52",,"82,8",,"68,9",
CF99077itkt,2777994,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,26047,https://doi.org/10.15454/XORVCY,CF99077,VIRTUAL_TRIAL,,,,,,,,treated,2002,"13,19",,89,,74,
RE00149itkt,2778014,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,48470,gnpis_pui:holding-921_taxon-4898_accession-48470,RE00149,VIRTUAL_TRIAL,,,,,,,,treated,2002,"14,43",,"92,8",,"77,2",
CF00117itkfi,2778027,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"9,13",,"83,1",,"56,8",
Chargeritkt,2778030,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2002,"11,94",,"104,2",,"86,7",
RE00144itkt,2778054,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,48402,gnpis_pui:holding-921_taxon-4898_accession-48402,RE00144,VIRTUAL_TRIAL,,,,,,,,treated,2002,"12,15",,"95,7",,"79,6",
RE00113itkfi,2778051,BTH_Dijon_2002_SetA2,BTH_Dijon_2002_SetA2,49700,gnpis_pui:holding-921_taxon-4898_accession-49700,RE00113,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,"10,18",,"91,2",,"62,3",
