observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date
DI05022itkfiRep0,2810359,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,2005,"25,6",,133,,97,,66,,87,,250,,53,,"0,4",,198,,34,,"10,6",,"82,5",
DI05004itkfiRep0,2810402,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,2005,30,,183,,97,,49,,78,,224,,33,,"0,18",,154,,11,,"11,1",,"77,8",
DI05021itkfiRep0,2810399,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26919,https://doi.org/10.15454/6JPD2I,DI05021,VIRTUAL_TRIAL,,,,,,,,2005,"27,7",,156,,97,,46,,90,,233,,47,,"0,3",,206,,NA,,NA,,"83,5",
DI05020itkfiRep0,2810400,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,2005,"28,9",,170,,94,,55,,90,,238,,45,,"0,26",,209,,51,,"11,4",,"82,2",
BarokitkfiRep0,2810358,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM03332itkfiRep0,2810381,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,2005,"23,5",,112,,97,,33,,88,,218,,74,,"0,66",,255,,60,,"10,4",,"80,3",
DI05014itkfiRep0,2810405,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,2005,"23,6",,113,,97,,60,,79,,236,,48,,"0,42",,197,,16,,"11,3",,"82,2",
CF03201itkfiRep0,2810377,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF04043itkfiRep0,2810385,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26972,https://doi.org/10.15454/VFM1EQ,CF04043,VIRTUAL_TRIAL,,,,,,,,2005,"25,1",,128,,88,,54,,70,,211,,47,,"0,37",,180,,60,,"9,9",,"83,1",
HendrixitkfiRep0,2810365,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,2005,"28,7",,167,,97,,41,,97,,235,,76,,"0,46",,391,,61,,"12,4",,"83,7",
RE04022itkfiRep0,2810361,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,2005,"30,4",,187,,94,,75,,84,,252,,40,,"0,21",,187,,72,,11,,"83,2",
CF04022itkfiRep0,2810396,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26895,https://doi.org/10.15454/CQ8LNQ,CF04022,VIRTUAL_TRIAL,,,,,,,,2005,"31,2",,197,,100,,62,,74,,236,,49,,"0,25",,264,,46,,"11,2",,"78,5",
CF04184itkfiRep0,2810397,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,2005,"27,4",,152,,97,,63,,66,,227,,51,,"0,34",,241,,5,,"12,6",,"84,2",
CF04052itkfiRep0,2810364,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,26897,https://doi.org/10.15454/Q627QP,CF04052,VIRTUAL_TRIAL,,,,,,,,2005,"17,7",,63,,91,,22,,74,,187,,114,,"1,79",,293,,51,,"11,1",,"83,4",
AO05004itkfiRep0,2810371,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
TamaroitkfiRep0,2810406,BTH_Rennes_2005_TECH,BTH_Rennes_2005_TECH,25902,https://doi.org/10.15454/KRPWXN,TAMARO,VIRTUAL_TRIAL,,,,,,,,2005,"33,2",,223,,82,,65,,81,,228,,58,,"0,26",,383,,76,,"14,5",,"85,3",
