observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fr(CO_321:1000271),fr(CO_321:1000271).date
Barok,2804571,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",
DI9714,2804577,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,2005,NA,
EM03206,2804604,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,26809,https://doi.org/10.15454/NO762C,EM03206,VIRTUAL_TRIAL,,,,,,,,2005,4,
EM01343,2804591,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,2005,4,
LM03017,2804596,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,48364,gnpis_pui:holding-921_taxon-4898_accession-48364,LM03017,VIRTUAL_TRIAL,,,,,,,,2005,2,
EM00264,2804599,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,2005,2,
LM03001,2804574,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,48818,gnpis_pui:holding-921_taxon-4898_accession-48818,LM03001,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",
Apache,2804594,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",
LM03022,2804575,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,48608,gnpis_pui:holding-921_taxon-4898_accession-48608,LM03022,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
Skerzzo,2804601,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,2005,NA,
Charger,2804590,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",
Caphorn,2804588,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
DI04018,2804584,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,49604,https://doi.org/10.15454/WZ0QO7,DI04018,VIRTUAL_TRIAL,,,,,,,,2005,5,
DI05030,2804576,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,48477,https://doi.org/10.15454/NU9M2G,DI05030,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",
CF03287,2804595,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,49533,https://doi.org/10.15454/QOR8WX,CF03287,VIRTUAL_TRIAL,,,,,,,,2005,3,
CF03226,2804582,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
CF03341,2804592,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,26799,https://doi.org/10.15454/PNFUBY,CF03341,VIRTUAL_TRIAL,,,,,,,,2005,4,
DI04015,2804580,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,26801,https://doi.org/10.15454/5TSZZX,DI04015,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",
DI04022,2804603,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,26802,https://doi.org/10.15454/KBHSGY,DI04022,VIRTUAL_TRIAL,,,,,,,,2005,4,
Orvantis,2804600,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
EM01068,2804586,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,26803,https://doi.org/10.15454/ADFR47,EM01068,VIRTUAL_TRIAL,,,,,,,,2005,"4,5",
EM03028,2804573,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",
EM03041,2804572,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,2005,"2,5",
LM03015,2804598,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,2005,"1,5",
LM03014,2804597,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,2005,3,
EM03149,2804581,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,26894,https://doi.org/10.15454/HOEWQF,EM03149,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
CF03342,2804593,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,49674,https://doi.org/10.15454/WDI3KM,CF03342,VIRTUAL_TRIAL,,,,,,,,2005,4,
DI04017,2804579,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,27036,https://doi.org/10.15454/PULIUX,DI04017,VIRTUAL_TRIAL,,,,,,,,2005,6,
DI04024,2804602,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,27037,https://doi.org/10.15454/TWWI1V,DI04024,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
EM03193,2804585,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,27038,https://doi.org/10.15454/DPT3VI,EM03193,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
DI04019,2804583,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,VIRTUAL_TRIAL,,,,,,,,2005,5,
LM03051,2804587,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,48773,gnpis_pui:holding-921_taxon-4898_accession-48773,LM03051,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",
EM00107,2804578,BTH_Chaux_des_Prés_2005_SetA2,BTH_Chaux_des_Prés_2005_SetA2,49059,gnpis_pui:holding-921_taxon-4898_accession-49059,EM00107,VIRTUAL_TRIAL,,,,,,,,2005,2,
