observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
Bermudeitkfi,2850925,BTH_Lusignan_2010_SetB2,BTH_Lusignan_2010_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,144,,"79,3",,"100,2",,"61,1",
DI10006itkfi,2850948,BTH_Lusignan_2010_SetB2,BTH_Lusignan_2010_SetB2,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,146,,"77,6",,"110,1",,"67,2",
DI10007itkfi,2850947,BTH_Lusignan_2010_SetB2,BTH_Lusignan_2010_SetB2,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,144,,"79,8",,"108,4",,"66,1",
RE09055itkfi,2850956,BTH_Lusignan_2010_SetB2,BTH_Lusignan_2010_SetB2,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,144,,"73,4",,"113,3",,"69,1",
Barokitkfi,2850917,BTH_Lusignan_2010_SetB2,BTH_Lusignan_2010_SetB2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,93,,143,,"78,4",,"112,4",,"68,5",
CF09182itkfi,2850931,BTH_Lusignan_2010_SetB2,BTH_Lusignan_2010_SetB2,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,145,,"76,4",,"110,8",,"67,6",
CF09176itkfi,2850946,BTH_Lusignan_2010_SetB2,BTH_Lusignan_2010_SetB2,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,85,,145,,"76,6",,"104,3",,"63,6",
Premioitkfi,2850921,BTH_Lusignan_2010_SetB2,BTH_Lusignan_2010_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,141,,"76,8",,"100,5",,"61,3",
RE09038itkfi,2850923,BTH_Lusignan_2010_SetB2,BTH_Lusignan_2010_SetB2,49325,gnpis_pui:holding-921_taxon-4898_accession-49325,RE09038,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,93,,144,,"78,2",,106,,"64,6",
CF09164itkfi,2850928,BTH_Lusignan_2010_SetB2,BTH_Lusignan_2010_SetB2,49662,gnpis_pui:holding-921_taxon-4898_accession-49662,CF09164,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,97,,143,,"77,5",,"98,2",,"59,9",
