observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
Hadm01601-07itkt,2852728,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,60770,https://doi.org/10.15454/PT31GV,Hadm01601-07,VIRTUAL_TRIAL,,,,,,,,treated,2010,"14,8",,44,,100,,74,,77,,251,,131,,"2,98",,237,,"71,5",,440,,"12,2",,NA,,1528,,"45,5",
HadmF11671itkt,2852752,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,60821,https://doi.org/10.15454/WZ4MOV,HadmF11671,VIRTUAL_TRIAL,,,,,,,,treated,2010,"14,4",,42,,100,,80,,96,,276,,112,,"2,67",,190,,86,,392,,12,,NA,,1550,,37,
HadmF11326itkt,2852733,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,60787,https://doi.org/10.15454/LLIFSS,HadmF11326,VIRTUAL_TRIAL,,,,,,,,treated,2010,"13,5",,37,,97,,56,,73,,226,,113,,"3,05",,180,,"82,5",,419,,"12,2",,NA,,1413,,"33,5",
Strub061859-1itkt,2852725,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,61007,https://doi.org/10.15454/UDW3YM,Strub061859-1,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF07143itkt,2852755,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2010,"25,4",,131,,88,,57,,74,,219,,63,,"0,48",,222,,81,,383,,"12,9",,NA,,1678,,"42,5",
EM08223itkt,2852727,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27314,https://doi.org/10.15454/NY4WWG,EM08223,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,5",,77,,46,,2,,43,,91,,51,,"0,66",,104,,41,,364,,"12,6",,NA,,1069,,"10,5",
CF08049itkt,2852769,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27797,https://doi.org/10.15454/II6X3N,CF08049,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,8",,80,,100,,85,,90,,275,,106,,"1,34",,279,,"81,5",,389,,"12,3",,NA,,1706,,44,
CF08084itkt,2852766,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,9",,65,,100,,52,,76,,228,,86,,"1,32",,188,,74,,400,,"11,5",,NA,,1588,,30,
EM07117itkt,2852770,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF09169itkt,2852708,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,5",,85,,94,,85,,81,,260,,79,,"0,93",,225,,99,,NA,,"11,6",,"80,2",,1800,,NA,
DI10011itkt,2852712,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,49216,https://doi.org/10.15454/HTBFFE,DI10011,VIRTUAL_TRIAL,,,,,,,,treated,2010,20,,81,,100,,82,,91,,273,,105,,"1,3",,294,,87,,NA,,"11,9",,"77,9",,1853,,NA,
AO10006itkt,2852721,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,49352,https://doi.org/10.15454/NHNCAM,AO10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,"14,4",,42,,88,,55,,76,,219,,124,,"2,95",,219,,78,,363,,"11,8",,NA,,1430,,"38,5",
EM09318itkt,2852735,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48847,https://doi.org/10.15454/BPR93C,EM09318,VIRTUAL_TRIAL,,,,,,,,treated,2010,"26,1",,138,,85,,58,,82,,225,,43,,"0,31",,159,,21,,NA,,"11,3",,"80,9",,1648,,NA,
Soissonsitkt,2852765,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,8",,88,,91,,64,,80,,235,,100,,"1,15",,307,,75,,357,,13,,NA,,1788,,"41,5",
DI09018itkt,2852723,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27813,https://doi.org/10.15454/G5QB1J,DI09018,VIRTUAL_TRIAL,,,,,,,,treated,2010,"15,3",,47,,100,,48,,89,,237,,126,,"2,68",,239,,"84,5",,433,,"12,1",,NA,,1488,,45,
EM08221itkt,2852750,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27823,https://doi.org/10.15454/PMYYDQ,EM08221,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,2",,67,,55,,2,,38,,95,,46,,"0,69",,96,,21,,343,,"11,2",,NA,,1156,,"10,5",
AO10003itkt,2852738,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO10015itkt,2852707,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48383,https://doi.org/10.15454/IDYNPA,AO10015,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,8",,64,,97,,84,,90,,271,,127,,"1,98",,304,,"66,5",,426,,"13,6",,NA,,1893,,"48,5",
AO10026itkt,2852753,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,49315,https://doi.org/10.15454/WVJ13N,AO10026,VIRTUAL_TRIAL,,,,,,,,treated,2010,"17,5",,62,,91,,62,,77,,230,,86,,"1,39",,172,,33,,384,,"12,2",,NA,,1548,,25,
AO10028itkt,2852746,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48794,https://doi.org/10.15454/1IPVTN,AO10028,VIRTUAL_TRIAL,,,,,,,,treated,2010,"13,9",,39,,91,,73,,83,,247,,129,,"3,31",,210,,"68,5",,394,,"12,4",,NA,,1635,,40,
EM09221itkt,2852759,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,49495,https://doi.org/10.15454/CZHVWO,EM09221,VIRTUAL_TRIAL,,,,,,,,treated,2010,"24,2",,118,,82,,52,,73,,207,,44,,"0,37",,147,,19,,NA,,"11,3",,"79,9",,1600,,NA,
EM09222itkt,2852762,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,2",,82,,91,,67,,77,,235,,70,,"0,85",,215,,36,,NA,,"11,5",,"79,1",,1543,,NA,
