observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pel(CO_321:1000223),pel(CO_321:1000223).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,volC(CO_321:1000235),volC(CO_321:1000235).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
Ressoritkt,2767127,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2000,"23,6",,113,,123,,52,,175,,36,,"0,32",,124,,9,,320,,50,,"11,2",,"77,5",,37,,1386,,"1,99",,18,
DI00005itkt,2767104,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26857,https://doi.org/10.15454/HTU2TO,DI00005,VIRTUAL_TRIAL,,,,,,,,treated,2000,"22,3",,101,,127,,66,,193,,77,,"0,76",,286,,33,,353,,139,,"12,7",,79,,56,,1490,,"2,24",,36,
DI00016itkt,2767136,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26859,https://doi.org/10.15454/KODDU6,DI00016,VIRTUAL_TRIAL,,,,,,,,treated,2000,"19,9",,80,,150,,72,,222,,83,,"1,04",,265,,6,,324,,85,,"12,3",,82,,54,,1593,,"3,16",,29,
CF99005itkt,2767128,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2000,"20,3",,83,,148,,67,,215,,78,,"0,93",,256,,51,,343,,126,,"11,1",,"79,5",,51,,1667,,"1,82",,31,
RE99009itkt,2767137,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,treated,2000,"20,8",,88,,107,,58,,165,,49,,"0,55",,178,,10,,324,,66,,"11,4",,74,,38,,1400,,"1,29",,21,
CF00193itkt,2767101,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2000,"22,9",,106,,147,,75,,222,,121,,"1,14",,509,,63,,364,,152,,"14,2",,80,,68,,1680,,"2,24",,59,
CF00189itkt,2767113,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,treated,2000,"26,7",,145,,128,,67,,195,,65,,"0,45",,279,,12,,340,,90,,13,,"78,5",,57,,1408,,"3,14",,30,
CF99105itkt,2767135,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,treated,2000,"27,1",,149,,88,,65,,153,,86,,"0,58",,433,,54,,374,,118,,"13,6",,"79,5",,62,,1177,,"2,97",,54,
CF00191itkt,2767133,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,25999,https://doi.org/10.15454/VRBLKL,CF00191,VIRTUAL_TRIAL,,,,,,,,treated,2000,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF99031itkt,2767111,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,25998,https://doi.org/10.15454/PNTBI5,CF99031,VIRTUAL_TRIAL,,,,,,,,treated,2000,"18,5",,69,,134,,69,,203,,76,,"1,1",,201,,50,,384,,137,,"11,1",,"80,5",,43,,1535,,"2,58",,25,
DI9714itkt,2767110,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2000,"22,3",,101,,137,,71,,208,,96,,"0,95",,354,,53,,354,,138,,12,,"79,5",,57,,1481,,"3,18",,39,
Voltigeitkt,2767117,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2000,22,,98,,99,,48,,147,,43,,"0,44",,164,,9,,323,,84,,"11,4",,78,,45,,1290,,"1,74",,25,
EM99012itkt,2767141,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,treated,2000,"22,4",,102,,103,,59,,162,,71,,"0,69",,289,,39,,335,,108,,"12,8",,"78,5",,59,,1272,,"1,64",,40,
DI00008itkt,2767112,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,treated,2000,24,,117,,115,,63,,178,,68,,"0,58",,263,,9,,320,,74,,"12,7",,78,,55,,1363,,"2,65",,30,
EM00018itkt,2767129,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,treated,2000,"21,2",,91,,125,,63,,188,,53,,"0,58",,180,,12,,306,,86,,"11,7",,79,,43,,1268,,"1,99",,26,
EM99001itkt,2767123,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26865,https://doi.org/10.15454/LFQX9O,EM99001,VIRTUAL_TRIAL,,,,,,,,treated,2000,22,,98,,144,,76,,220,,85,,"0,87",,293,,58,,376,,117,,12,,"78,5",,52,,1578,,"2,04",,33,
EM00020itkt,2767103,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26863,https://doi.org/10.15454/CM80JS,EM00020,VIRTUAL_TRIAL,,,,,,,,treated,2000,"22,4",,102,,134,,67,,201,,56,,"0,55",,206,,17,,340,,94,,"12,3",,"77,5",,46,,1380,,"2,04",,26,
RE99017itkt,2767138,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,treated,2000,"20,1",,82,,109,,55,,164,,47,,"0,57",,160,,9,,309,,118,,"11,5",,78,,39,,1214,,"1,49",,20,
DI00010itkt,2767134,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,treated,2000,"20,8",,88,,128,,64,,192,,75,,"0,85",,248,,8,,330,,101,,"12,1",,82,,58,,1422,,"3,24",,30,
EM00002itkt,2767105,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,treated,2000,"27,3",,151,,132,,63,,195,,53,,"0,35",,272,,19,,307,,98,,"12,9",,80,,59,,1526,,"1,56",,33,
DI00024itkt,2767108,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,treated,2000,"25,5",,132,,124,,61,,185,,59,,"0,45",,225,,9,,332,,95,,"12,3",,"78,5",,55,,1383,,"2,91",,28,
RE99123itkt,2767132,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26875,https://doi.org/10.15454/WJONCW,RE99123,VIRTUAL_TRIAL,,,,,,,,treated,2000,"20,6",,86,,122,,71,,193,,69,,"0,8",,236,,3,,314,,95,,"13,1",,"78,5",,55,,1305,,"2,32",,32,
EM99002itkt,2767122,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,28763,https://doi.org/10.15454/HUTRYE,EM99002,VIRTUAL_TRIAL,,,,,,,,treated,2000,"21,4",,93,,133,,71,,204,,80,,"0,85",,263,,51,,379,,154,,"11,5",,78,,50,,1472,,"2,17",,30,
CF9825itkt,2767102,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,28761,https://doi.org/10.15454/PFN7OE,CF9825,VIRTUAL_TRIAL,,,,,,,,treated,2000,"21,1",,90,,120,,47,,167,,78,,"0,86",,257,,8,,301,,120,,"10,9",,80,,38,,1380,,"2,28",,22,
EM99017itkt,2767142,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,28764,https://doi.org/10.15454/QT2EUR,EM99017,VIRTUAL_TRIAL,,,,,,,,treated,2000,"20,1",,82,,151,,67,,218,,73,,"0,88",,229,,27,,293,,124,,"11,6",,"78,5",,48,,1630,,"1,85",,29,
DI9812itkt,2767125,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,28762,https://doi.org/10.15454/F89VYP,DI9812,VIRTUAL_TRIAL,,,,,,,,treated,2000,"15,3",,48,,127,,68,,195,,137,,"2,88",,274,,76,,365,,137,,"12,1",,79,,57,,1440,,"2,83",,35,
RE9819itkt,2767106,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,28766,https://doi.org/10.15454/B2UDRG,RE9819,VIRTUAL_TRIAL,,,,,,,,treated,2000,"23,4",,111,,99,,54,,153,,64,,"0,58",,195,,39,,347,,32,,"12,1",,"78,5",,45,,1282,,"2,69",,25,
RE99003itkt,2767120,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,28767,https://doi.org/10.15454/PDD081,RE99003,VIRTUAL_TRIAL,,,,,,,,treated,2000,"18,1",,66,,129,,67,,196,,62,,"0,94",,168,,49,,348,,128,,"10,3",,77,,41,,1312,,"1,59",,26,
RE99004itkt,2767118,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,28768,https://doi.org/10.15454/WOEZF0,RE99004,VIRTUAL_TRIAL,,,,,,,,treated,2000,"21,3",,92,,111,,66,,177,,42,,"0,46",,138,,4,,317,,62,,"11,4",,77,,38,,1318,,"1,69",,20,
Soissonsitkt,2767139,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2000,"17,7",,63,,153,,70,,223,,105,,"1,65",,254,,42,,348,,138,,"10,5",,"79,5",,46,,1633,,"1,53",,21,
DI00004itkt,2767131,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26856,https://doi.org/10.15454/N04VLE,DI00004,VIRTUAL_TRIAL,,,,,,,,treated,2000,"21,6",,95,,118,,65,,183,,70,,"0,74",,259,,7,,334,,118,,"13,9",,79,,62,,1365,,"2,58",,33,
EM99003itkt,2767121,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,28757,https://doi.org/10.15454/22NWEC,EM99003,VIRTUAL_TRIAL,,,,,,,,treated,2000,"20,8",,88,,144,,67,,211,,93,,"1,05",,289,,68,,345,,116,,"11,8",,78,,50,,1552,,"2,36",,31,
EM00006itkt,2767109,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26861,https://doi.org/10.15454/UEZ7EW,EM00006,VIRTUAL_TRIAL,,,,,,,,treated,2000,"20,6",,86,,113,,72,,185,,100,,"1,17",,320,,60,,324,,151,,"12,2",,81,,52,,1292,,"1,88",,33,
EM00019itkt,2767130,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26862,https://doi.org/10.15454/SKKWNL,EM00019,VIRTUAL_TRIAL,,,,,,,,treated,2000,"23,5",,112,,133,,68,,201,,54,,"0,48",,216,,13,,331,,96,,"12,6",,77,,50,,1353,,"1,89",,30,
EM00004itkt,2767107,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26860,https://doi.org/10.15454/4WHHJZ,EM00004,VIRTUAL_TRIAL,,,,,,,,treated,2000,"26,4",,141,,112,,73,,185,,79,,"0,56",,371,,48,,361,,124,,"13,4",,"80,5",,62,,1343,,"3,06",,47,
RE00010itkt,2767115,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26869,https://doi.org/10.15454/46HA0A,RE00010,VIRTUAL_TRIAL,,,,,,,,treated,2000,"21,5",,94,,128,,72,,200,,95,,"1,01",,266,,40,,399,,50,,"13,8",,80,,55,,1407,,"3,83",,45,
RE00009itkt,2767126,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26868,https://doi.org/10.15454/NP8MBD,RE00009,VIRTUAL_TRIAL,,,,,,,,treated,2000,"20,7",,87,,67,,52,,119,,102,,"1,17",,269,,42,,423,,34,,"14,6",,78,,52,,920,,"4,8",,40,
RE00014itkt,2767140,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26870,https://doi.org/10.15454/SUO7RH,RE00014,VIRTUAL_TRIAL,,,,,,,,treated,2000,"21,5",,94,,138,,73,,211,,78,,"0,83",,211,,64,,362,,42,,"12,8",,76,,48,,1398,,"2,57",,31,
RE00008itkt,2767119,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,26867,https://doi.org/10.15454/PZEUL6,RE00008,VIRTUAL_TRIAL,,,,,,,,treated,2000,22,,98,,140,,73,,213,,89,,"0,91",,267,,55,,317,,48,,"13,6",,79,,53,,1510,,"3,11",,40,
EM99006itkt,2767124,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,28759,https://doi.org/10.15454/1BMHCN,EM99006,VIRTUAL_TRIAL,,,,,,,,treated,2000,"21,4",,93,,154,,68,,222,,76,,"0,81",,243,,48,,338,,115,,"11,1",,80,,47,,1612,,"2,41",,28,
EM00015itkt,2767114,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,48653,gnpis_pui:holding-921_taxon-4898_accession-48653,EM00015,VIRTUAL_TRIAL,,,,,,,,treated,2000,"18,1",,66,,109,,61,,170,,118,,"1,78",,330,,60,,330,,170,,"13,4",,79,,65,,1252,,"2,29",,52,
CF99075itkt,2767116,BTH_Clermont-Ferrand_2000_TECH,BTH_Clermont-Ferrand_2000_TECH,48935,https://doi.org/10.15454/KCTYDW,CF99075,VIRTUAL_TRIAL,,,,,,,,treated,2000,"24,9",,126,,134,,62,,196,,50,,"0,4",,227,,18,,301,,87,,13,,"79,5",,58,,1565,,"1,79",,33,
