observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF11140itkt,2868413,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61443,https://doi.org/10.15454/61JYKU,CF11140,VIRTUAL_TRIAL,,,,,,,,treated,2012,85,,142,,78,,"82,9",,"79,6",
CF11150itkt,2868430,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61461,https://doi.org/10.15454/9DTWQV,CF11150,VIRTUAL_TRIAL,,,,,,,,treated,2012,89,,142,,"78,4",,"92,2",,"88,4",
RE11059itkt,2868403,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,142,,"80,8",,"88,1",,"84,6",
DI12010itkt,2868422,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61882,https://doi.org/10.15454/IS30KY,DI12010,VIRTUAL_TRIAL,,,,,,,,treated,2012,86,,141,,"75,3",,"97,2",,"93,3",
RE11087itkt,2868417,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,treated,2012,97,,143,,"80,1",,"100,9",,"96,9",
Premioitkt,2868393,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2012,91,,140,,77,,"103,2",,99,
CF11110itkt,2868428,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61410,https://doi.org/10.15454/ERILBD,CF11110,VIRTUAL_TRIAL,,,,,,,,treated,2012,93,,144,,"79,9",,"97,6",,"93,6",
RE11058itkt,2868404,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,treated,2012,106,,138,,"79,5",,"98,3",,"94,4",
CF11159itkt,2868427,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61494,https://doi.org/10.15454/BNMVC6,CF11159,VIRTUAL_TRIAL,,,,,,,,treated,2012,90,,136,,"78,4",,"98,1",,"94,2",
DI12011itkt,2868423,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,treated,2012,90,,140,,74,,102,,"97,9",
EM11537itkt,2868394,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2012,87,,144,,"77,3",,"97,6",,"93,7",
Apacheitkt,2868412,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,140,,"79,2",,"102,2",,98,
CF11164itkt,2868411,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61509,https://doi.org/10.15454/HGNUZP,CF11164,VIRTUAL_TRIAL,,,,,,,,treated,2012,97,,142,,"79,4",,"102,8",,"98,7",
EM11552itkt,2868432,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61547,https://doi.org/10.15454/WWS1CM,EM11552,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,145,,"78,1",,"95,6",,"91,7",
RE11060itkt,2868415,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61023,https://doi.org/10.15454/NQSOJJ,RE11060,VIRTUAL_TRIAL,,,,,,,,treated,2012,98,,145,,"76,2",,"99,3",,"95,3",
CF11158itkt,2868426,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61478,https://doi.org/10.15454/OKDYWQ,CF11158,VIRTUAL_TRIAL,,,,,,,,treated,2012,97,,144,,78,,"96,7",,"92,8",
Bermudeitkt,2868400,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2012,88,,144,,"78,7",,"96,8",,"92,9",
CF11192itkt,2868402,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61539,https://doi.org/10.15454/9F9U9Z,CF11192,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,138,,"78,5",,100,,"95,9",
Lyrikitkt,2868431,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,143,,79,,"105,3",,"101,1",
RE11073itkt,2868399,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,treated,2012,95,,144,,"79,7",,"88,9",,"85,3",
AO12016itkt,2868408,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,treated,2012,104,,140,,"79,1",,105,,"100,8",
EM11565itkt,2868410,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61705,https://doi.org/10.15454/LUSDY2,EM11565,VIRTUAL_TRIAL,,,,,,,,treated,2012,102,,140,,"77,9",,"103,3",,"99,1",
AO12019itkt,2868420,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,60929,https://doi.org/10.15454/2XDPMU,AO12019,VIRTUAL_TRIAL,,,,,,,,treated,2012,92,,146,,"75,6",,96,,"92,2",
DI12013itkt,2868425,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61938,https://doi.org/10.15454/LRDMJQ,DI12013,VIRTUAL_TRIAL,,,,,,,,treated,2012,84,,141,,"75,8",,"97,7",,"93,7",
CF11177itkt,2868429,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,treated,2012,88,,143,,"77,7",,"99,8",,"95,8",
EM11582itkt,2868418,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,62041,https://doi.org/10.15454/YY8ALS,EM11582,VIRTUAL_TRIAL,,,,,,,,treated,2012,95,,140,,"76,6",,"88,1",,"84,5",
CF11115itkt,2868409,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61427,https://doi.org/10.15454/ZA57QR,CF11115,VIRTUAL_TRIAL,,,,,,,,treated,2012,98,,140,,"75,9",,"81,5",,"78,2",
AO12020itkt,2868398,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,60945,https://doi.org/10.15454/VXRK5Y,AO12020,VIRTUAL_TRIAL,,,,,,,,treated,2012,105,,143,,"79,5",,"101,6",,"97,5",
RE11075itkt,2868397,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,treated,2012,99,,144,,"79,7",,"96,7",,"92,8",
AO12025itkt,2868395,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61019,https://doi.org/10.15454/VSFGLN,AO12025,VIRTUAL_TRIAL,,,,,,,,treated,2012,93,,142,,"76,8",,"96,2",,"92,3",
EM11579itkt,2868419,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,treated,2012,85,,142,,"76,8",,"99,7",,"95,7",
EM11589itkt,2868416,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,62158,https://doi.org/10.15454/4698PG,EM11589,VIRTUAL_TRIAL,,,,,,,,treated,2012,100,,142,,"77,2",,"99,2",,"95,2",
Altigoitkt,2868414,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,138,,"77,7",,"97,8",,"93,9",
DI12009itkt,2868406,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,61863,https://doi.org/10.15454/SSBKER,DI12009,VIRTUAL_TRIAL,,,,,,,,treated,2012,84,,140,,"75,7",,96,,"92,1",
RE11035itkt,2868405,BTH_Dijon_2012_SetB2,BTH_Dijon_2012_SetB2,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,treated,2012,94,,143,,"80,9",,96,,"92,1",
