observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2800181,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49508,gnpis_pui:holding-921_taxon-4898_accession-49508,EM03097,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"86,3",
2,2800114,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49506,gnpis_pui:holding-921_taxon-4898_accession-49506,LM03019,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"94,9",
1,2800113,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49506,gnpis_pui:holding-921_taxon-4898_accession-49506,LM03019,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"78,2",
2,2800144,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48482,gnpis_pui:holding-921_taxon-4898_accession-48482,RE03022,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"127,4",
1,2800143,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48482,gnpis_pui:holding-921_taxon-4898_accession-48482,RE03022,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"114,2",
2,2800184,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"135,7",
1,2800183,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"102,6",
2,2800108,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48992,https://doi.org/10.15454/113VGV,RE01076,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"114,5",
1,2800107,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48992,https://doi.org/10.15454/113VGV,RE01076,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"103,1",
2,2800118,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48788,gnpis_pui:holding-921_taxon-4898_accession-48788,CF03118,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"88,8",
1,2800117,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48788,gnpis_pui:holding-921_taxon-4898_accession-48788,CF03118,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"86,6",
2,2800176,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48399,gnpis_pui:holding-921_taxon-4898_accession-48399,RE03073,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"112,8",
1,2800175,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48399,gnpis_pui:holding-921_taxon-4898_accession-48399,RE03073,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"99,4",
2,2800196,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,26894,https://doi.org/10.15454/HOEWQF,EM03149,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"108,4",
1,2800195,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,26894,https://doi.org/10.15454/HOEWQF,EM03149,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"110,3",
2,2800166,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49674,https://doi.org/10.15454/WDI3KM,CF03342,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,88,
1,2800165,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49674,https://doi.org/10.15454/WDI3KM,CF03342,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"91,1",
2,2800132,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,27036,https://doi.org/10.15454/PULIUX,DI04017,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"109,6",
1,2800131,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,27036,https://doi.org/10.15454/PULIUX,DI04017,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"112,8",
2,2800142,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48784,gnpis_pui:holding-921_taxon-4898_accession-48784,EM03123,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"110,2",
1,2800141,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48784,gnpis_pui:holding-921_taxon-4898_accession-48784,EM03123,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"109,8",
2,2800168,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49233,https://doi.org/10.15454/ORFNS6,EM03111,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"91,3",
1,2800167,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49233,https://doi.org/10.15454/ORFNS6,EM03111,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"76,1",
2,2800110,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48885,gnpis_pui:holding-921_taxon-4898_accession-48885,CF03358,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"60,4",
1,2800109,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48885,gnpis_pui:holding-921_taxon-4898_accession-48885,CF03358,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"87,5",
1,2800193,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48833,gnpis_pui:holding-921_taxon-4898_accession-48833,DI04021,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,101,
2,2800194,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48833,gnpis_pui:holding-921_taxon-4898_accession-48833,DI04021,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"109,5",
1,2800145,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"105,3",
2,2800146,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48415,gnpis_pui:holding-921_taxon-4898_accession-48415,DI04019,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"108,2",
2,2800116,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49048,gnpis_pui:holding-921_taxon-4898_accession-49048,LM03020,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"104,5",
1,2800115,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49048,gnpis_pui:holding-921_taxon-4898_accession-49048,LM03020,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"98,8",
2,2800154,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48724,gnpis_pui:holding-921_taxon-4898_accession-48724,LM03016,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"93,9",
1,2800153,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,48724,gnpis_pui:holding-921_taxon-4898_accession-48724,LM03016,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,87,
2,2800134,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49000,gnpis_pui:holding-921_taxon-4898_accession-49000,DI04016,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"105,6",
1,2800133,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49000,gnpis_pui:holding-921_taxon-4898_accession-49000,DI04016,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,96,
2,2800174,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49362,gnpis_pui:holding-921_taxon-4898_accession-49362,CF03069,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"99,3",
1,2800173,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49362,gnpis_pui:holding-921_taxon-4898_accession-49362,CF03069,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,85,
2,2800180,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49696,gnpis_pui:holding-921_taxon-4898_accession-49696,EM03119,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"113,3",
1,2800179,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49696,gnpis_pui:holding-921_taxon-4898_accession-49696,EM03119,REPLICATION,1,,,,,,REPLICATION:1,treated,2004,"113,5",
2,2800130,BTH_Clermont-Ferrand_2004_SetB3,BTH_Clermont-Ferrand_2004_SetB3,49159,gnpis_pui:holding-921_taxon-4898_accession-49159,CF03349,REPLICATION,2,,,,,,REPLICATION:2,treated,2004,"96,8",
