observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
Koreli,2825097,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2007,3,,4,,1,
RE06061,2825121,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,27831,https://doi.org/10.15454/BPSJCE,RE06061,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,4,
AO07218,2825117,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,27758,https://doi.org/10.15454/HQFX9Y,AO07218,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,6,
AO07302,2825092,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,2007,4,,4,,1,
AO07311,2825114,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,27760,https://doi.org/10.15454/RMDMGI,AO07311,VIRTUAL_TRIAL,,,,,,,,2007,6,,4,,1,
RE06083,2825105,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49633,gnpis_pui:holding-921_taxon-4898_accession-49633,RE06083,VIRTUAL_TRIAL,,,,,,,,2007,6,,1,,1,
CF06166,2825099,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49254,gnpis_pui:holding-921_taxon-4898_accession-49254,CF06166,VIRTUAL_TRIAL,,,,,,,,2007,6,,4,,1,
EM06072,2825083,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,48553,gnpis_pui:holding-921_taxon-4898_accession-48553,EM06072,VIRTUAL_TRIAL,,,,,,,,2007,4,,2,,6,
CF06183,2825088,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,48740,gnpis_pui:holding-921_taxon-4898_accession-48740,CF06183,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,1,
DI07011,2825109,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49661,gnpis_pui:holding-921_taxon-4898_accession-49661,DI07011,VIRTUAL_TRIAL,,,,,,,,2007,6,,6,,1,
DI07008,2825086,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,48548,gnpis_pui:holding-921_taxon-4898_accession-48548,DI07008,VIRTUAL_TRIAL,,,,,,,,2007,4,,4,,4,
RE06085,2825089,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49128,gnpis_pui:holding-921_taxon-4898_accession-49128,RE06085,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,1,
CF06154,2825123,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49465,gnpis_pui:holding-921_taxon-4898_accession-49465,CF06154,VIRTUAL_TRIAL,,,,,,,,2007,4,,2,,1,
RE06094,2825096,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49599,gnpis_pui:holding-921_taxon-4898_accession-49599,RE06094,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,2,
CF06204,2825102,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49620,gnpis_pui:holding-921_taxon-4898_accession-49620,CF06204,VIRTUAL_TRIAL,,,,,,,,2007,6,,6,,4,
RE06068,2825116,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49628,gnpis_pui:holding-921_taxon-4898_accession-49628,RE06068,VIRTUAL_TRIAL,,,,,,,,2007,4,,4,,1,
RE06065,2825080,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49641,gnpis_pui:holding-921_taxon-4898_accession-49641,RE06065,VIRTUAL_TRIAL,,,,,,,,2007,4,,2,,3,
Apache,2825100,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2007,3,,5,,1,
CF06167,2825098,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,48968,gnpis_pui:holding-921_taxon-4898_accession-48968,CF06167,VIRTUAL_TRIAL,,,,,,,,2007,3,,6,,1,
AO07319,2825119,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49264,gnpis_pui:holding-921_taxon-4898_accession-49264,AO07319,VIRTUAL_TRIAL,,,,,,,,2007,3,,4,,1,
Sankara,2825104,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,2007,4,,5,,2,
Toisondor,2825081,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,2007,6,,2,,7,
Ghayta,2825118,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,2007,4,,4,,1,
Caphorn,2825106,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2007,4,,4,,6,
RE06079,2825093,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49477,gnpis_pui:holding-921_taxon-4898_accession-49477,RE06079,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,1,
CF06193,2825110,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,27067,https://doi.org/10.15454/739FBM,CF06193,VIRTUAL_TRIAL,,,,,,,,2007,3,,3,,1,
RE06062,2825120,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49221,https://doi.org/10.15454/ORAOPN,RE06062,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,1,
RE06073,2825090,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49748,https://doi.org/10.15454/UUJTP5,RE06073,VIRTUAL_TRIAL,,,,,,,,2007,4,,2,,1,
Mendel,2825101,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,2007,6,,6,,1,
DI07009,2825085,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49392,gnpis_pui:holding-921_taxon-4898_accession-49392,DI07009,VIRTUAL_TRIAL,,,,,,,,2007,6,,3,,1,
DI07013,2825107,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,27803,https://doi.org/10.15454/GVABT5,DI07013,VIRTUAL_TRIAL,,,,,,,,2007,6,,1,,3,
EM06089,2825095,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,27815,https://doi.org/10.15454/UZYTX5,EM06089,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,1,
EM06110,2825122,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,1,
EM06094,2825115,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,27816,https://doi.org/10.15454/ZMYTIN,EM06094,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,1,
EM06091,2825113,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49611,gnpis_pui:holding-921_taxon-4898_accession-49611,EM06091,VIRTUAL_TRIAL,,,,,,,,2007,3,,4,,1,
EM06170,2825082,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,48712,gnpis_pui:holding-921_taxon-4898_accession-48712,EM06170,VIRTUAL_TRIAL,,,,,,,,2007,4,,6,,1,
AO07301,2825091,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,48857,gnpis_pui:holding-921_taxon-4898_accession-48857,AO07301,VIRTUAL_TRIAL,,,,,,,,2007,4,,6,,1,
DI07012,2825087,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,48866,gnpis_pui:holding-921_taxon-4898_accession-48866,DI07012,VIRTUAL_TRIAL,,,,,,,,2007,6,,4,,1,
DI07010,2825108,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,VIRTUAL_TRIAL,,,,,,,,2007,6,,4,,5,
EM06090,2825112,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,49553,gnpis_pui:holding-921_taxon-4898_accession-49553,EM06090,VIRTUAL_TRIAL,,,,,,,,2007,4,,3,,1,
CF06200,2825103,BTH_Rennes_2007_SetB2_PIETIN-VERSE,BTH_Rennes_2007_SetB2_PIETIN-VERSE,48479,gnpis_pui:holding-921_taxon-4898_accession-48479,CF06200,VIRTUAL_TRIAL,,,,,,,,2007,4,,2,,1,
