observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
EM11441itkt,2867316,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,49367,https://doi.org/10.15454/28ALS0,EM11441,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,88,,148,,"12,96",,96,,,,"82,5",,"1,5",,2,,9,
CF11079itkfi,2867273,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61349,https://doi.org/10.15454/78QONX,CF11079,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,90,,153,,"11,8",,86,,"5,5",,"57,1",,1,,"3,5",,1,
CF11079itkt,2867274,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61349,https://doi.org/10.15454/78QONX,CF11079,VIRTUAL_TRIAL,,,,,,,,treated,2012,2,,98,,152,,"11,78",,"82,2",,,,"70,6",,"1,5",,2,,"6,5",
CF11041itkfi,2867331,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61302,https://doi.org/10.15454/YCKCWW,CF11041,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"1,5",,88,,151,,"11,38",,93,,4,,"61,8",,1,,1,,"6,5",
CF11041itkt,2867332,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61302,https://doi.org/10.15454/YCKCWW,CF11041,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,95,,148,,"12,23",,"89,1",,,,"76,5",,2,,2,,9,
CF11075itkfi,2867283,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61332,https://doi.org/10.15454/BH8LXP,CF11075,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"3,5",,80,,152,,"10,38",,"97,4",,4,,"64,7",,1,,1,,2,
CF11075itkt,2867284,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61332,https://doi.org/10.15454/BH8LXP,CF11075,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,82,,150,,"11,32",,"88,9",,,,"76,4",,"1,5",,"1,5",,"6,5",
AO12001itkt,2867348,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61241,https://doi.org/10.15454/TKI8XQ,AO12001,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,85,,149,,"11,34",,"94,5",,,,"81,1",,"1,5",,2,,3,
AO12001itkfi,2867347,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61241,https://doi.org/10.15454/TKI8XQ,AO12001,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,85,,151,,"11,32",,"74,8",,4,,"49,7",,"3,5",,"2,5",,1,
CF11003itkfi,2867341,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61253,https://doi.org/10.15454/0HUC0X,CF11003,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,92,,150,,"13,09",,"96,2",,3,,"63,9",,1,,1,,"4,5",
CF11003itkt,2867342,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61253,https://doi.org/10.15454/0HUC0X,CF11003,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,95,,148,,"13,65",,"86,9",,,,"74,6",,1,,2,,"8,5",
CF11032itkfi,2867351,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61285,https://doi.org/10.15454/MAOLEE,CF11032,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,90,,150,,"11,62",,"107,6",,3,,"71,5",,"3,5",,3,,6,
CF11032itkt,2867352,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61285,https://doi.org/10.15454/MAOLEE,CF11032,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,95,,148,,"12,85",,"96,7",,,,83,,1,,"1,5",,9,
CF11103itkt,2867326,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61385,https://doi.org/10.15454/99NTYT,CF11103,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,88,,151,,"14,43",,"82,8",,,,"71,1",,1,,2,,9,
CF11103itkfi,2867325,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61385,https://doi.org/10.15454/99NTYT,CF11103,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,88,,152,,12,,"109,2",,"4,5",,"72,5",,1,,1,,4,
CF11094itkfi,2867289,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61366,https://doi.org/10.15454/WFSIHH,CF11094,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"1,5",,90,,149,,"12,32",,"94,3",,"4,5",,"62,6",,2,,1,,1,
CF11094itkt,2867290,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61366,https://doi.org/10.15454/WFSIHH,CF11094,VIRTUAL_TRIAL,,,,,,,,treated,2012,"4,5",,88,,148,,"12,76",,"90,2",,,,"77,5",,2,,2,,5,
AO12002itkfi,2867349,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,3,,90,,150,,"11,72",,"70,2",,1,,"46,6",,7,,1,,1,
AO12002itkt,2867350,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,95,,149,,"12,25",,"87,2",,,,"74,9",,1,,"1,5",,9,
AO12003itkfi,2867277,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61590,https://doi.org/10.15454/1HGYCF,AO12003,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,90,,150,,"11,59",,"111,2",,4,,"73,9",,"2,5",,"2,5",,"5,5",
AO12003itkt,2867278,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61590,https://doi.org/10.15454/1HGYCF,AO12003,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,92,,148,,"12,41",,"86,4",,,,"74,2",,2,,2,,9,
DI12001itkfi,2867313,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61742,https://doi.org/10.15454/38GFUU,DI12001,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,85,,152,,"11,93",,"38,8",,1,,"25,8",,"8,5",,1,,1,
DI12001itkt,2867314,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61742,https://doi.org/10.15454/38GFUU,DI12001,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,92,,152,,"11,09",,"119,6",,,,"102,7",,1,,"1,5",,6,
DI12002itkfi,2867311,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61758,https://doi.org/10.15454/OKI00H,DI12002,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,90,,153,,"11,94",,55,,1,,"36,6",,"7,5",,1,,3,
DI12002itkt,2867312,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61758,https://doi.org/10.15454/OKI00H,DI12002,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,95,,152,,"12,11",,"98,2",,,,"84,4",,"1,5",,2,,"5,5",
DI12003itkt,2867310,BTH_Estrées-Mons_2012_SetB1,BTH_Estrées-Mons_2012_SetB1,61774,https://doi.org/10.15454/PDTNHE,DI12003,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,95,,152,,"12,96",,"83,4",,,,"71,6",,"1,5",,"1,5",,9,
