observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08019-2itkt,2843956,BTH_Clermont-Ferrand_2009_TECH,BTH_Clermont-Ferrand_2009_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2009,"16,1",,53,,61,,3,,54,,118,,82,,"1,58",,171,,54,,376,,"10,2",,NA,,1106,,35,
DI08011itkt,2843955,BTH_Clermont-Ferrand_2009_TECH,BTH_Clermont-Ferrand_2009_TECH,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2009,"21,5",,94,,100,,22,,90,,212,,69,,"0,74",,223,,52,,394,,"11,6",,NA,,1619,,52,
HadmF276itkt,2843972,BTH_Clermont-Ferrand_2009_TECH,BTH_Clermont-Ferrand_2009_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2009,"15,1",,46,,97,,68,,77,,242,,97,,"2,11",,182,,63,,388,,"11,5",,NA,,1594,,33,
CF08127itkt,2843986,BTH_Clermont-Ferrand_2009_TECH,BTH_Clermont-Ferrand_2009_TECH,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,treated,2009,"25,2",,129,,97,,48,,87,,232,,46,,"0,36",,189,,44,,NA,,"11,8",,"80,5",,1700,,NA,
CF07097itkt,2843967,BTH_Clermont-Ferrand_2009_TECH,BTH_Clermont-Ferrand_2009_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2009,"16,8",,57,,91,,32,,68,,191,,84,,"1,47",,185,,27,,372,,"11,3",,NA,,1525,,25,
CF08139itkt,2843970,BTH_Clermont-Ferrand_2009_TECH,BTH_Clermont-Ferrand_2009_TECH,27801,https://doi.org/10.15454/1DEONX,CF08139,VIRTUAL_TRIAL,,,,,,,,treated,2009,"14,7",,44,,79,,21,,63,,163,,124,,"2,81",,228,,100,,NA,,"11,5",,"78,9",,1058,,NA,
AO09007itkt,2843957,BTH_Clermont-Ferrand_2009_TECH,BTH_Clermont-Ferrand_2009_TECH,27776,https://doi.org/10.15454/4JXOGF,AO09007,VIRTUAL_TRIAL,,,,,,,,treated,2009,"20,6",,86,,94,,81,,76,,251,,72,,"0,84",,199,,57,,356,,"11,9",,NA,,1706,,33,
DI09015itkt,2843959,BTH_Clermont-Ferrand_2009_TECH,BTH_Clermont-Ferrand_2009_TECH,27811,https://doi.org/10.15454/N3NIWD,DI09015,VIRTUAL_TRIAL,,,,,,,,treated,2009,"14,9",,45,,79,,7,,67,,153,,132,,"2,95",,228,,69,,NA,,"11,6",,"78,5",,1065,,NA,
DI09017itkt,2843999,BTH_Clermont-Ferrand_2009_TECH,BTH_Clermont-Ferrand_2009_TECH,27812,https://doi.org/10.15454/BEWTVM,DI09017,VIRTUAL_TRIAL,,,,,,,,treated,2009,"17,1",,59,,91,,28,,84,,203,,114,,"1,93",,251,,72,,NA,,"10,8",,79,,1175,,NA,
DI09004itkt,2843976,BTH_Clermont-Ferrand_2009_TECH,BTH_Clermont-Ferrand_2009_TECH,27808,https://doi.org/10.15454/GGTVHF,DI09004,VIRTUAL_TRIAL,,,,,,,,treated,2009,"25,3",,130,,100,,71,,85,,256,,64,,"0,49",,217,,41,,NA,,"11,2",,"79,5",,1605,,NA,
