observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI02026itkfi,2783839,BTH_Le_Moulon_2002_SetB3,BTH_Le_Moulon_2002_SetB3,49711,gnpis_pui:holding-921_taxon-4898_accession-49711,DI02026,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,82,
RE01092itkfi,2783797,BTH_Le_Moulon_2002_SetB3,BTH_Le_Moulon_2002_SetB3,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,"84,1",
EM01343itkt,2783820,BTH_Le_Moulon_2002_SetB3,BTH_Le_Moulon_2002_SetB3,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,treated,2002,"109,5",,"117,9",
EM01343itkfi,2783819,BTH_Le_Moulon_2002_SetB3,BTH_Le_Moulon_2002_SetB3,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,"88,1",
DI02029itkt,2783828,BTH_Le_Moulon_2002_SetB3,BTH_Le_Moulon_2002_SetB3,49029,gnpis_pui:holding-921_taxon-4898_accession-49029,DI02029,VIRTUAL_TRIAL,,,,,,,,treated,2002,"93,7",,"100,9",
DI02029itkfi,2783827,BTH_Le_Moulon_2002_SetB3,BTH_Le_Moulon_2002_SetB3,49029,gnpis_pui:holding-921_taxon-4898_accession-49029,DI02029,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,"76,4",
RE02105itkt,2783832,BTH_Le_Moulon_2002_SetB3,BTH_Le_Moulon_2002_SetB3,49635,gnpis_pui:holding-921_taxon-4898_accession-49635,RE02105,VIRTUAL_TRIAL,,,,,,,,treated,2002,"93,8",,"100,9",
RE02105itkfi,2783831,BTH_Le_Moulon_2002_SetB3,BTH_Le_Moulon_2002_SetB3,49635,gnpis_pui:holding-921_taxon-4898_accession-49635,RE02105,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,"76,6",
RE01091itkfi,2783799,BTH_Le_Moulon_2002_SetB3,BTH_Le_Moulon_2002_SetB3,48577,gnpis_pui:holding-921_taxon-4898_accession-48577,RE01091,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,83,
RE01091itkt,2783800,BTH_Le_Moulon_2002_SetB3,BTH_Le_Moulon_2002_SetB3,48577,gnpis_pui:holding-921_taxon-4898_accession-48577,RE01091,VIRTUAL_TRIAL,,,,,,,,treated,2002,"89,7",,"96,5",
EM01352itkt,2783856,BTH_Le_Moulon_2002_SetB3,BTH_Le_Moulon_2002_SetB3,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,treated,2002,"107,7",,116,
EM01352itkfi,2783855,BTH_Le_Moulon_2002_SetB3,BTH_Le_Moulon_2002_SetB3,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,"83,3",
RE01095itkfi,2783795,BTH_Le_Moulon_2002_SetB3,BTH_Le_Moulon_2002_SetB3,49084,gnpis_pui:holding-921_taxon-4898_accession-49084,RE01095,VIRTUAL_TRIAL,,,,,,,,low inputs,2002,,,"84,8",
