observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pel(CO_321:1000223),pel(CO_321:1000223).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,volC(CO_321:1000235),volC(CO_321:1000235).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
Ressoritkt,2775327,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,5",,69,,137,,49,,186,,40,,"0,57",,108,,21,,251,,125,,"44,1",,"10,5",,"80,5",,40,,1536,,"1,76",,23,
CF99005itkt,2775328,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,1",,74,,156,,69,,225,,63,,"0,84",,182,,47,,383,,171,,"43,13",,"10,7",,82,,49,,1649,,"1,85",,29,
Koreliitkt,2775297,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2001,18,,65,,144,,69,,213,,83,,"1,28",,199,,25,,369,,182,,"44,4",,"9,8",,"82,5",,52,,1581,,"3,58",,30,
RE99009itkt,2775339,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,2",,91,,148,,73,,221,,44,,"0,48",,149,,29,,252,,118,,"46,5",,"10,7",,78,,37,,1608,,"1,5",,23,
RE01004itkt,2775313,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26094,https://doi.org/10.15454/KQXNER,RE01004,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,2",,67,,138,,70,,208,,90,,"1,33",,237,,39,,304,,202,,"44,8",,"11,3",,83,,54,,1625,,"1,77",,34,
CF00193itkt,2775337,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,5",,103,,130,,64,,194,,103,,1,,388,,48,,370,,248,,"40,5",,"12,5",,"83,5",,67,,1445,,"2,33",,47,
CF00189itkt,2775306,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,treated,2001,"24,6",,123,,135,,67,,202,,40,,"0,32",,150,,11,,307,,116,,"44,25",,11,,"80,5",,44,,1441,,"2,81",,23,
CF99105itkt,2775338,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,8",,115,,138,,68,,206,,68,,"0,59",,250,,41,,345,,159,,"47,4",,"11,6",,"82,5",,59,,1553,,"3,26",,37,
RE99102itkt,2775301,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26002,https://doi.org/10.15454/4NCDUP,RE99102,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,3",,75,,93,,49,,142,,57,,"0,76",,147,,36,,261,,190,,"42,45",,"11,1",,"80,5",,41,,1348,,"2,5",,25,
RE00108itkt,2775320,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,26004,https://doi.org/10.15454/6Q72BN,RE00108,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,6",,70,,149,,69,,218,,88,,"1,24",,220,,46,,321,,212,,"41,9",,"11,1",,"82,5",,51,,1562,,"2,51",,27,
DI9714itkt,2775300,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,5",,103,,159,,80,,239,,109,,"1,06",,371,,48,,371,,202,,"46,4",,"12,2",,82,,65,,1764,,"3,89",,41,
RE00149itkt,2775314,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,48470,gnpis_pui:holding-921_taxon-4898_accession-48470,RE00149,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,6",,86,,154,,76,,230,,104,,"1,21",,292,,47,,369,,143,,"51,1",,"13,2",,84,,60,,1725,,"2,85",,39,
RE00144itkt,2775345,BTH_Estrées-Mons_2001_TECH,BTH_Estrées-Mons_2001_TECH,48402,gnpis_pui:holding-921_taxon-4898_accession-48402,RE00144,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,8",,88,,136,,62,,198,,63,,"0,72",,187,,10,,301,,110,,"47,95",,"11,1",,81,,36,,1560,,"3,15",,24,
