observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
CF10299itkt,2861940,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,treated,2011,"20,6",,86,,NA,,100,,NA,,"25,6",,NA,,"74,6",,NA,,"200,2",,75,,"0,87",,234,,39,,223,,"10,1",,"76,7",,NA,,1210,,NA,
EM10126itkt,2861925,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2011,"15,3",,48,,NA,,100,,NA,,26,,NA,,72,,NA,,198,,125,,"2,62",,226,,75,,268,,"9,8",,"75,5",,NA,,1200,,NA,
DI08019-2itkt,2861912,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2011,"11,4",,26,,73,,NA,,5,,NA,,47,,NA,,125,,NA,,117,,"4,5",,130,,"87,5",,358,,"10,9",,NA,,875,,NA,,32,
CF10185itkt,2861954,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2011,"21,1",,90,,NA,,91,,NA,,"60,4",,NA,,"78,5",,NA,,230,,101,,"1,12",,334,,86,,314,,"10,6",,"81,1",,NA,,1690,,NA,
CF10140itkt,2861914,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,treated,2011,"19,3",,75,,NA,,91,,NA,,"35,6",,NA,,"77,8",,NA,,"204,4",,130,,"1,73",,391,,88,,336,,"11,4",,"79,8",,NA,,1520,,NA,
CF10042itkt,2861921,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,treated,2011,"14,7",,44,,NA,,94,,NA,,"35,6",,NA,,"83,6",,NA,,"213,2",,120,,"2,75",,216,,79,,314,,"10,6",,82,,NA,,1420,,NA,
CF10064itkt,2861948,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2011,"21,2",,91,,NA,,88,,NA,,"29,9",,NA,,77,,NA,,"194,9",,83,,"0,91",,286,,20,,309,,"10,6",,"79,1",,NA,,1380,,NA,
CF09117itkt,2861950,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2011,"18,6",,70,,79,,NA,,7,,NA,,51,,NA,,137,,NA,,120,,"1,71",,332,,95,,372,,"12,9",,NA,,1125,,NA,,"54,5",
CF09227itkt,2861956,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2011,13,,34,,73,,NA,,5,,NA,,47,,NA,,125,,NA,,119,,"3,5",,182,,98,,355,,"11,4",,NA,,945,,NA,,"39,5",
EM08231itkt,2861943,BTH_Le_Moulon_2011_TECH,BTH_Le_Moulon_2011_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2011,"25,4",,131,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,31,,"0,24",,85,,44,,62,,"12,3",,NA,,NA,,NA,,18,
