observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08019-2itkfi,2844018,BTH_Estrées-Mons_2009_TECH,BTH_Estrées-Mons_2009_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
DI08019-2itkt,2844019,BTH_Estrées-Mons_2009_TECH,BTH_Estrées-Mons_2009_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2009,"18,4",,69,,100,,,,68,,,,78,,,,246,,,,94,,"1,38",,226,,60,,399,,"11,2",,NA,,1540,,,,41,
DI08011itkt,2844017,BTH_Estrées-Mons_2009_TECH,BTH_Estrées-Mons_2009_TECH,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2009,"22,9",,106,,100,,,,69,,,,90,,,,259,,,,82,,"0,77",,278,,57,,375,,"12,6",,NA,,1528,,,,47,
DI08011itkfi,2844016,BTH_Estrées-Mons_2009_TECH,BTH_Estrées-Mons_2009_TECH,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
HadmF276itkfi,2844050,BTH_Estrées-Mons_2009_TECH,BTH_Estrées-Mons_2009_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
HadmF276itkt,2844051,BTH_Estrées-Mons_2009_TECH,BTH_Estrées-Mons_2009_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2009,"17,2",,60,,100,,,,73,,,,88,,,,261,,,,83,,"1,38",,186,,72,,359,,"12,2",,NA,,1425,,,,43,
CF08127itkt,2844079,BTH_Estrées-Mons_2009_TECH,BTH_Estrées-Mons_2009_TECH,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,treated,2009,"27,1",,149,,94,,,,65,,,,93,,,,252,,,,42,,"0,28",,193,,33,,NA,,"11,5",,"80,4",,1745,,,,NA,
CF08127itkfi,2844078,BTH_Estrées-Mons_2009_TECH,BTH_Estrées-Mons_2009_TECH,27800,https://doi.org/10.15454/WQU9II,CF08127,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,,,,,,,100,,,,"57,8",,,,94,,,,"251,8",,,,,,,,33,,330,,"11,3",,"80,4",,,,1750,,,
CF07097itkt,2844041,BTH_Estrées-Mons_2009_TECH,BTH_Estrées-Mons_2009_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2009,"20,3",,84,,100,,,,76,,,,90,,,,266,,,,68,,"0,82",,195,,26,,379,,"12,6",,NA,,1650,,,,27,
CF07097itkfi,2844040,BTH_Estrées-Mons_2009_TECH,BTH_Estrées-Mons_2009_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,,,,,,,NA,,,,NA,,,,NA,,,,NA,,,,,,,,NA,,NA,,NA,,NA,,,,NA,,,
