observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date
DI05020-2itkfi,2818711,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI06007itkfi,2818731,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,2006,"24,6",,123,,100,,26,,"65,8",,"191,8",,36,,"0,3",,163,,21,,340,,"13,5",,"79,9",
DI05022itkfi,2818675,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Barokitkfi,2818674,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM05055itkfi,2818708,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,2006,"25,1",,128,,100,,"39,8",,"64,6",,"204,4",,26,,"0,2",,107,,34,,339,,"11,8",,"79,9",
CF05173itkfi,2818721,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,2006,"19,6",,78,,100,,"42,8",,"92,5",,"235,2",,75,,"0,96",,231,,18,,346,,"9,4",,"81,9",
EM03332itkfi,2818725,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26986,https://doi.org/10.15454/VOIUNY,EM03332,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF05079itkfi,2818720,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,2006,"17,8",,64,,100,,"28,2",,"54,5",,"182,8",,99,,"1,53",,255,,55,,385,,"11,1",,"83,1",
CF05091itkfi,2818706,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,2006,"16,7",,56,,97,,"23,8",,"79,2",,200,,103,,"1,82",,226,,65,,353,,"10,5",,"82,1",
DI05014itkfi,2818693,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE05007itkfi,2818678,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,2006,"24,8",,125,,100,,"50,2",,"85,9",,"236,1",,50,,"0,4",,177,,53,,293,,"11,5",,"78,7",
CF05162itkfi,2818695,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,2006,"23,2",,109,,100,,"59,4",,80,,"239,4",,73,,"0,67",,232,,67,,371,,"9,9",,"79,3",
CF03201itkfi,2818698,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO06313itkfi,2818684,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26967,https://doi.org/10.15454/GRNHCW,AO06313,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
AO06407itkfi,2818686,BTH_Rennes_2006_TECH,BTH_Rennes_2006_TECH,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,2006,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
