observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieD(CO_321:1000255),NmieD(CO_321:1000255).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainD(CO_321:1000254),NpainD(CO_321:1000254).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateD(CO_321:1000253),NpateD(CO_321:1000253).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotD(CO_321:1000256),NtotD(CO_321:1000256).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volD(CO_321:1000257),volD(CO_321:1000257).date,zel(CO_321:1000222),zel(CO_321:1000222).date
AO14020itkfi,2976814,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,15.9,,52,,,,100,,,,83.2,,,,89.63,,,,272.83,,106,,2.06,,216,,54,,372,,43.1,,10.7,,79.7,,,,,
EM13147itkfi,2976816,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61412,https://doi.org/10.15454/J7IR6N,EM13147,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,15.5,,49,,,,94,,,,8.5,,,,65.75,,,,168.25,,90,,1.85,,175,,59,,404,,55.6,,9.1,,76.8,,,,,
CF13158itkfi,2976818,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61152,https://doi.org/10.15454/BOXBBY,CF13158,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,21.6,,95,,,,100,,,,69.1,,,,98.5,,,,267.6,,57,,0.59,,146,,73,,359,,46.4,,9.5,,79.4,,,,,
RE13116itkfi,2976785,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61763,https://doi.org/10.15454/N7NCR1,RE13116,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,22.7,,105,,,,100,,,,73.3,,,,86.63,,,,259.93,,67,,0.63,,203,,58,,336,,57.3,,9.3,,80.7,,,,,
EM12040itkfi,2976804,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,20.8,,88,,,,100,,,,79.9,,,,91.13,,,,271.03,,77,,0.88,,226,,53,,430,,51.7,,10.1,,80.2,,,,,
AO14041itkfi,2976806,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,60915,https://doi.org/10.15454/BHRDHY,AO14041,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,21.8,,96,,,,97,,,,72.7,,,,79.25,,,,248.95,,50,,0.52,,133,,60,,376,,53.3,,9.9,,75,,,,,
CF13080itkfi,2976801,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61079,https://doi.org/10.15454/SAGJTL,CF13080,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,22.5,,103,,,,85,,,,6.25,,,,33.01,,,,124.26,,26,,0.25,,61,,19,,323,,41.4,,11,,75.2,,,,,
RE13003itkfi,2976821,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61467,https://doi.org/10.15454/J5JFPN,RE13003,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,18.9,,72,,,,100,,,,52.95,,,,89.63,,,,242.58,,87,,1.2,,216,,79,,226,,49.7,,9.8,,78.1,,,,,
AO14008itkfi,2976815,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61924,https://doi.org/10.15454/7FN5V4,AO14008,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,19.3,,75,,,,100,,,,57.75,,,,81.5,,,,239.25,,89,,1.18,,227,,78,,376,,49.1,,10.1,,82.7,,,,,
AO14028itkfi,2976820,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,62039,https://doi.org/10.15454/FMXV4A,AO14028,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,15.8,,50,,,,100,,,,74.2,,,,89.63,,,,263.83,,84,,1.67,,161,,70,,376,,48,,9.8,,78.2,,,,,
