observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE08071,2843818,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61306,https://doi.org/10.15454/BEKLAJ,RE08071,VIRTUAL_TRIAL,,,,,,,,2009,6,,4,
EM08234,2843825,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61974,https://doi.org/10.15454/ENEA7S,EM08234,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,4,
AO09022,2843800,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61092,https://doi.org/10.15454/JMOG5B,AO09022,VIRTUAL_TRIAL,,,,,,,,2009,6,,6,
CF08130,2843804,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61351,https://doi.org/10.15454/7TGBWO,CF08130,VIRTUAL_TRIAL,,,,,,,,2009,5,,1,
CF08134,2843807,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61368,https://doi.org/10.15454/WTGZL9,CF08134,VIRTUAL_TRIAL,,,,,,,,2009,3,,1,
RE08072,2843817,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61414,https://doi.org/10.15454/0GA5PF,RE08072,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,3,
CF08159,2843814,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61411,https://doi.org/10.15454/07KNPI,CF08159,VIRTUAL_TRIAL,,,,,,,,2009,3,,1,
CF08168,2843833,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61429,https://doi.org/10.15454/FRA3PH,CF08168,VIRTUAL_TRIAL,,,,,,,,2009,"5,5",,1,
RE08080,2843798,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61618,https://doi.org/10.15454/4WAHXR,RE08080,VIRTUAL_TRIAL,,,,,,,,2009,3,,1,
DI09021,2843805,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61760,https://doi.org/10.15454/GC5XFU,DI09021,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,3,
DI09020,2843820,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61743,https://doi.org/10.15454/UW5VA5,DI09020,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,3,
DI09024,2843803,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61804,https://doi.org/10.15454/DAZZBT,DI09024,VIRTUAL_TRIAL,,,,,,,,2009,4,,1,
RE08057,2843809,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,61871,https://doi.org/10.15454/ZVHVUJ,RE08057,VIRTUAL_TRIAL,,,,,,,,2009,"4,5",,1,
EM08244,2843811,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,62006,https://doi.org/10.15454/0ISKHX,EM08244,VIRTUAL_TRIAL,,,,,,,,2009,5,,6,
EM08278,2843831,BTH_Rennes_2009_SetB3_PIETIN-VERSE,BTH_Rennes_2009_SetB3_PIETIN-VERSE,62037,https://doi.org/10.15454/XLGZP1,EM08278,VIRTUAL_TRIAL,,,,,,,,2009,3,,1,
