observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO12002itkfi,2872480,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,3,,86,,1,,158,,"11,4",,"77,5",,"89,7",,1,,67,,9,,4,,"3,5",
AO12002itkt,2872482,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,87,,,,158,,"12,1",,"80,6",,"106,2",,,,109,,,,,,5,
AO12002itknt,2872481,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"2,5",,,,1,,,,,,,,"97,4",,1,,"74,8",,9,,"3,5",,6,
RE10042itkt,2872515,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,,,161,,"11,9",,"80,3",,"105,6",,,,"108,4",,,,,,"5,5",
RE10042itkfi,2872513,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"2,5",,94,,1,,160,,"11,4",,"78,8",,"122,2",,4,,"91,4",,1,,3,,5,
Lyrikitknt,2872559,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,4,,,,,,,,132,,4,,"101,3",,4,,5,,5,
AO12021itkfi,2872456,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,92,,1,,158,,"11,5",,"80,8",,123,,3,,92,,1,,4,,5,
CF08027itknt,2872556,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"2,5",,,,"3,5",,,,,,,,"126,4",,2,,"96,9",,"1,5",,4,,7,
CF08027itkfi,2872555,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,2,,95,,1,,162,,"11,2",,"81,2",,"115,3",,4,,"86,2",,2,,4,,7,
AO12021itknt,2872457,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,1,,,,,,,,"134,8",,"1,5",,"103,4",,1,,4,,"6,5",
EM10126itkfi,2872495,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"2,5",,86,,"1,5",,158,,"11,6",,"79,8",,"112,5",,1,,"84,1",,1,,6,,5,
CF08027itkt,2872557,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,88,,,,162,,"12,1",,83,,110,,,,"112,8",,,,,,"6,5",
AO13009itkt,2872470,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,,,158,,"12,3",,"80,8",,"106,8",,,,"109,6",,,,,,"5,5",
EM10126itknt,2872496,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"1,5",,,,"4,5",,,,,,,,"112,2",,1,,"86,1",,1,,7,,"4,5",
EM10126itkt,2872497,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,78,,,,158,,"11,8",,"79,8",,"106,8",,,,"109,6",,,,,,5,
AO12021itkt,2872458,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,84,,,,158,,"11,8",,"80,5",,"109,9",,,,"112,8",,,,,,7,
Gallixeitkt,2872542,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,75,,,,158,,"11,5",,"78,8",,"105,5",,,,"108,3",,,,,,"2,5",
AO13009itkfi,2872468,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,90,,1,,158,,"11,7",,"81,4",,"117,3",,4,,"87,8",,"4,5",,5,,5,
Bermudeitkfi,2872465,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"3,5",,83,,1,,159,,"10,9",,80,,107,,2,,"80,1",,1,,7,,"2,5",
CF10185itknt,2872562,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,,,3,,,,,,,,"112,9",,2,,"86,7",,1,,6,,8,
AO12014itknt,2872472,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,5,,,,1,,,,,,,,"103,2",,1,,"79,2",,6,,4,,"6,5",
Gallixeitkfi,2872540,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,78,,1,,157,,"10,8",,"80,3",,"117,5",,"3,5",,"87,9",,3,,"4,5",,2,
CF10185itkfi,2872561,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"2,5",,92,,1,,160,,"12,1",,"82,6",,"122,5",,3,,"91,6",,"1,5",,5,,"6,5",
CF10185itkt,2872563,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,85,,,,162,,"12,6",,"81,8",,"101,7",,,,"104,4",,,,,,7,
Bermudeitkt,2872467,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,84,,,,160,,"11,5",,"80,4",,"105,8",,,,"108,6",,,,,,"2,5",
AO12014itkfi,2872471,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"2,5",,92,,1,,160,,"10,8",,"77,4",,"103,5",,1,,"77,4",,9,,4,,6,
EM09320itkt,2872449,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,,,158,,"10,8",,"81,6",,"101,4",,,,"104,1",,,,,,5,
Granamaxitkt,2872500,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,84,,,,158,,"11,9",,"81,2",,"112,7",,,,"115,7",,,,,,6,
Granamaxitkfi,2872498,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"2,5",,88,,1,,158,,"11,1",,"80,8",,"119,4",,"3,5",,"89,3",,1,,"5,5",,5,
AO13007itknt,2872460,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"2,5",,,,"2,5",,,,,,,,"117,8",,"3,5",,"90,4",,1,,7,,6,
Granamaxitknt,2872499,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,"2,5",,,,"3,5",,,,,,,,"119,3",,2,,"91,5",,1,,6,,"6,5",
AO13007itkfi,2872459,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,"1,5",,80,,1,,158,,"10,9",,"82,4",,"114,1",,4,,"85,3",,1,,7,,"2,5",
AO13007itkt,2872461,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,79,,,,160,,"11,8",,"81,2",,112,,,,"114,9",,,,,,6,
Gallixeitknt,2872541,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,1,,,,,,,,"123,9",,3,,"95,1",,"2,5",,"6,5",,"4,5",
AO11011itknt,2872505,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,,,"1,5",,,,,,,,"122,8",,"3,5",,"94,2",,1,,"4,5",,3,
AO13001itknt,2872454,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,1,,,,,,,,"103,1",,"2,5",,"79,1",,1,,9,,"4,5",
AO11011itkfi,2872504,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,1,,81,,1,,160,,"11,4",,"81,8",,"118,5",,"3,5",,"88,6",,1,,5,,2,
AO13001itkt,2872455,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,82,,,,158,,"12,6",,"81,7",,"104,6",,,,"107,3",,,,,,4,
AO12035itkt,2872512,BTH_Estrées-Mons_2013_SetA1,BTH_Estrées-Mons_2013_SetA1,49348,https://doi.org/10.15454/NFBGKG,AO12035,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,76,,,,160,,"11,3",,"81,3",,"100,1",,,,"102,8",,,,,,6,
