observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI03003,2789450,BTH_Rennes_2003_SetB1_PIETIN-VERSE,BTH_Rennes_2003_SetB1_PIETIN-VERSE,26426,https://doi.org/10.15454/PIXJ6I,DI03003,VIRTUAL_TRIAL,,,,,,,,2003,"7,5",,1,,5,,1,,6,
EM02281,2789429,BTH_Rennes_2003_SetB1_PIETIN-VERSE,BTH_Rennes_2003_SetB1_PIETIN-VERSE,49177,gnpis_pui:holding-921_taxon-4898_accession-49177,EM02281,VIRTUAL_TRIAL,,,,,,,,2003,"7,5",,1,,2,,3,,1,
RE02161,2789459,BTH_Rennes_2003_SetB1_PIETIN-VERSE,BTH_Rennes_2003_SetB1_PIETIN-VERSE,48986,gnpis_pui:holding-921_taxon-4898_accession-48986,RE02161,VIRTUAL_TRIAL,,,,,,,,2003,"8,5",,1,,2,,3,,1,
CF02145,2789463,BTH_Rennes_2003_SetB1_PIETIN-VERSE,BTH_Rennes_2003_SetB1_PIETIN-VERSE,48913,gnpis_pui:holding-921_taxon-4898_accession-48913,CF02145,VIRTUAL_TRIAL,,,,,,,,2003,"6,5",,1,,2,,1,,1,
EM02292,2789439,BTH_Rennes_2003_SetB1_PIETIN-VERSE,BTH_Rennes_2003_SetB1_PIETIN-VERSE,48744,gnpis_pui:holding-921_taxon-4898_accession-48744,EM02292,VIRTUAL_TRIAL,,,,,,,,2003,"6,5",,1,,3,,3,,1,
RE02134,2789430,BTH_Rennes_2003_SetB1_PIETIN-VERSE,BTH_Rennes_2003_SetB1_PIETIN-VERSE,49411,gnpis_pui:holding-921_taxon-4898_accession-49411,RE02134,VIRTUAL_TRIAL,,,,,,,,2003,5,,1,,2,,3,,1,
RE02095,2789454,BTH_Rennes_2003_SetB1_PIETIN-VERSE,BTH_Rennes_2003_SetB1_PIETIN-VERSE,48677,gnpis_pui:holding-921_taxon-4898_accession-48677,RE02095,VIRTUAL_TRIAL,,,,,,,,2003,7,,1,,3,,1,,1,
DI03001,2789449,BTH_Rennes_2003_SetB1_PIETIN-VERSE,BTH_Rennes_2003_SetB1_PIETIN-VERSE,49278,gnpis_pui:holding-921_taxon-4898_accession-49278,DI03001,VIRTUAL_TRIAL,,,,,,,,2003,4,,1,,2,,1,,1,
CF02144,2789464,BTH_Rennes_2003_SetB1_PIETIN-VERSE,BTH_Rennes_2003_SetB1_PIETIN-VERSE,49253,gnpis_pui:holding-921_taxon-4898_accession-49253,CF02144,VIRTUAL_TRIAL,,,,,,,,2003,6,,1,,3,,1,,1,
RE02081,2789433,BTH_Rennes_2003_SetB1_PIETIN-VERSE,BTH_Rennes_2003_SetB1_PIETIN-VERSE,48430,gnpis_pui:holding-921_taxon-4898_accession-48430,RE02081,VIRTUAL_TRIAL,,,,,,,,2003,8,,1,,2,,1,,3,
