observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
RE12030itkfi,2876632,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61337,https://doi.org/10.15454/PJFLXT,RE12030,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,153,,"10,9",,"77,7",,"112,2",,"58,7",,"5,2",
AO13002itkfi,2876608,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61273,https://doi.org/10.15454/2QGKAK,AO13002,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,148,,"9,7",,"74,1",,"112,9",,"59,1",,5,
CF12108itkfi,2876609,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,48357,https://doi.org/10.15454/2XAWEY,CF12108,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,147,,"10,1",,75,,"127,4",,"66,7",,"4,2",
AO13006itkfi,2876610,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61943,https://doi.org/10.15454/95ZYU4,AO13006,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,149,,"11,1",,72,,"94,3",,"49,4",,"5,8",
RE12040itkfi,2876605,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,48352,https://doi.org/10.15454/YWSWUD,RE12040,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,150,,"10,7",,"74,7",,"124,5",,"65,1",,"4,5",
AO13014itkfi,2876629,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,60818,https://doi.org/10.15454/CYMV5L,AO13014,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,95,,154,,"9,9",,"74,4",,"138,7",,"72,6",,"3,2",
RE12005itkfi,2876615,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61290,https://doi.org/10.15454/Q9AAOE,RE12005,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,102,,152,,"10,7",,"74,2",,"125,7",,"65,8",,4,
AO13008itkfi,2876635,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,60717,https://doi.org/10.15454/QBK7AX,AO13008,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,151,,"10,9",,"73,2",,"97,7",,"51,2",,"3,8",
RE12039itkfi,2876630,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,61354,https://doi.org/10.15454/D4PG9N,RE12039,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,148,,"10,8",,"75,8",,"120,7",,"63,2",,"4,8",
RE12020itkfi,2876616,BTH_Lusignan_2013_SetB1,BTH_Lusignan_2013_SetB1,49575,https://doi.org/10.15454/DGI5VN,RE12020,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,152,,"11,8",,"74,6",,"107,3",,"56,1",,"4,8",
