observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF11140,2869293,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61443,https://doi.org/10.15454/61JYKU,CF11140,VIRTUAL_TRIAL,,,,,,,,2012,"7,5",,5,,3,,1,
CF11150,2869310,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61461,https://doi.org/10.15454/9DTWQV,CF11150,VIRTUAL_TRIAL,,,,,,,,2012,6,,5,,4,,1,
CF11110,2869308,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61410,https://doi.org/10.15454/ERILBD,CF11110,VIRTUAL_TRIAL,,,,,,,,2012,"3,5",,5,,3,,1,
CF11159,2869307,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61494,https://doi.org/10.15454/BNMVC6,CF11159,VIRTUAL_TRIAL,,,,,,,,2012,4,,5,,3,,1,
CF11164,2869291,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61509,https://doi.org/10.15454/HGNUZP,CF11164,VIRTUAL_TRIAL,,,,,,,,2012,3,,5,,1,,1,
EM11552,2869312,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61547,https://doi.org/10.15454/WWS1CM,EM11552,VIRTUAL_TRIAL,,,,,,,,2012,8,,2,,3,,1,
CF11192,2869282,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61539,https://doi.org/10.15454/9F9U9Z,CF11192,VIRTUAL_TRIAL,,,,,,,,2012,"6,5",,2,,4,,1,
EM11565,2869290,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61705,https://doi.org/10.15454/LUSDY2,EM11565,VIRTUAL_TRIAL,,,,,,,,2012,3,,5,,2,,1,
DI12013,2869305,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61938,https://doi.org/10.15454/LRDMJQ,DI12013,VIRTUAL_TRIAL,,,,,,,,2012,"8,5",,5,,6,,1,
EM11582,2869298,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,62041,https://doi.org/10.15454/YY8ALS,EM11582,VIRTUAL_TRIAL,,,,,,,,2012,4,,5,,4,,1,
AO12025,2869275,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61019,https://doi.org/10.15454/VSFGLN,AO12025,VIRTUAL_TRIAL,,,,,,,,2012,6,,2,,4,,4,
DI12009,2869286,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61863,https://doi.org/10.15454/SSBKER,DI12009,VIRTUAL_TRIAL,,,,,,,,2012,8,,5,,6,,1,
DI12008,2869287,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61847,https://doi.org/10.15454/ERHVKW,DI12008,VIRTUAL_TRIAL,,,,,,,,2012,9,,5,,4,,1,
DI12012,2869304,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61923,https://doi.org/10.15454/DNQAJZ,DI12012,VIRTUAL_TRIAL,,,,,,,,2012,8,,5,,3,,1,
DI12010,2869302,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61882,https://doi.org/10.15454/IS30KY,DI12010,VIRTUAL_TRIAL,,,,,,,,2012,"8,5",,5,,6,,1,
DI12011,2869303,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61907,https://doi.org/10.15454/M9DOGT,DI12011,VIRTUAL_TRIAL,,,,,,,,2012,7,,5,,2,,1,
EM11537,2869274,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,2012,7,,2,,2,,1,
CF11158,2869306,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61478,https://doi.org/10.15454/OKDYWQ,CF11158,VIRTUAL_TRIAL,,,,,,,,2012,5,,5,,4,,2,
AO12016,2869288,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,60865,https://doi.org/10.15454/3HYAKT,AO12016,VIRTUAL_TRIAL,,,,,,,,2012,"4,5",,5,,4,,1,
CF11115,2869289,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61427,https://doi.org/10.15454/ZA57QR,CF11115,VIRTUAL_TRIAL,,,,,,,,2012,7,,5,,2,,2,
EM11589,2869296,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,62158,https://doi.org/10.15454/4698PG,EM11589,VIRTUAL_TRIAL,,,,,,,,2012,"4,5",,5,,3,,1,
RE11035,2869285,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,49509,https://doi.org/10.15454/GGHC1S,RE11035,VIRTUAL_TRIAL,,,,,,,,2012,3,,5,,2,,1,
RE11059,2869283,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,48495,https://doi.org/10.15454/TIEAR7,RE11059,VIRTUAL_TRIAL,,,,,,,,2012,3,,5,,1,,1,
Premio,2869273,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,2012,"4,5",,5,,2,,1,
Apache,2869292,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2012,3,,5,,1,,1,
Lyrik,2869311,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,2012,"4,5",,2,,2,,1,
CF11177,2869309,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,48786,https://doi.org/10.15454/TMOAXC,CF11177,VIRTUAL_TRIAL,,,,,,,,2012,7,,3,,1,,1,
EM11579,2869299,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,48950,https://doi.org/10.15454/YMQEBZ,EM11579,VIRTUAL_TRIAL,,,,,,,,2012,5,,5,,1,,1,
RE11045,2869276,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,48831,https://doi.org/10.15454/IFODWI,RE11045,VIRTUAL_TRIAL,,,,,,,,2012,"5,5",,5,,4,,3,
RE11058,2869284,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,48469,https://doi.org/10.15454/ENAZXW,RE11058,VIRTUAL_TRIAL,,,,,,,,2012,"3,5",,5,,3,,1,
RE11073,2869279,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,49688,https://doi.org/10.15454/F0TXTO,RE11073,VIRTUAL_TRIAL,,,,,,,,2012,"4,5",,5,,3,,1,
RE11075,2869277,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,49577,https://doi.org/10.15454/DGTMEC,RE11075,VIRTUAL_TRIAL,,,,,,,,2012,5,,5,,2,,1,
RE11087,2869297,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,49419,https://doi.org/10.15454/IRCHBB,RE11087,VIRTUAL_TRIAL,,,,,,,,2012,5,,5,,4,,1,
AO12019,2869300,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,60929,https://doi.org/10.15454/2XDPMU,AO12019,VIRTUAL_TRIAL,,,,,,,,2012,5,,5,,2,,1,
AO12018,2869301,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,60912,https://doi.org/10.15454/5FEVH3,AO12018,VIRTUAL_TRIAL,,,,,,,,2012,"5,5",,5,,4,,4,
AO12020,2869278,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,60945,https://doi.org/10.15454/VXRK5Y,AO12020,VIRTUAL_TRIAL,,,,,,,,2012,5,,5,,2,,1,
RE11060,2869295,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,61023,https://doi.org/10.15454/NQSOJJ,RE11060,VIRTUAL_TRIAL,,,,,,,,2012,"4,5",,5,,3,,1,
Altigo,2869294,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,2012,"6,5",,5,,4,,3,
Bermude,2869280,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,2012,9,,2,,3,,1,
AO12014,2869281,BTH_Rennes_2012_SetB2_PIETIN-VERSE,BTH_Rennes_2012_SetB2_PIETIN-VERSE,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,2012,"6,5",,5,,6,,4,
