observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF03252itkfi,2799457,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49339,gnpis_pui:holding-921_taxon-4898_accession-49339,CF03252,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,23",,"99,8",,"82,8",,1,
EM03059itkt,2799426,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48624,gnpis_pui:holding-921_taxon-4898_accession-48624,EM03059,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,8",,"104,8",,"111,2",,1,
EM03030itkt,2799434,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49101,gnpis_pui:holding-921_taxon-4898_accession-49101,EM03030,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,58",,"95,5",,"101,3",,1,
Apacheitkfi,2799411,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,51",,"100,7",,"83,6",,3,
RE03136itkt,2799450,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49407,gnpis_pui:holding-921_taxon-4898_accession-49407,RE03136,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,9",,"101,5",,"107,7",,1,
EM03030itkfi,2799433,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49101,gnpis_pui:holding-921_taxon-4898_accession-49101,EM03030,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,48",,"111,1",,"92,3",,1,
EM03069itkfi,2799385,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49555,gnpis_pui:holding-921_taxon-4898_accession-49555,EM03069,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,46",,"102,9",,"85,4",,1,
LM03010itkt,2799444,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48581,gnpis_pui:holding-921_taxon-4898_accession-48581,LM03010,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,34",,"99,2",,"105,2",,1,
LM03010itkfi,2799443,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48581,gnpis_pui:holding-921_taxon-4898_accession-48581,LM03010,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,9",,"97,9",,"81,3",,1,
EM03028itkt,2799382,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,33",,"104,3",,"110,6",,1,
DI04010itkt,2799402,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48983,gnpis_pui:holding-921_taxon-4898_accession-48983,DI04010,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,68",,"105,7",,"112,1",,2,
DI04010itkfi,2799401,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48983,gnpis_pui:holding-921_taxon-4898_accession-48983,DI04010,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,06",,"108,4",,90,,1,
Apacheitkt,2799412,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,6",,"99,2",,"105,2",,1,
DI04013itkfi,2799395,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49312,gnpis_pui:holding-921_taxon-4898_accession-49312,DI04013,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,32",,"105,4",,"87,5",,1,
CF03124itkfi,2799439,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49408,gnpis_pui:holding-921_taxon-4898_accession-49408,CF03124,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,46",,"96,2",,"79,9",,1,
DI04013itkt,2799396,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49312,gnpis_pui:holding-921_taxon-4898_accession-49312,DI04013,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,91",,"96,4",,"102,3",,1,
CF03167itkfi,2799429,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,93",,"107,1",,"88,9",,1,
EM03047itkfi,2799375,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49041,gnpis_pui:holding-921_taxon-4898_accession-49041,EM03047,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,36",,"106,6",,"88,5",,1,
CF03167itkt,2799430,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,26797,https://doi.org/10.15454/VTWXME,CF03167,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,04",,"102,4",,"108,6",,"4,5",
CF03139itkfi,2799383,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48502,gnpis_pui:holding-921_taxon-4898_accession-48502,CF03139,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,04",,"98,3",,"81,6",,1,
EM03047itkt,2799376,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49041,gnpis_pui:holding-921_taxon-4898_accession-49041,EM03047,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,03",,"97,9",,"103,9",,1,
DI04011itkt,2799400,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48536,gnpis_pui:holding-921_taxon-4898_accession-48536,DI04011,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,14",,97,,"102,9",,2,
EM03028itkfi,2799381,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,26807,https://doi.org/10.15454/LDY7MN,EM03028,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,76",,"113,4",,"94,2",,1,
LM03013itkt,2799406,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49649,gnpis_pui:holding-921_taxon-4898_accession-49649,LM03013,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,76",,"98,8",,"104,8",,"6,5",
LM03013itkfi,2799405,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49649,gnpis_pui:holding-921_taxon-4898_accession-49649,LM03013,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,11",,"81,4",,"67,5",,9,
Farandoleitkt,2799422,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,97",,"106,1",,"112,6",,1,
RE03098itkt,2799460,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48665,gnpis_pui:holding-921_taxon-4898_accession-48665,RE03098,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,93",,"100,9",,"107,1",,1,
RE03098itkfi,2799459,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48665,gnpis_pui:holding-921_taxon-4898_accession-48665,RE03098,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,14",,"105,1",,"87,3",,1,
CF03102itkfi,2799415,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,79",,"100,7",,"83,6",,1,
CF03260itkfi,2799407,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48947,gnpis_pui:holding-921_taxon-4898_accession-48947,CF03260,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,36",,"101,6",,"84,4",,1,
EM03051itkt,2799418,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49248,gnpis_pui:holding-921_taxon-4898_accession-49248,EM03051,VIRTUAL_TRIAL,,,,,,,,treated,2004,"8,82",,"101,8",,108,,1,
EM03051itkfi,2799417,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49248,gnpis_pui:holding-921_taxon-4898_accession-49248,EM03051,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,8",,"105,6",,"87,7",,1,
EM03041itkt,2799370,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,32",,"104,3",,"110,6",,1,
CF03260itkt,2799408,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48947,gnpis_pui:holding-921_taxon-4898_accession-48947,CF03260,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,15",,"96,2",,102,,1,
EM03041itkfi,2799369,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,26808,https://doi.org/10.15454/28ZHWX,EM03041,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,96",,106,,88,,1,
DI04014itkfi,2799393,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49289,gnpis_pui:holding-921_taxon-4898_accession-49289,DI04014,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,98",,"100,2",,"83,1",,2,
DI04008itkt,2799452,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49427,gnpis_pui:holding-921_taxon-4898_accession-49427,DI04008,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,07",,"98,4",,"104,4",,1,
DI04014itkt,2799394,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49289,gnpis_pui:holding-921_taxon-4898_accession-49289,DI04014,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,6",,"97,3",,"103,2",,1,
DI04008itkfi,2799451,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49427,gnpis_pui:holding-921_taxon-4898_accession-49427,DI04008,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,2",,"97,9",,"81,3",,1,
EM03067itkt,2799380,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48874,gnpis_pui:holding-921_taxon-4898_accession-48874,EM03067,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,24",,"94,6",,"100,4",,1,
CF03269itkfi,2799413,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48526,gnpis_pui:holding-921_taxon-4898_accession-48526,CF03269,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,68",,"101,8",,"84,5",,1,
EM03067itkfi,2799379,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48874,gnpis_pui:holding-921_taxon-4898_accession-48874,EM03067,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,23",,"106,9",,"88,8",,1,
CF03102itkt,2799416,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,26794,https://doi.org/10.15454/NWP5WQ,CF03102,VIRTUAL_TRIAL,,,,,,,,treated,2004,"8,8",,"102,8",,109,,1,
CF03269itkt,2799414,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48526,gnpis_pui:holding-921_taxon-4898_accession-48526,CF03269,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,5",,"97,9",,"103,9",,1,
CF03226itkfi,2799409,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,17",,"109,1",,"90,6",,1,
CF03226itkt,2799410,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,26798,https://doi.org/10.15454/YF5PYW,CF03226,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,53",,"106,3",,"112,8",,1,
CF03050itkt,2799388,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48545,gnpis_pui:holding-921_taxon-4898_accession-48545,CF03050,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,15",,"96,4",,"102,3",,1,
CF03050itkfi,2799387,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48545,gnpis_pui:holding-921_taxon-4898_accession-48545,CF03050,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,9,,"98,2",,"81,6",,1,
DI04011itkfi,2799399,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48536,gnpis_pui:holding-921_taxon-4898_accession-48536,DI04011,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,15",,"105,3",,"87,4",,1,
RE03136itkfi,2799449,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49407,gnpis_pui:holding-921_taxon-4898_accession-49407,RE03136,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,61",,"100,2",,"83,2",,1,
LM03015itkt,2799390,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,38",,"104,7",,"111,1",,2,
LM03012itkt,2799404,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49456,gnpis_pui:holding-921_taxon-4898_accession-49456,LM03012,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,45",,"83,1",,"88,1",,1,
LM03012itkfi,2799403,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49456,gnpis_pui:holding-921_taxon-4898_accession-49456,LM03012,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,41",,"90,6",,"75,2",,1,
EM03025itkfi,2799373,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49110,gnpis_pui:holding-921_taxon-4898_accession-49110,EM03025,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,88",,"103,5",,"85,9",,1,
EM03085itkt,2799392,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48696,gnpis_pui:holding-921_taxon-4898_accession-48696,EM03085,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,57",,"91,3",,"96,9",,1,
CF03252itkt,2799458,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49339,gnpis_pui:holding-921_taxon-4898_accession-49339,CF03252,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,74",,"99,7",,"105,8",,1,
EM03085itkfi,2799391,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,48696,gnpis_pui:holding-921_taxon-4898_accession-48696,EM03085,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,93",,"98,7",,"81,9",,1,
LM03015itkfi,2799389,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49288,https://doi.org/10.15454/BU8ZPF,LM03015,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,57",,"113,6",,"94,3",,1,
RE03111itkt,2799448,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,41",,"106,3",,"112,7",,1,
Chargeritkt,2799424,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,54",,"99,6",,"105,7",,1,
EM03061itkt,2799378,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49443,gnpis_pui:holding-921_taxon-4898_accession-49443,EM03061,VIRTUAL_TRIAL,,,,,,,,treated,2004,"9,93",,"97,1",,"103,1",,"4,5",
Oratorioitkfi,2799437,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,7",,"102,4",,85,,1,
Chargeritkfi,2799423,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,72",,"102,4",,85,,1,
EM03061itkfi,2799377,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49443,gnpis_pui:holding-921_taxon-4898_accession-49443,EM03061,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,07",,"102,6",,"85,1",,"3,5",
DI04012itkt,2799398,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49639,gnpis_pui:holding-921_taxon-4898_accession-49639,DI04012,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,88",,"99,6",,"105,6",,1,
DI04012itkfi,2799397,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49639,gnpis_pui:holding-921_taxon-4898_accession-49639,DI04012,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"9,43",,"99,7",,"82,7",,1,
RE03111itkfi,2799447,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,26399,https://doi.org/10.15454/XCMLGZ,RE03111,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"7,93",,"107,5",,"89,2",,1,
EM03025itkt,2799374,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49110,gnpis_pui:holding-921_taxon-4898_accession-49110,EM03025,VIRTUAL_TRIAL,,,,,,,,treated,2004,10,,"91,2",,"96,8",,1,
LM03014itkfi,2799435,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49463,https://doi.org/10.15454/8NQXWN,LM03014,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,63",,"100,4",,"83,4",,1,
RE03094itkfi,2799455,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,26397,https://doi.org/10.15454/A8ZRSZ,RE03094,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,32",,"107,6",,"89,4",,1,
Oratorioitkt,2799438,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,25545,https://doi.org/10.15454/J5APM1,ORATORIO,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,28",,"93,2",,"98,9",,1,
RE03174itkfi,2799371,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49640,gnpis_pui:holding-921_taxon-4898_accession-49640,RE03174,VIRTUAL_TRIAL,,,,,,,,low inputs,2004,"8,62",,"98,6",,"81,9",,3,
Caphornitkt,2799420,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,38",,"97,1",,103,,1,
RE03174itkt,2799372,BTH_Le_Moulon_2004_SetB2,BTH_Le_Moulon_2004_SetB2,49640,gnpis_pui:holding-921_taxon-4898_accession-49640,RE03174,VIRTUAL_TRIAL,,,,,,,,treated,2004,"10,86",,"95,8",,"101,7",,1,
