observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI05011,2808689,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,48754,gnpis_pui:holding-921_taxon-4898_accession-48754,DI05011,VIRTUAL_TRIAL,,,,,,,,2005,"7,75",,3,,NA,,5,,2,,1,
Orvantis,2808704,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,4,,"7,5",,4396,,6,,3,
RE04039,2808697,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,49389,gnpis_pui:holding-921_taxon-4898_accession-49389,RE04039,VIRTUAL_TRIAL,,,,,,,,2005,5,,4,,NA,,2,,1,,1,
EM04294,2808671,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,48735,gnpis_pui:holding-921_taxon-4898_accession-48735,EM04294,VIRTUAL_TRIAL,,,,,,,,2005,7,,6,,NA,,2,,4,,4,
CF04076,2808670,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,27039,https://doi.org/10.15454/YH3ACK,CF04076,VIRTUAL_TRIAL,,,,,,,,2005,"7,25",,4,,NA,,2,,6,,1,
EM04241,2808700,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,27040,https://doi.org/10.15454/AB7Z4M,EM04241,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,2,,NA,,2,,3,,1,
AO05001,2808703,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,2005,NA,,NA,,NA,,NA,,NA,,NA,
RE04060,2808674,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,49071,gnpis_pui:holding-921_taxon-4898_accession-49071,RE04060,VIRTUAL_TRIAL,,,,,,,,2005,"5,75",,4,,NA,,5,,3,,1,
RE04066,2808672,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,49212,gnpis_pui:holding-921_taxon-4898_accession-49212,RE04066,VIRTUAL_TRIAL,,,,,,,,2005,"7,25",,4,,NA,,5,,2,,1,
CF04012,2808677,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,48480,gnpis_pui:holding-921_taxon-4898_accession-48480,CF04012,VIRTUAL_TRIAL,,,,,,,,2005,"4,25",,6,,NA,,5,,3,,4,
Farandole,2808695,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,2005,"5,75",,5,,"5,84",,299,,3,,1,
RE04035,2808702,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,49143,gnpis_pui:holding-921_taxon-4898_accession-49143,RE04035,VIRTUAL_TRIAL,,,,,,,,2005,"5,75",,8,,NA,,5,,3,,1,
DI05013,2808691,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,48379,gnpis_pui:holding-921_taxon-4898_accession-48379,DI05013,VIRTUAL_TRIAL,,,,,,,,2005,"5,5",,6,,NA,,5,,4,,4,
