observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,volC(CO_321:1000235),volC(CO_321:1000235).date,vp(CO_321:1000225),vp(CO_321:1000225).date
Ressoritkt,2784464,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2002,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI02008itkt,2784463,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2002,"19,9",,80,,164,,76,,240,,82,,"1,02",,282,,69,,402,,"14,2",,"79,5",,47,,1649,,"2,92",
CF99005itkt,2784469,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2002,"17,3",,60,,165,,82,,247,,108,,"1,79",,286,,70,,400,,"13,9",,"81,9",,52,,1790,,"1,95",
Koreliitkt,2784445,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2002,"20,4",,84,,144,,76,,220,,63,,"0,75",,216,,60,,370,,"13,3",,"81,7",,39,,1610,,"2,66",
RE01092itkt,2784444,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,treated,2002,"22,5",,103,,156,,75,,231,,41,,"0,4",,145,,27,,308,,"13,5",,"81,3",,39,,1647,,"2,08",
CF00193itkt,2784481,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2002,"21,8",,96,,148,,76,,224,,89,,"0,92",,345,,77,,364,,"14,7",,"79,7",,44,,1601,,"2,13",
RE01015itkt,2784468,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,treated,2002,"16,4",,54,,148,,77,,225,,54,,"0,98",,129,,25,,358,,"12,2",,78,,40,,1591,,"1,67",
CF99105itkt,2784482,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,treated,2002,"26,1",,138,,138,,80,,218,,57,,"0,42",,290,,63,,335,,"14,7",,"80,5",,40,,1500,,"2,69",
EM01352itkt,2784454,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,treated,2002,"24,8",,125,,101,,43,,144,,36,,"0,29",,149,,4,,302,,"12,6",,"76,4",,38,,1222,,"2,67",
EM01216itkt,2784458,BTH_Clermont-Ferrand_2002_TECH,BTH_Clermont-Ferrand_2002_TECH,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,treated,2002,"19,6",,78,,158,,75,,233,,52,,"0,66",,174,,25,,364,,"13,5",,"79,1",,52,,1713,,"2,04",
