observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
RE05008itkt,2816193,BTH_Estrées-Mons_2006_SetB2,BTH_Estrées-Mons_2006_SetB2,49422,https://doi.org/10.15454/9VMAGV,RE05008,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,16",,"113,5",,"91,8",
CF05079itkfi,2816252,BTH_Estrées-Mons_2006_SetB2,BTH_Estrées-Mons_2006_SetB2,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"12,34",,"127,1",,"76,1",
CF05079itkt,2816253,BTH_Estrées-Mons_2006_SetB2,BTH_Estrées-Mons_2006_SetB2,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,1",,"108,8",,88,
RE05005itkt,2816195,BTH_Estrées-Mons_2006_SetB2,BTH_Estrées-Mons_2006_SetB2,26898,https://doi.org/10.15454/JQW74U,RE05005,VIRTUAL_TRIAL,,,,,,,,treated,2006,"14,02",,107,,"86,6",
Apacheitkt,2816227,BTH_Estrées-Mons_2006_SetB2,BTH_Estrées-Mons_2006_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2006,"12,84",,"99,3",,"80,4",
RE05047itkt,2816203,BTH_Estrées-Mons_2006_SetB2,BTH_Estrées-Mons_2006_SetB2,26903,https://doi.org/10.15454/QRI3MM,RE05047,VIRTUAL_TRIAL,,,,,,,,treated,2006,"13,27",,113,,"91,4",
Apacheitkfi,2816226,BTH_Estrées-Mons_2006_SetB2,BTH_Estrées-Mons_2006_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"12,02",,104,,"62,3",
DI06008itkt,2816263,BTH_Estrées-Mons_2006_SetB2,BTH_Estrées-Mons_2006_SetB2,49044,gnpis_pui:holding-921_taxon-4898_accession-49044,DI06008,VIRTUAL_TRIAL,,,,,,,,treated,2006,"14,47",,"102,3",,"82,8",
AO06407itkt,2816209,BTH_Estrées-Mons_2006_SetB2,BTH_Estrées-Mons_2006_SetB2,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,treated,2006,"12,18",,"114,2",,"92,4",
AO06407itkfi,2816208,BTH_Estrées-Mons_2006_SetB2,BTH_Estrées-Mons_2006_SetB2,26982,https://doi.org/10.15454/FCNCUR,AO06407,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,"10,82",,130,,"77,8",
